ACCESSION: MycoMSB-HZI-000389
RECORD_TITLE: Cladospirone bisepoxide; timsTOF; MS2; CE:34.23255813953489; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
SP$SCIENTIFIC_NAME: Cladosporium f-24'707
PUBLICATION: doi:10.7164/antibiotics.47.1098
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Cladospirone bisepoxide
CH$COMPOUND_CLASS: Polyketides
CH$FORMULA: C20H14O7
CH$EXACT_MASS: 366.0740
CH$SMILES: C1=CC2=C3C(=C1)OC4([C@H]5[C@H](O5)[C@@H]([C@@]67[C@@]4(O6)C(=O)C=C[C@@H]7O)O)OC3=CC=C2
CH$IUPAC: InChI=1S/C20H14O7/c21-12-7-8-13(22)19-18(12,27-19)16(23)15-17(24-15)20(19)25-10-5-1-3-9-4-2-6-11(26-20)14(9)10/h1-8,12,15-17,21,23H/t12-,15+,16-,17+,18-,19-/m0/s1
CH$LINK: INCHIKEY AUWGMDYISSBOED-CCNMWVGKSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: timsTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.23255813953489
AC$MASS_SPECTROMETRY: CCS 179.65814208984375
MS$FOCUSED_ION: BASE_PEAK 367.08123
MS$FOCUSED_ION: PRECURSOR_M/Z 367.08123
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00dj-0891000000-d2a867f902a17f48b442
PK$NUM_PEAK: 227
PK$PEAK: m/z int. rel.int.
  107.01273 0.0539892 54
  110.64670 0.00539892 5
  110.89036 0.00539892 5
  111.23984 0.00539892 5
  115.03823 0.0059988 6
  115.05471 0.295741 295
  115.06172 0.034793 35
  116.06224 0.105579 105
  121.02998 0.059988 60
  122.05607 0.00539892 5
  123.00840 0.0767846 77
  125.02273 0.139772 140
  125.27409 0.0761848 76
  127.05567 0.142172 142
  128.06268 0.0767846 77
  129.07188 0.142771 143
  131.04966 0.380924 381
  131.05587 0.0485903 49
  133.02921 0.0257948 26
  133.06891 0.04979 50
  134.03603 0.0473905 47
  135.04482 0.0623875 62
  140.57919 0.00539892 5
  140.80926 0.00539892 5
  141.06738 0.0575885 58
  143.98806 0.00539892 5
  144.05752 0.044991 45
  145.06371 0.103179 103
  149.02227 0.0503899 50
  151.03980 0.0731854 73
  151.05325 0.0671866 67
  152.06426 0.0869826 87
  153.01477 0.0743851 74
  153.07669 0.0395921 40
  155.05106 0.233353 233
  156.04817 0.0731854 73
  157.06239 0.233953 234
  157.06863 0.208158 208
  157.07310 0.208158 208
  158.06721 0.0737852 74
  159.04334 0.15237 152
  159.04986 0.121176 121
  160.04630 0.330534 330
  160.05161 0.330534 330
  161.02302 0.0593881 59
  161.05875 0.0587882 59
  161.10838 0.0245951 25
  162.02300 0.0617876 62
  162.03097 0.0521896 52
  162.06283 0.055189 55
  163.04406 0.0059988 6
  165.06966 0.161368 161
  167.07945 0.00539892 5
  168.05596 0.197361 197
  169.06682 0.0557888 56
  171.04376 1 999
  171.08027 0.0353929 35
  171.50610 0.019796 20
  171.76022 0.0305939 31
  172.04735 0.115777 116
  172.11711 0.0287942 29
  172.15611 0.0137972 14
  172.78883 0.00539892 5
  173.06013 0.396521 396
  173.98348 0.00539892 5
  174.64850 0.0161968 16
  176.06327 0.0623875 62
  176.97562 0.00659868 7
  177.07090 0.14937 149
  178.08025 0.0527894 53
  179.03130 0.0341932 34
  179.08243 0.15117 151
  180.03945 0.059988 60
  180.05834 0.059988 60
  181.06516 0.0587882 59
  181.53274 0.00539892 5
  183.04489 0.134373 134
  183.08087 0.0725855 73
  184.03880 0.0233953 23
  184.04729 0.0383923 38
  184.05578 0.0671866 67
  184.15129 0.0353929 35
  185.05759 0.163167 163
  186.03041 0.085183 85
  186.06455 0.0389922 39
  187.03877 0.143971 144
  189.01857 0.0815837 82
  189.06857 0.128374 128
  190.07599 0.059988 60
  191.03039 0.0635873 64
  191.08607 0.173365 173
  192.24954 0.0059988 6
  194.07717 0.14877 149
  195.04366 0.135573 135
  195.08130 0.256149 256
  196.05256 0.14757 147
  197.05768 0.431914 431
  198.06466 0.125975 126
  199.03983 0.280144 280
  199.75856 0.0107978 11
  200.06599 0.0545891 55
  203.08246 0.146971 147
  204.94077 0.0293941 29
  205.06572 0.180564 180
  206.06646 0.0575885 58
  207.07873 0.266947 267
  208.05397 0.0581884 58
  209.06149 0.0389922 39
  210.07014 0.132573 132
  211.03897 0.572885 572
  212.02118 0.00539892 5
  212.05990 0.0269946 27
  213.05584 0.172765 173
  217.42826 0.00539892 5
  218.07047 0.129574 129
  218.07919 0.0779844 78
  219.08056 0.0785843 79
  219.36080 0.00539892 5
  221.06155 0.0815837 82
  221.97723 0.0425915 43
  222.06813 0.055189 55
  223.07631 0.378524 378
  223.08233 0.378524 378
  223.27257 0.0119976 12
  224.07967 0.0485903 49
  225.04309 0.0737852 74
  225.05470 0.125375 125
  225.30833 0.0119976 12
  227.07274 0.0539892 54
  228.04019 0.0125975 13
  229.00260 0.0137972 14
  229.06179 0.034793 35
  231.07615 0.130174 130
  231.08328 0.074985 75
  231.24739 0.014997 15
  233.05961 0.195561 195
  233.07545 0.064787 65
  234.07027 0.170366 170
  235.07404 0.164367 164
  237.05749 0.287942 288
  238.06462 0.191962 192
  239.01377 0.00539892 5
  239.03312 0.04979 50
  240.03054 0.0137972 14
  241.06405 0.0425915 43
  242.05353 0.0389922 39
  246.06463 0.144571 144
  246.06987 0.144571 144
  246.98954 0.0413917 41
  247.07459 0.74865 748
  248.07486 0.132573 132
  248.08225 0.0731854 73
  248.49634 0.00539892 5
  249.05393 0.0527894 53
  249.09590 0.0323935 32
  250.06708 0.0359928 36
  251.07359 0.895021 894
  251.33021 0.0059988 6
  252.07223 0.255549 255
  255.84878 0.00539892 5
  256.06400 0.0791842 79
  257.08377 0.0575885 58
  258.07290 0.0827834 83
  259.07903 0.0593881 59
  261.05271 0.115177 115
  262.06107 0.167367 167
  262.96332 0.0209958 21
  263.06939 0.25015 250
  264.07710 0.146371 146
  265.04489 0.0539892 54
  265.05507 0.0509898 51
  265.08563 0.0875825 87
  265.09328 0.040192 40
  266.05643 0.195561 195
  267.06734 0.109178 109
  275.06451 0.0413917 41
  275.07489 0.0695861 70
  276.07790 0.190162 190
  277.05086 0.126575 126
  277.05470 0.126575 126
  277.08398 0.019796 20
  279.06427 0.524295 524
  279.08208 0.0125975 13
  279.86658 0.00539892 5
  280.07073 0.0929814 93
  280.64170 0.0281944 28
  284.13247 0.00539892 5
  287.07206 0.0605879 61
  289.05382 0.107978 108
  291.06398 0.0935813 93
  292.07291 0.114577 114
  292.58979 0.00539892 5
  293.04070 0.0953809 95
  293.08333 0.134973 135
  294.08203 0.0575885 58
  303.06807 0.241152 241
  304.06642 0.0533893 53
  305.86385 0.0275945 28
  307.06354 0.165567 165
  307.07047 0.14937 149
  307.91357 0.00659868 7
  308.07098 0.143371 143
  310.29795 0.014997 15
  321.07111 0.163167 163
  321.07736 0.163167 163
  331.06310 0.0629874 63
  348.05960 0.0605879 61
  352.83856 0.00539892 5
  361.41098 0.00539892 5
  366.07563 0.114577 114
  367.07698 0.329334 329
  367.79081 0.0377924 38
  368.51414 0.0167966 17
  443.93073 0.00539892 5
  495.24514 0.00539892 5
  563.05902 0.00539892 5
  599.25559 0.00539892 5
  752.32817 0.00539892 5
  789.66136 0.00539892 5
  865.01444 0.00539892 5
  897.74356 0.00539892 5
  937.16168 0.00539892 5
  1204.86059 0.00539892 5
  1231.54684 0.00539892 5
  1233.06239 0.00539892 5
  1436.52477 0.00539892 5
  1462.27488 0.00539892 5
//
