ACCESSION: MycoMSB-HZI-000414
RECORD_TITLE: Dihydropleurotinic acid; timsTOF; MS2; CE:34.53488372093023; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
SP$SCIENTIFIC_NAME: Hohenbuehelia grisea MFLUCC 12-0451
PUBLICATION: doi:10.3390/molecules23102697
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Dihydropleurotinic acid
CH$FORMULA: C21H24O5
CH$EXACT_MASS: 356.1624
CH$SMILES: C[C@H]1CO[C@@H]2C3=C(C[C@H]4[C@H](C(=O)O)CC[C@@H]5C1CC[C@]254)C(=O)C=CC3=O
CH$IUPAC: InChI=1S/C21H24O5/c1-10-9-26-19-18-13(16(22)4-5-17(18)23)8-15-12(20(24)25)2-3-14-11(10)6-7-21(14,15)19/h4-5,10-12,14-15,19H,2-3,6-9H2,1H3,(H,24,25)/t10-,11?,12+,14+,15-,19+,21-/m0/s1
CH$LINK: INCHIKEY WIDYUZWPFIHVCW-WVHDAOKDSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: timsTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.53488372093023
AC$MASS_SPECTROMETRY: CCS 184.67884826660156
MS$FOCUSED_ION: BASE_PEAK 357.16965
MS$FOCUSED_ION: PRECURSOR_M/Z 357.16965
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0udi-0490000000-078e96b1a8dd29a50136
PK$NUM_PEAK: 355
PK$PEAK: m/z int. rel.int.
  115.05329 0.017864 18
  116.06220 0.010241 10
  117.05690 0.00531301 5
  117.06874 0.017094 17
  118.07113 0.00931701 9
  119.04997 0.022946 23
  119.08656 0.030646 31
  121.09975 0.019789 20
  123.04410 0.102102 102
  123.12288 0.00623701 6
  124.04974 0.00546701 5
  129.06906 0.0635251 63
  130.07727 0.016709 17
  131.04840 0.00808501 8
  131.08529 0.021714 22
  131.09138 0.00716101 7
  132.05669 0.00608301 6
  133.06469 0.018095 18
  133.07427 0.00754601 8
  133.10147 0.0872411 87
  133.10855 0.00554401 6
  133.18617 0.011704 12
  134.06857 0.00839301 8
  135.04477 0.00962501 10
  135.08113 0.00870101 9
  135.11567 0.00962501 10
  136.05735 0.00839301 8
  137.05874 0.03311 33
  137.06368 0.028875 29
  137.09568 0.014091 14
  138.06076 0.010626 11
  141.07290 0.016632 17
  141.08033 0.00793101 8
  142.07422 0.021714 22
  142.07982 0.00816201 8
  143.08643 0.041118 41
  144.05821 0.015092 15
