ACCESSION: MycoMSB-HZI-000424
RECORD_TITLE: Ophiobolin K; timsTOF; MS2; CE:35.25581395348837; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
SP$SCIENTIFIC_NAME: Aspergillus sp.
PUBLICATION: doi:10.1016/s0040-4020(01)96148-4
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Ophiobolin K
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C25H36O3
CH$EXACT_MASS: 384.2664
CH$SMILES: C[C@@H](/C=C\C=C(C)C)[C@H]1CC[C@]2([C@H]1C/C=C(\[C@@H]3[C@H](C2)[C@](CC3=O)(C)O)/C=O)C
CH$IUPAC: InChI=1S/C25H36O3/c1-16(2)7-6-8-17(3)19-11-12-24(4)13-21-23(22(27)14-25(21,5)28)18(15-26)9-10-20(19)24/h6-9,15,17,19-21,23,28H,10-14H2,1-5H3/b8-6-,18-9-/t17-,19+,20-,21-,23+,24+,25+/m0/s1
CH$LINK: INCHIKEY TXEVVAPERSDMTN-KAKRINCYSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: timsTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.25581395348837
AC$MASS_SPECTROMETRY: CCS 193.02732849121094
MS$FOCUSED_ION: BASE_PEAK 367.26316
MS$FOCUSED_ION: PRECURSOR_M/Z 367.26316
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-052b-0393000000-fb981033cc8223e89cf0
PK$NUM_PEAK: 367
PK$PEAK: m/z int. rel.int.
  107.08391 0.0271718 27
  109.10050 0.00575169 6
  111.08807 0.0196351 20
  119.08463 0.0769536 77
  119.08975 0.0178501 18
  120.09216 0.0591035 59
  121.10305 0.0426418 43
  123.11594 0.0194367 19
  125.09727 0.0208251 21
  128.05555 0.0247917 25
  128.06617 0.0220151 22
  129.06965 0.0491868 49
  131.08422 0.0253868 25
  133.07427 0.01428 14
  133.10050 0.203887 204
  134.11024 0.0378818 38
  135.08037 0.0487902 49
  135.11931 0.0452202 45
  136.08472 0.0198334 20
  141.07104 0.0178501 18
  143.08279 0.0781436 78
  143.08634 0.0781436 78
  144.09207 0.0426418 43
  145.06553 0.0259818 26
  145.10112 0.166997 167
  147.08070 0.117017 117
  147.11643 0.211424 211
  148.12036 0.0204284 20
  149.13173 0.0372868 37
  151.07482 0.0430385 43
  153.09017 0.0212217 21
  153.84980 0.00614835 6
  155.08635 0.126339 126
  156.09696 0.0196351 20
  157.10075 0.202896 203
  159.07961 0.0236017 24
  159.11605 0.227886 228
  160.12420 0.0386751 39
  161.09835 0.0192384 19
  161.13220 0.0591035 59
  162.13640 0.0194367 19
  163.11322 0.0406585 41
  163.14981 0.0168584 17
  164.07820 0.0245934 25
  165.07152 0.0119 12
  165.08760 0.01071 11
  167.05705 0.0164617 16
  167.09079 0.0811186 81
  167.09749 0.0192384 19
  169.09309 0.0245934 25
  169.10139 0.0781436 78
  170.10554 0.0210234 21
  171.11660 0.090242 90
  171.12153 0.0922253 92
  172.11897 0.0245934 25
  172.42489 0.00515668 5
  173.10132 0.0174534 17
  173.13059 0.0983737 98
  173.73165 0.00515668 5
  174.13806 0.0222134 22
  175.10958 0.0190401 19
  175.15098 0.0259818 26
  178.07585 0.0134867 13
  179.08549 0.0174534 17
  180.09250 0.0408568 41
  181.10280 0.0922253 92
  182.10222 0.0739786 74
  183.11681 0.253074 253
  184.08524 0.0232051 23
  184.12017 0.0702102 70
  184.12700 0.0658469 66
  185.09686 0.0368901 37
  185.13305 0.127132 127
  185.14368 0.0236017 24
  187.11129 0.0587069 59
  187.12137 0.0408568 41
  187.15324 0.0372868 37
  188.11830 0.0192384 19
  189.12801 0.0466085 47
  191.10581 0.0220151 22
  191.14257 0.0222134 22
  192.09748 0.01428 14
  193.10145 0.123959 124
  194.10498 0.0880603 88
  194.92189 0.00793336 8
  194.94591 0.00595002 6
  194.99396 0.010115 10
  195.11608 0.314359 314
  195.29114 0.0099167 10
  195.39827 0.0160651 16
  196.11766 0.0349068 35
  197.09284 0.0347084 35
  197.10971 0.00694169 7
  197.13296 0.233241 233
  197.14046 0.0132884 13
  198.13444 0.0140817 14
  199.11246 0.0719952 72
  199.14807 0.192781 193
  200.14830 0.0353035 35
  200.39553 0.00714002 7
  201.09223 0.0418485 42
  201.12693 0.0154701 15
  201.16383 0.266561 266
  202.09531 0.0269734 27
  202.16696 0.0848869 85
  202.17982 0.0222134 22
  203.14851 0.0188417 19
  203.17548 0.0664419 66
  203.18459 0.0587069 59
  204.14632 0.0160651 16
