ACCESSION: MycoMSB-HZI-000442
RECORD_TITLE: Dehydrosulphurenic acid; timsTOF; MS2; CE:38.04651162790698; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
SP$SCIENTIFIC_NAME: Antrodia cinnamomea
PUBLICATION: doi:10.1016/0031-9422(95)00767-9
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Dehydrosulphurenic acid
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C31H48O4
CH$EXACT_MASS: 484.3553
CH$SMILES: CC(C)C(=C)CC[C@@H]([C@H]1C[C@@H]([C@@]2([C@@]1(CC=C3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)O)C(=O)O
CH$IUPAC: InChI=1S/C31H48O4/c1-18(2)19(3)9-10-20(27(34)35)23-17-26(33)31(8)22-11-12-24-28(4,5)25(32)14-15-29(24,6)21(22)13-16-30(23,31)7/h11,13,18,20,23-26,32-33H,3,9-10,12,14-17H2,1-2,4-8H3,(H,34,35)/t20-,23+,24-,25-,26-,29+,30+,31+/m0/s1
CH$LINK: INCHIKEY DGVHJZPQGFRVEC-LWURDOLFSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: timsTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 38.04651162790698
AC$MASS_SPECTROMETRY: CCS 224.68008422851562
MS$FOCUSED_ION: BASE_PEAK 467.35197
MS$FOCUSED_ION: PRECURSOR_M/Z 467.35197
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00kp-0794200000-97d88942ec365d5a4126
PK$NUM_PEAK: 184
PK$PEAK: m/z int. rel.int.
  100.29141 0.0144928 14
  113.06361 0.148148 148
  120.09040 0.173913 174
  129.07001 0.149758 150
  131.08507 0.297907 298
  132.15912 0.0289855 29
  133.10030 0.533011 532
  135.04472 0.193237 193
  140.60690 0.0144928 14
  143.08278 0.351047 351
  143.08839 0.151369 151
  144.09308 0.037037 37
  145.09993 0.381643 381
  145.10693 0.10628 106
  147.07700 0.26087 261
  148.12031 0.133655 134
  151.07621 0.172303 172
  151.11466 0.140097 140
  153.05335 0.0289855 29
  154.05936 0.219002 219
  155.08620 0.132045 132
  157.09911 0.225443 225
  157.10499 0.0177134 18
  159.11684 0.388084 388
  161.13211 0.452496 452
  163.86589 0.0144928 14
  164.88267 0.0386473 39
  165.09163 0.135266 135
  167.08133 0.133655 134
  167.10559 0.1562 156
  167.15817 0.0144928 14
  169.10125 0.191626 191
  171.11693 0.397746 397
  172.12309 0.141707 142
  173.09283 0.227053 227
  173.13574 0.36876 368
  175.11374 0.173913 174
  175.14686 0.0402576 40
  177.08990 0.167472 167
  177.16484 0.326892 327
  182.10834 0.151369 151
  183.11664 0.20934 209
  185.09901 0.170692 171
  187.14610 0.544283 544
  187.15166 0.544283 544
  189.16246 0.429952 430
  191.10583 0.270531 270
  191.11232 0.115942 116
  194.11034 0.206119 206
  197.13231 0.600644 600
  198.14767 0.0933977 93
  199.11107 0.148148 148
  199.14859 0.193237 193
  201.16490 0.611916 611
  202.16427 0.363929 364
  202.17095 0.148148 148
  203.17974 0.305958 306
  205.12643 0.109501 109
  205.16676 0.115942 116
  207.12068 0.133655 134
  207.45174 0.020934 21
  209.13497 0.173913 174
  210.13429 0.297907 298
  211.14493 0.479871 479
  211.15235 0.47504 475
  212.15534 0.117552 117
  213.16587 0.233494 233
  215.10695 0.207729 208
  215.14188 0.495974 495
  215.18496 0.193237 193
  216.15668 0.0144928 14
  216.18197 0.144928 145
  217.19512 0.267311 267
  221.13060 0.412238 412
  222.13784 0.185185 185
  223.16950 0.148148 148
  224.15906 0.193237 193
  225.16020 0.238325 238
  226.23297 0.0289855 29
  227.17860 0.146538 146
  229.19416 0.0547504 55
  233.15013 0.341385 341
  234.13436 0.141707 142
  237.16471 0.0950081 95
  241.16099 0.109501 109
  244.21678 0.141707 142
  251.16388 0.0966184 97
  251.18047 0.333333 333
  252.16889 0.0756844 76
  252.18506 0.246377 246
  255.14099 0.326892 327
  255.17597 0.136876 137
  257.19394 0.162641 162
  259.18208 0.175523 175
  261.18798 0.177134 177
  262.13178 0.146538 146
  265.20006 0.143317 143
  267.14470 0.143317 143
  267.20862 0.141707 142
  268.18116 0.21256 212
  271.16603 0.117552 117
  271.21755 0.136876 137
  275.17589 0.138486 138
  276.18360 0.238325 238
  276.19140 0.143317 143
  277.19576 0.111111 111
  280.21716 0.115942 116
  281.15536 0.0177134 18
  281.22881 0.173913 174
  290.19977 0.0466989 47
  293.19193 0.0547504 55
  293.22781 1 999
  294.23190 0.616747 616
  295.23746 0.452496 452
  296.17520 0.119163 119
  305.22109 0.215781 216
  306.08527 0.0660225 66
  306.23581 0.10789 108
  307.24124 0.099839 100
  309.18828 0.15781 158
  310.22609 0.0950081 95
  311.19941 0.119163 119
  311.23735 0.674718 674
  312.20190 0.0628019 63
  319.23425 0.180354 180
  321.26036 0.198068 198
  322.19747 0.0885668 88
  331.21370 0.0901771 90
  331.24217 0.10628 106
  334.22674 0.135266 135
  337.26491 0.10789 108
  339.24421 0.117552 117
  339.26438 0.117552 117
  349.29190 0.149758 150
  351.22991 0.183575 183
  351.24750 0.125604 125
  351.29734 0.0982287 98
  351.88689 0.0322061 32
  352.15689 0.0289855 29
  353.15564 0.0144928 14
  353.24678 0.444444 444
  360.28150 0.130435 130
  362.25567 0.143317 143
  365.24744 0.913043 912
  366.25612 0.144928 145
  371.25442 0.0950081 95
  376.30783 0.0805153 80
  377.24909 0.0885668 88
  383.25502 0.180354 180
  391.26760 0.117552 117
  392.27074 0.0161031 16
  395.29720 0.0144928 14
  397.27142 0.202899 203
  403.32777 0.243156 243
  405.35287 0.0628019 63
  421.34879 0.0466989 47
  425.30419 0.196457 196
  427.30984 0.115942 116
  431.34503 0.138486 138
  432.32346 0.199678 199
  448.38069 0.0338164 34
  449.25887 0.0837359 84
  449.34264 0.89211 891
  450.34114 0.336554 336
  451.17063 0.0386473 39
  467.34777 0.140097 140
  467.36129 0.178744 179
  468.04464 0.0289855 29
  468.31632 0.270531 270
  521.33936 0.0144928 14
  595.09608 0.0144928 14
  626.45315 0.0144928 14
  635.58497 0.0144928 14
  716.36732 0.0144928 14
  747.76939 0.0161031 16
  832.96443 0.0144928 14
  959.93784 0.0144928 14
  1105.50535 0.0144928 14
  1147.54172 0.0144928 14
  1277.99886 0.0144928 14
  1314.83222 0.0144928 14
  1349.51544 0.0144928 14
  1457.34857 0.0144928 14
  1509.59321 0.0144928 14
//
