ACCESSION: MycoMSB-HZI-000443
RECORD_TITLE: Dehydrosulphurenic acid; timsTOF; MS2; CE:38.093023255813954; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
SP$SCIENTIFIC_NAME: Antrodia cinnamomea
PUBLICATION: doi:10.1016/0031-9422(95)00767-9
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Dehydrosulphurenic acid
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C31H48O4
CH$EXACT_MASS: 484.3553
CH$SMILES: CC(C)C(=C)CC[C@@H]([C@H]1C[C@@H]([C@@]2([C@@]1(CC=C3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)O)C(=O)O
CH$IUPAC: InChI=1S/C31H48O4/c1-18(2)19(3)9-10-20(27(34)35)23-17-26(33)31(8)22-11-12-24-28(4,5)25(32)14-15-29(24,6)21(22)13-16-30(23,31)7/h11,13,18,20,23-26,32-33H,3,9-10,12,14-17H2,1-2,4-8H3,(H,34,35)/t20-,23+,24-,25-,26-,29+,30+,31+/m0/s1
CH$LINK: INCHIKEY DGVHJZPQGFRVEC-LWURDOLFSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: timsTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 38.093023255813954
AC$MASS_SPECTROMETRY: CCS 228.8258514404297
MS$FOCUSED_ION: BASE_PEAK 485.36254
MS$FOCUSED_ION: PRECURSOR_M/Z 485.36254
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-05i0-0795400000-84415db695f03f9510ca
PK$NUM_PEAK: 659
PK$PEAK: m/z int. rel.int.
  109.10214 0.0641731 64
  115.05609 0.0384038 38
  117.10085 0.00562922 6
  119.08669 0.191769 192
  120.09554 0.014636 15
  121.10094 0.231048 231
  121.11078 0.0212659 21
  122.10609 0.0352765 35
  123.07945 0.0153865 15
  123.10374 0.0060045 6
  123.11730 0.157243 157
  124.08280 0.0117588 12
  125.09722 0.0243933 24
  126.09997 0.0117588 12
  128.06081 0.0291469 29
  128.07320 0.0177633 18
  129.07358 0.0516637 52
  131.08640 0.161871 162
  133.10136 0.142107 142
  133.10773 0.0298974 30
  133.11392 0.0100075 10
  134.10504 0.0171379 17
  135.04108 0.0162622 16
  135.08046 0.0262697 26
  135.10653 0.0100075 10
  135.11905 0.129222 129
  136.11935 0.0509132 51
  137.09746 0.0349012 35
  137.13352 0.105579 105
  138.13792 0.00825619 8
  139.07577 0.0281461 28
  139.11295 0.0650488 65
  141.06910 0.0278959 28
  141.12673 0.0140105 14
  142.07703 0.0297723 30
  143.08557 0.102452 102
  145.06548 0.0115086 11
  145.10139 0.251313 251
  146.10517 0.0701776 70
  147.07946 0.0205154 20
  147.11731 0.219415 219
  147.12632 0.0176382 18
  148.08224 0.0101326 10
  148.12098 0.0864398 86
  149.09473 0.012009 12
  149.13235 0.142357 142
  151.11258 0.0430323 43
  151.14735 0.0242682 24
  152.06414 0.00925694 9
  153.09206 0.0156367 16
  153.12496 0.0100075 10
  154.07360 0.0166375 17
  155.07062 0.00575432 6
  155.08800 0.0632975 63
  155.10763 0.0142607 14
  156.09670 0.0163873 16
  156.24156 0.0081311 8
  157.10133 0.399299 399
  157.39528 0.0105079 10
  158.10297 0.0724293 72
  158.10835 0.0724293 72
  159.08116 0.0336502 34
  159.11726 0.455842 455
  159.13033 0.0365274 36
  160.12027 0.0256442 26
  161.09720 0.103453 103
  161.13259 0.168877 169
  161.14006 0.0135101 13
  162.13641 0.0128847 13
  163.11312 0.0215161 21
  163.12385 0.0158869 16
  163.14824 0.167876 168
  164.08022 0.00988241 10
  165.09163 0.0263948 26
  165.12924 0.0192644 19
  165.16601 0.00988241 10
  165.56630 0.0060045 6
  167.09144 0.0165124 16
  167.14401 0.0116337 12
  167.96811 0.00550413 5
  168.09382 0.0111334 11
  169.06851 0.0197648 20
  169.10230 0.250813 251
  170.10228 0.0256442 26
  170.10942 0.0464098 46
  171.11692 0.439079 439
  171.12721 0.0142607 14
  172.12000 0.0211409 21
  172.49680 0.00675507 7
  173.09754 0.0632975 63
  173.13365 0.29297 293
  174.10092 0.0131349 13
  174.13945 0.0715537 71
  175.11045 0.0684263 68
  175.13858 0.00875657 9
  175.14887 0.0920691 92
  176.15025 0.0165124 16
  177.09198 0.0167626 17
  177.12843 0.0281461 28
  177.16283 0.0629222 63
  178.08004 0.00788091 8
  178.13015 0.0117588 12
  179.11229 0.0390293 39
  179.14265 0.0531649 53
  179.18182 0.018639 19
  180.14629 0.0107581 11
  181.10224 0.0470353 47
  181.12388 0.0108832 11
  182.10720 0.0321491 32
  183.11759 0.223418 223
  183.12485 0.134601 134
  184.11922 0.0177633 18
  184.12711 0.0202652 20
  185.09475 0.0256442 26
  185.12242 0.0341506 34
  185.13390 0.349887 350
  186.13827 0.0469102 47
  187.11319 0.083938 84
  187.15057 0.294971 295
  187.16481 0.00988241 10
  187.94458 0.00925694 9
  188.11253 0.0175131 17
  188.15050 0.0404053 40
  188.15694 0.0127596 13
  189.12456 0.0406555 41
  189.12961 0.0406555 41
  189.13664 0.00975732 10
  189.16439 0.118839 119
  190.16950 0.0225169 22
  191.11016 0.013385 13
  191.14364 0.0675507 67
  191.15341 0.0195146 19
  191.17639 0.0272705 27
  191.35026 0.00550413 5
  193.10261 0.014636 15
  193.12435 0.0138854 14
  193.15880 0.0451589 45
  194.11034 0.0100075 10
  195.11772 0.163498 163
  195.12725 0.0148862 15
  195.14255 0.00788091 8
  196.12053 0.0404053 40
  196.13851 0.0303978 30
  197.09656 0.0141356 14
  197.13229 0.391544 391
  198.13816 0.0574181 57
  199.11203 0.0210158 21
  199.14841 0.26032 260
  200.15597 0.0442832 44
  201.12868 0.045284 45
  201.16412 0.228296 228
  202.13159 0.0243933 24
  202.16628 0.0567926 57
  203.06827 0.0147611 15
  203.08610 0.00938204 9
  203.14400 0.0540405 54
  203.17967 0.0941956 94
  203.54557 0.00537903 5
  204.11058 0.010633 11
  204.18571 0.0370278 37
  205.10627 0.008006 8
  205.11747 0.0108832 11
  205.15847 0.0681761 68
  205.19365 0.0115086 11
  206.11112 0.0118839 12
  207.11899 0.076057 76
  207.13856 0.0541656 54
  207.14493 0.0536652 54
  208.12000 0.0256442 26
  209.12457 0.0863147 86
  209.13307 0.209407 209
  209.15053 0.0305229 30
  209.15851 0.0151364 15
  210.14064 0.0397798 40
  210.15508 0.0142607 14
  211.11179 0.0251439 25
  211.14868 0.181261 181
  212.11433 0.0142607 14
  212.15063 0.0700525 70
  213.12744 0.0434076 43
