ACCESSION: MycoMSB-HZI-000578
RECORD_TITLE: Colposetin A; timsTOF; MS2; CE:35.25581395348837; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Unknown
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
SP$SCIENTIFIC_NAME: Colpoma sp.
PUBLICATION: doi:10.3390/biom11060783
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Colposetin A
CH$FORMULA: C26H37NO7
CH$EXACT_MASS: 475.2570
CH$SMILES: CC(=O)O[C@H](C(=O)O)[C@@H](C)[C@@H]1C(C)=C[C@@H]2C[C@H](C)CC[C@H]2[C@]1(C)C(O)=C1C(=O)[C@@H](C)N(C)C1=O
CH$IUPAC: InChI=1S/C26H37NO7/c1-12-8-9-18-17(10-12)11-13(2)20(14(3)22(25(32)33)34-16(5)28)26(18,6)23(30)19-21(29)15(4)27(7)24(19)31/h11-12,14-15,17-18,20,22,30H,8-10H2,1-7H3,(H,32,33)/t12-,14+,15-,17+,18-,20+,22+,26+/m1/s1
CH$LINK: INCHIKEY XWTALPIXEKTSAZ-NXCOISIBSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: timsTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.25581395348837
AC$MASS_SPECTROMETRY: CCS 182.18154907226562
MS$FOCUSED_ION: BASE_PEAK 458.25371
MS$FOCUSED_ION: PRECURSOR_M/Z 458.25371
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0fk9-0397200000-45da840781e606ee93a7
PK$NUM_PEAK: 145
PK$PEAK: m/z int. rel.int.
  118.51293 0.00851466 9
  140.10376 0.133396 133
  149.12990 0.0785241 78
  154.04867 0.139073 139
  154.08487 0.305582 305
  157.10757 0.0652791 65
  166.59080 0.0577105 58
  168.18552 0.00851466 9
  173.13256 0.15894 159
  173.13874 0.076632 77
  173.97745 0.0983917 98
  174.13758 0.18543 185
  174.14461 0.107852 108
  174.76442 0.00851466 9
  177.12558 0.112583 112
  178.08451 0.0454115 45
  185.63161 0.00851466 9
  187.15212 0.104068 104
  190.09959 0.00851466 9
  201.13356 0.064333 64
  221.13147 0.103122 103
  225.11519 0.0435194 43
