ACCESSION: MycoMSB-HZI-000579
RECORD_TITLE: Colposetin A; timsTOF; MS2; CE:34.7; [M+H]+
DATE: 2026.06.26
AUTHORS: Unknown
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
SP$SCIENTIFIC_NAME: Colpoma sp.
PUBLICATION: doi:10.3390/biom11060783
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Colposetin A
CH$FORMULA: C26H37NO7
CH$EXACT_MASS: 475.2570
CH$SMILES: CC(=O)O[C@H](C(=O)O)[C@@H](C)[C@@H]1C(C)=C[C@@H]2C[C@H](C)CC[C@H]2[C@]1(C)C(O)=C1C(=O)[C@@H](C)N(C)C1=O
CH$IUPAC: InChI=1S/C26H37NO7/c1-12-8-9-18-17(10-12)11-13(2)20(14(3)22(25(32)33)34-16(5)28)26(18,6)23(30)19-21(29)15(4)27(7)24(19)31/h11-12,14-15,17-18,20,22,30H,8-10H2,1-7H3,(H,32,33)/t12-,14+,15-,17+,18-,20+,22+,26+/m1/s1
CH$LINK: INCHIKEY XWTALPIXEKTSAZ-NXCOISIBSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: timsTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.69767441860465
AC$MASS_SPECTROMETRY: CCS 182.95974731445312
MS$FOCUSED_ION: BASE_PEAK 476.26428
MS$FOCUSED_ION: PRECURSOR_M/Z 476.26428
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0udi-0988200000-a79fd361f957fa8793a8
PK$NUM_PEAK: 461
PK$PEAK: m/z int. rel.int.
  105.06982 0.00543617 5
  113.02164 0.00866389 9
  119.08475 0.0582689 58
  120.08988 0.0119766 12
  121.10305 0.0141001 14
  123.04416 0.0101079 10
  123.11704 0.0114669 11
  124.11705 0.00603075 6
  125.05773 0.0360995 36
  125.09310 0.00806931 8
  126.05443 0.0725389 72
  126.06244 0.00798437 8
  127.05315 0.00611569 6
  127.06020 0.00951329 10
  128.07059 0.379682 379
  128.08080 0.0291345 29
  129.07333 0.0749172 75
  130.07888 0.0105326 11
  131.08546 0.0298989 30
  133.10097 0.0216597 22
  135.04572 0.00671027 7
  135.08022 0.0237832 24
