ACCESSION: MycoMSB-HZI-000961
RECORD_TITLE: Trichothecolone acetate; timsTOF; MS2; CE:32.06976744186046; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
SP$SCIENTIFIC_NAME: Microcyclospora tardicrescens
PUBLICATION: doi:10.1021/jf500153d
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Trichothecolone acetate
CH$FORMULA: C17H22O5
CH$EXACT_MASS: 306.1467
CH$SMILES: CC1=C[C@@H]2[C@](CC1=O)([C@]3([C@@H](C[C@H]([C@@]34CO4)O2)OC(=O)C)C)C
CH$IUPAC: InChI=1S/C17H22O5/c1-9-5-12-15(3,7-11(9)19)16(4)13(21-10(2)18)6-14(22-12)17(16)8-20-17/h5,12-14H,6-8H2,1-4H3/t12-,13-,14-,15+,16-,17+/m1/s1
CH$LINK: INCHIKEY UGISZOXYFHGCSR-IKIFYQGPSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: timsTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 32.06976744186046
AC$MASS_SPECTROMETRY: CCS 146.16806030273438
MS$FOCUSED_ION: BASE_PEAK 307.15400
MS$FOCUSED_ION: PRECURSOR_M/Z 307.15400
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-052r-0921100000-386d27de8786163e3752
PK$NUM_PEAK: 198
PK$PEAK: m/z int. rel.int.
  102.91506 0.0267062 27
  103.18024 0.0267062 27
  104.34658 0.0267062 27
  110.59222 0.0296736 30
  112.89386 0.0267062 27
  119.01091 0.0267062 27
  119.05016 0.4273 427
  123.08082 0.329377 329
  131.08543 0.373887 374
  132.98885 0.0267062 27
  134.32705 0.0267062 27
  139.07459 0.326409 326
  139.84303 0.0296736 30
  144.09227 0.255193 255
  144.37782 0.0267062 27
  147.05905 0.0267062 27
  149.05752 0.278932 279
  149.09954 0.296736 296
  149.17595 0.0267062 27
  157.41784 0.0267062 27
  158.10945 0.20178 202
  158.33768 0.0267062 27
  159.11413 0.37092 371
  161.09731 0.335312 335
  163.07480 0.0296736 30
  168.29139 0.0267062 27
  172.10122 0.0267062 27
  174.77301 0.0267062 27
  177.83856 0.0267062 27
  180.33372 0.0267062 27
  186.10527 0.267062 267
  187.11169 1 999
  189.13483 0.0267062 27
  189.40382 0.0267062 27
  189.65147 0.0267062 27
  201.12704 0.326409 326
  205.11972 0.37092 371
  206.16950 0.0267062 27
  209.46167 0.0267062 27
  210.89487 0.0267062 27
  213.96807 0.0267062 27
  220.90592 0.0267062 27
  226.36784 0.0267062 27
  231.59642 0.0267062 27
  231.74880 0.0267062 27
  236.00679 0.0267062 27
  239.17975 0.0267062 27
  240.16050 0.249258 249
  247.99248 0.0267062 27
  256.42332 0.0267062 27
  261.78124 0.0267062 27
  263.90130 0.0267062 27
  265.74423 0.0267062 27
  271.50737 0.0267062 27
  275.44957 0.0267062 27
  287.19211 0.0267062 27
  303.89509 0.0267062 27
  305.23816 0.0267062 27
  310.21291 0.0296736 30
  311.18068 0.0267062 27
  316.61243 0.0267062 27
  322.15856 0.0267062 27
  332.53900 0.0267062 27
  334.81342 0.0267062 27
  336.31488 0.0267062 27
  339.39703 0.0267062 27
