ACCESSION: MycoMSB-HZI-002072
RECORD_TITLE: Sparticolin E; timsTOF; MS2; CE:32.674418604651166; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1021/acs.jnatprod.9b00604
SP$SCIENTIFIC_NAME: Sparticola junci
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Sparticolin E
CH$COMPOUND_CLASS: Polyketides
CH$FORMULA: C19H16O5
CH$EXACT_MASS: 324.0998
CH$SMILES: C1=CC=2C=CC=C3C2C(=C1)OC4(C=CC5(C4(CC(CC(=O)O)(O5)[H])[H])[H])O3
CH$IUPAC: InChI=1S/C19H16O5/c20-17(21)10-12-9-13-14(22-12)7-8-19(13)23-15-5-1-3-11-4-2-6-16(24-19)18(11)15/h1-8,12-14H,9-10H2,(H,20,21)
CH$LINK: INCHIKEY MFOCYSKXKXAQBP-IHRRRGAJSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 32.674418604651166
AC$MASS_SPECTROMETRY: CCS 150.87371826171875
MS$FOCUSED_ION: BASE_PEAK 307.09649
MS$FOCUSED_ION: PRECURSOR_M/Z 307.09649
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0292-0390000000-cccb39d14b4d3c2b576c
PK$NUM_PEAK: 116
PK$PEAK: m/z int. rel.int.
  115.05478 0.0497547 50
  119.05194 0.0981079 98
  119.56622 0.00630694 6
  123.04273 0.0644709 64
  129.06963 0.0847933 85
  137.06031 0.138052 138
  141.06853 0.137351 137
  141.07410 0.0700771 70
  142.08101 0.0953048 95
  143.05221 0.0833917 83
  155.04833 0.0441486 44
  159.04707 0.0749825 75
  167.08016 0.143658 144
  167.08623 0.0798879 80
  170.03496 0.0833917 83
  171.04405 0.483532 483
  172.04589 0.0441486 44
  177.06768 0.0707779 71
  178.07654 0.0637701 64
  179.08538 0.306237 306
  184.05353 0.244569 244
  185.05913 0.122635 123
  186.94284 0.0420463 42
  186.99631 0.0420463 42
  187.03952 0.313245 313
  187.56572 0.042747 43
  188.04160 0.113525 113
  188.39999 0.00630694 6
  189.06974 0.0932025 93
  190.07671 0.141556 141
  191.08467 0.0364401 36
  192.09145 0.0602663 60
  194.07153 0.0960056 96
  195.04245 0.0637701 64
  197.06168 0.262088 262
  197.06838 0.0742817 74
  197.12548 0.0140154 14
  202.07339 0.0560617 56
  203.08637 0.283111 283
  204.09317 0.0953048 95
  205.06172 0.131044 131
  205.06844 0.0911002 91
  205.10042 0.159776 160
  206.06645 0.0700771 70
  206.10238 0.0721794 72
  206.11136 0.0462509 46
  207.08436 0.13665 137
  208.05394 0.0616678 62
  209.09084 0.175193 175
  209.09763 0.0791871 79
  210.06684 0.0476524 48
  211.03829 0.0532586 53
  214.08279 0.076384 76
  215.08669 0.547302 547
  215.89698 0.0462509 46
  216.09008 0.0707779 71
  217.06613 0.0833917 83
  218.07192 0.498248 498
  219.07900 0.517169 517
  222.07257 0.107919 108
  223.07285 0.162579 162
  229.06858 0.0995095 99
  229.99518 0.00630694 6
  230.06881 0.0609671 61
  232.08033 0.216538 216
  232.08748 0.13665 137
  233.09566 0.241766 242
  234.06719 0.085494 85
  234.10439 0.17239 172
  235.07429 0.395235 395
  235.10456 0.0553609 55
  236.08082 0.159075 159
  236.83220 0.00630694 6
  237.09196 0.212334 212
  242.07009 0.051857 52
  243.08147 0.20042 200
  244.08525 0.188507 188
  244.89897 0.00630694 6
  245.08994 0.15417 154
  245.09729 0.0749825 75
  245.97477 0.00770848 8
  246.06800 0.0714786 71
  246.25697 0.0371409 37
  247.07541 1 999
  247.13898 0.0497547 50
  247.39971 0.0343378 34
  247.90188 0.0203224 20
  248.08366 0.843728 843
  249.08792 0.0686755 69
  252.91920 0.00630694 6
  260.08419 0.286615 286
  261.08977 0.898388 897
  261.10032 0.195515 195
  261.10909 0.0175193 18
  262.09623 0.468115 468
  263.10377 0.144359 144
  264.07475 0.0756833 76
  264.09508 0.0287316 29
  265.08485 0.0960056 96
  265.09504 0.0574632 57
  267.37422 0.00700771 7
  271.07778 0.0805886 81
  272.07796 0.0476524 48
  279.10024 0.169587 169
  280.10900 0.0560617 56
  307.09567 0.288718 288
  377.14332 0.00630694 6
  649.07491 0.00630694 6
  912.10810 0.00630694 6
  970.40441 0.00630694 6
  1016.76377 0.00630694 6
  1218.73337 0.00630694 6
  1227.26149 0.00630694 6
  1340.24864 0.00630694 6
  1390.71864 0.00630694 6
  1399.64621 0.00630694 6
//
