ACCESSION: MycoMSB-HZI-002127
RECORD_TITLE: Myceliothermophin E; timsTOF; MS2; CE:34.906976744186046; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1002/chem.200700038
SP$SCIENTIFIC_NAME: Myceliophthora thermophila
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Myceliothermophin E
CH$COMPOUND_CLASS: Amino acids and Peptides / Polyketides
CH$FORMULA: C26H37NO2
CH$EXACT_MASS: 395.2824
CH$SMILES: CC(=C(C)C1(C(C)=CC2(C)CC(C)(CCC2(C1(C(C3=CC(=C(C(C)C)[H])N=C3O)=O)[H])[H])[H])[H])[H]
CH$IUPAC: InChI=1S/C26H37NO2/c1-8-17(5)22-18(6)14-26(7)13-16(4)9-10-21(26)23(22)24(28)20-12-19(11-15(2)3)27-25(20)29/h8,11-12,14-16,21-23H,9-10,13H2,1-7H3,(H,27,29)
CH$LINK: INCHIKEY TXVWNUBEANXHMB-DQNMQBCPSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.906976744186046
AC$MASS_SPECTROMETRY: CCS 205.53521728515625
MS$FOCUSED_ION: BASE_PEAK 396.28971
MS$FOCUSED_ION: PRECURSOR_M/Z 396.28971
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0udi-0693000000-28af6289177341bc2f8c
PK$NUM_PEAK: 148
PK$PEAK: m/z int. rel.int.
  110.10732 0.0544379 54
  119.08520 0.132544 132
  122.82223 0.0209073 21
  124.07529 0.0544379 54
  127.04969 0.0295858 30
  128.06196 0.0485207 48
  131.08573 0.12426 124
  133.08974 0.0579882 58
  133.10128 0.163314 163
  135.11668 0.0189349 19
  136.07659 0.0840237 84
  137.07652 0.0493097 49
  137.13146 0.0122288 12
  143.08186 0.043787 44
