ACCESSION: MycoMSB-HZI-002200
RECORD_TITLE: Eburicoic acid; timsTOF; MS2; CE:36.13953488372093; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1038/166652a0
SP$SCIENTIFIC_NAME: Bacillus flexus
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Eburicoic acid
CH$FORMULA: C31H50O3
CH$EXACT_MASS: 470.3760
CH$SMILES: CC(C)C(=C)CC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O
CH$IUPAC: InChI=1S/C31H50O3/c1-19(2)20(3)9-10-21(27(33)34)22-13-17-31(8)24-11-12-25-28(4,5)26(32)15-16-29(25,6)23(24)14-18-30(22,31)7/h19,21-22,25-26,32H,3,9-18H2,1-2,4-8H3,(H,33,34)/t21-,22-,25+,26+,29-,30-,31+/m1/s1
CH$LINK: INCHIKEY UGMQOYZVOPASJF-OXUZYLMNSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 36.13953488372093
AC$MASS_SPECTROMETRY: CCS 194.5818328857422
MS$FOCUSED_ION: BASE_PEAK 453.37271
MS$FOCUSED_ION: PRECURSOR_M/Z 453.37271
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0f6t-0961200000-de70d907834f67872c3f
PK$NUM_PEAK: 187
PK$PEAK: m/z int. rel.int.
  100.70698 0.00699844 7
  109.09870 0.0940902 94
  109.10360 0.150855 151
  109.10850 0.0754277 75
  119.08546 0.25972 259
  120.09181 0.0855365 85
  121.10188 0.468118 468
  123.11827 0.205288 205
  127.74018 0.00699844 7
  131.08188 0.0995334 99
  131.09083 0.0357698 36
  133.10163 0.160964 161
  133.81815 0.00777605 8
  134.10420 0.0902022 90
  135.11717 0.426128 426
  137.09319 0.118974 119
  137.13166 0.05521 55
  139.11154 0.0645412 64
  143.51086 0.00699844 7
  145.10052 0.0769829 77
  145.10806 0.0909798 91
  145.80796 0.00699844 7
  146.11033 0.0800933 80
  147.11667 0.583204 583
  148.05098 0.0186625 19
  149.05952 0.0606532 61
  149.09581 0.0583204 58
  149.13066 0.328149 328
  157.10082 0.144635 144
  159.11803 0.0692068 69
  160.11998 0.0933126 93
  161.13444 0.460342 460
  162.13729 0.0723173 72
  163.07477 0.0598756 60
  163.14571 0.286936 287
  163.14999 0.286936 287
  164.14990 0.120529 120
  167.10841 0.066874 67
  170.10834 0.0894246 89
  173.13439 0.356143 356
  174.13945 0.122084 122
  175.07715 0.0598756 60
  175.14959 0.150855 151
  175.25519 0.00777605 8
  177.09677 0.0777605 78
  177.16609 0.275272 275
  178.06396 0.00855365 9
  178.09318 0.0637636 64
  178.12658 0.0676516 68
  179.14473 0.0614308 61
  180.01673 0.029549 30
  185.12931 0.0575428 57
  185.13782 0.0660964 66
  187.14816 0.0832037 83
  187.69422 0.0264386 26
  188.15372 0.169518 169
  188.43214 0.0264386 26
  189.12848 0.105754 106
  189.16151 0.573872 573
  189.16707 0.573872 573
  190.17108 0.0909798 91
  191.17787 0.24028 240
  192.15427 0.0241058 24
  192.18246 0.062986 63
  193.12473 0.0902022 90
  196.12086 0.0171073 17
  197.15398 0.0762053 76
  199.14876 0.487558 487
  201.16521 0.421462 421
  202.16229 0.0458787 46
  202.17119 0.108087 108
  202.54279 0.00699844 7
  203.18009 0.822706 822
  204.18455 0.0653188 65
  205.19265 0.203733 204
  211.14732 0.0559876 56
  213.16367 0.0730949 73
  215.17584 0.102644 103
  215.18272 0.05521 55
  217.16057 0.134526 134
  217.18363 0.0404355 40
  217.19453 0.26283 263
  217.20207 0.0839813 84
  218.19679 0.16874 169
  221.15505 0.0987558 99
  225.16481 0.0520995 52
  226.17053 0.0878694 88
  227.18229 0.125194 125
  228.18632 0.0559876 56
  229.14902 0.0699844 70
  229.19825 0.157854 158
  231.17802 0.0800933 80
  231.85872 0.0419907 42
  234.16047 0.0598756 60
  238.17004 0.0645412 64
  240.18759 0.0559876 56
  241.19228 0.265163 265
  243.20976 0.124417 124
  245.15846 0.0785381 78
  245.21969 0.0715397 71
  247.17335 0.0692068 69
  247.21270 0.0645412 64
  250.08623 0.00699844 7
  253.19534 0.05521 55
  255.21117 0.195956 196
  257.22852 0.0800933 80
  259.16892 0.0575428 57
  268.21376 0.0559876 56
  273.21951 0.106532 106
  275.20104 0.033437 33
  282.23349 0.0793157 79
  284.25265 0.0443235 44
  285.18700 0.0793157 79
  290.75859 0.00699844 7
  293.22567 0.0824261 82
  294.23635 0.0614308 61
  295.24097 0.803266 802
  295.25146 0.0427683 43
  296.24138 0.115863 116
  296.24946 0.0466563 47
  297.25868 1 999
  298.26063 0.145412 145
  300.27730 0.0606532 61
  301.22131 0.0614308 61
  303.71866 0.033437 33
  308.24426 0.0637636 64
  331.26209 0.136858 137
  331.28033 0.0645412 64
  333.26198 0.0637636 64
  338.26353 0.0800933 80
  344.85464 0.00699844 7
  351.30409 0.066874 67
  352.30161 0.0723173 72
  356.27042 0.0404355 40
  357.28003 0.326594 326
  357.29862 0.0427683 43
  363.00703 0.00699844 7
  365.30844 0.0171073 17
  367.29329 0.0847589 85
  368.31024 0.0730949 73
  369.27750 0.0622084 62
  369.30756 0.0194401 19
  371.28953 0.129082 129
  375.28646 0.0777605 78
  382.36482 0.0412131 41
