ACCESSION: MycoMSB-HZI-002201
RECORD_TITLE: Eburicoic acid; timsTOF; MS2; CE:36.16279069767442; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1038/166652a0
SP$SCIENTIFIC_NAME: Bacillus flexus
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Eburicoic acid
CH$FORMULA: C31H50O3
CH$EXACT_MASS: 470.3760
CH$SMILES: CC(C)C(=C)CC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O
CH$IUPAC: InChI=1S/C31H50O3/c1-19(2)20(3)9-10-21(27(33)34)22-13-17-31(8)24-11-12-25-28(4,5)26(32)15-16-29(25,6)23(24)14-18-30(22,31)7/h19,21-22,25-26,32H,3,9-18H2,1-2,4-8H3,(H,33,34)/t21-,22-,25+,26+,29-,30-,31+/m1/s1
CH$LINK: INCHIKEY UGMQOYZVOPASJF-OXUZYLMNSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 36.16279069767442
AC$MASS_SPECTROMETRY: CCS 204.17791748046875
MS$FOCUSED_ION: BASE_PEAK 471.38327
MS$FOCUSED_ION: PRECURSOR_M/Z 471.38327
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00ba-0592200000-2fb4b8e6490e74edf0b7
PK$NUM_PEAK: 142
PK$PEAK: m/z int. rel.int.
  119.08640 0.122793 123
  120.09352 0.0461477 46
  120.68392 0.0152488 15
  121.10226 0.28451 284
  123.11743 0.0525682 53
  131.09083 0.0393258 39
  133.09895 0.0914928 91
  133.10436 0.0489567 49
  135.11771 0.288925 289
  137.13349 0.0489567 49
  144.09422 0.0349117 35
  145.10025 0.151685 152
  147.11564 0.142857 143
  148.12141 0.0401284 40
  149.13210 0.0814607 81
  151.11187 0.0425361 42
  159.11253 0.0617978 62
  159.12198 0.035313 35
  160.11998 0.0276886 28
  161.13103 0.0770465 77
  163.14469 0.0244783 24
  165.15879 0.0329053 33
  171.11766 0.0810594 81
  173.13152 0.264848 265
  174.13888 0.125201 125
  175.14752 0.0365169 36
  177.16547 0.0365169 36
  179.17823 0.0425361 42
  181.39822 0.0292937 29
  185.13356 0.0838684 84
  186.13950 0.0401284 40
  187.14174 0.0722311 72
  187.14927 0.0746388 75
  188.15096 0.0304976 30
  189.16218 0.0914928 91
  191.14301 0.0252809 25
  197.12982 0.0445425 44
  199.14888 0.0826645 83
  201.16479 0.13443 134
  202.16674 0.0461477 46
  203.17801 0.182986 183
  204.18232 0.0196629 20
  205.19385 0.0493579 49
  207.21091 0.0397271 40
  208.68385 0.0104334 10
  213.16139 0.101124 101
  214.17178 0.153692 154
  215.18066 0.172552 172
  217.19616 0.0906902 91
  219.21232 0.035313 35
  221.18762 0.038122 38
  227.17871 0.079053 79
  228.10599 0.0236758 24
  229.19413 1 999
  229.22954 0.0160514 16
  230.19724 0.211878 212
  230.21343 0.00922953 9
  233.18968 0.0389246 39
  233.22312 0.032504 32
  239.19952 0.0333066 33
  241.19267 0.326645 326
  241.20441 0.0317014 32
  242.19660 0.0858748 86
  242.20391 0.0288925 29
  243.21035 0.0256822 26
  247.20658 0.325843 326
  247.21762 0.0373194 37
  248.20977 0.0738363 74
  251.18079 0.0393258 39
  251.20062 0.0417335 42
  253.19285 0.0329053 33
  254.20190 0.0377207 38
  255.21075 0.0995185 99
  256.48397 0.00963082 10
  257.22602 0.0501605 50
  259.20457 0.164928 165
  261.18486 0.0421348 42
  267.21305 0.0288925 29
  268.17534 0.0481541 48
  269.22533 0.076244 76
  270.22851 0.0365169 36
  271.20393 0.0485554 49
  272.20692 0.0333066 33
  272.24563 0.0449438 45
  273.22166 0.0858748 86
  274.22622 0.0401284 40
  280.21629 0.0910915 91
  281.22529 0.0333066 33
  282.22823 0.0280899 28
  286.26048 0.0457464 46
  295.24042 0.214286 214
  295.25194 0.152488 152
  296.24408 0.0710273 71
  297.21949 0.0208668 21
  297.25627 0.193419 193
  311.23669 0.0337079 34
  311.27533 0.0441413 44
  313.25370 0.308587 308
  315.26759 0.0341091 34
  316.26825 0.0208668 21
  317.28441 0.035313 35
  319.26294 0.00963082 10
  323.27219 0.0489567 49
  325.25517 0.0321027 32
  325.28338 0.035313 35
  327.26685 0.0264848 26
  329.24783 0.0333066 33
  331.26507 0.154494 154
  333.79618 0.00963082 10
  337.28677 0.0955056 95
  339.27119 0.0345104 34
  339.30000 0.046549 47
  353.28585 0.0369181 37
  355.26140 0.0413323 41
  370.32128 0.0260835 26
  383.29686 0.0718299 72
  383.31973 0.0220706 22
  384.80034 0.00922953 9
  392.34226 0.0304976 30
  407.36675 0.213483 213
  408.37237 0.029695 30
  411.32689 0.0646067 65
  416.31626 0.0365169 36
  417.36256 0.0308989 31
  425.37485 0.107143 107
  427.38709 0.0292937 29
  435.36207 0.0497592 50
  436.35881 0.0449438 45
  438.34444 0.0216693 22
  439.35370 0.0485554 49
  448.73111 0.00842697 8
  453.07897 0.00922953 9
  453.37117 0.471108 471
  453.39866 0.0365169 36
  454.37265 0.104735 105
  464.04874 0.00802568 8
  470.35429 0.0272873 27
  471.34879 0.0413323 41
  471.38040 0.137239 137
  471.39534 0.131621 131
  472.36133 0.0313002 31
  473.28989 0.0453451 45
//
