ACCESSION: MycoMSB-HZI-002215
RECORD_TITLE: Sordarin; timsTOF; MS2; CE:35.02325581395349; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.7164/antibiotics.54.948
SP$SCIENTIFIC_NAME: Streptomyces capreolus
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Sordarin
CH$FORMULA: C27H40O8
CH$EXACT_MASS: 492.2723
CH$SMILES: C[C@@H]1CC[C@@H]2[C@@H]1C[C@@]3([C@@H]4C[C@]2([C@]3(C(=C4)C(C)C)C(=O)O)C=O)CO[C@H]5[C@H]([C@@H]([C@@H]([C@H](O5)C)OC)O)O
CH$IUPAC: InChI=1S/C27H40O8/c1-13(2)19-8-16-9-25(11-28)18-7-6-14(3)17(18)10-26(16,27(19,25)24(31)32)12-34-23-21(30)20(29)22(33-5)15(4)35-23/h8,11,13-18,20-23,29-30H,6-7,9-10,12H2,1-5H3,(H,31,32)/t14-,15-,16+,17-,18-,20+,21+,22-,23-,25+,26+,27+/m1/s1
CH$LINK: INCHIKEY OGGVRVMISBQNMQ-YPBSLCSMSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.02325581395349
AC$MASS_SPECTROMETRY: CCS 187.7108917236328
MS$FOCUSED_ION: BASE_PEAK 493.27959
MS$FOCUSED_ION: PRECURSOR_M/Z 493.27959
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-014j-0295000000-e242a9790634f94ce3b7
PK$NUM_PEAK: 140
PK$PEAK: m/z int. rel.int.
  111.04325 0.0164844 16
  115.05458 0.012941 13
  117.07001 0.0158681 16
  119.09440 0.0109382 11
  123.08241 0.0204899 20
  131.08616 0.036204 36
  132.09011 0.0114004 11
  133.09877 0.00770297 8
  135.12033 0.0266523 27
  137.09667 0.0197196 20
  145.10220 0.0211061 21
  147.07979 0.0138654 14
  147.11583 0.0152519 15
  149.09559 0.0124788 12
  150.06743 0.0195656 20
  150.10001 0.0224927 22
  151.07456 0.0354337 35
  151.10972 0.0204899 20
  157.10215 0.0275766 28
  159.08023 0.018179 18
  159.11651 0.0292713 29
  161.10419 0.0212602 21
  162.09716 0.0146356 15
  162.13500 0.00847327 8
  165.09016 0.0261901 26
  167.08588 0.0115545 12
  169.10173 0.0167925 17
  171.11715 0.0862733 86
  173.13089 0.0318903 32
  174.13849 0.0137113 14
  175.07895 0.0121707 12
  177.08818 0.0149438 15
  179.11096 0.0184871 18
  183.11715 0.0707133 71
  185.09499 0.0109382 11
  185.13451 0.0411339 41
  187.07301 0.0192574 19
  187.08798 0.0154059 15
  187.14643 0.0321984 32
  191.10729 0.0283469 28
  193.10273 0.0130951 13
  193.12664 0.0117085 12
  195.11296 0.0383608 38
  197.10320 0.00816515 8
  199.07357 0.0123248 12
  199.11109 0.0152519 15
  199.14861 0.0132491 13
  201.08771 0.0377446 38
  201.13359 0.0157141 16
  203.10691 0.0385149 38
  209.13122 0.0221846 22
  210.13352 0.0312741 31
  211.15060 0.0845786 84
  213.12684 0.018179 18
  219.10317 0.00847327 8
  223.14576 0.0217224 22
  225.16448 0.01556 16
  227.14043 0.0405176 40
  227.17842 0.046526 46
  228.11274 0.00908951 9
  228.17653 0.018025 18
  229.12251 0.0560776 56
  229.15579 0.0201818 20
  230.19884 0.0112463 11
  233.91125 0.0100139 10
  237.13036 0.0248036 25
  237.14000 0.0175628 18
  237.16238 0.0371283 37
  238.16967 0.0123248 12
  238.33868 0.00631644 6
  239.14154 0.0203358 20
  239.15560 0.0158681 16
  239.17808 0.0533046 53
  241.12187 0.0405176 40
  241.15544 0.0237252 24
  241.19464 0.121861 122
  243.13434 0.0171006 17
  243.20922 0.0606994 61
  243.21971 0.0187953 19
  246.13625 0.0160222 16
  251.17715 0.195039 195
  253.19419 0.0759513 76
  254.16156 0.0140194 14
  254.19753 0.0366662 37
  255.13755 0.0323525 32
  255.17003 0.0101679 10
  256.13293 0.0167925 17
  257.15533 0.0218764 22
  257.19045 0.0118626 12
  259.13485 0.0303497 30
  259.20502 0.0366662 37
  260.21204 0.00955169 10
  261.16670 0.00708674 7
  262.16616 0.00677862 7
  267.17383 0.0252658 25
  268.17997 0.0118626 12
  269.18980 0.171622 171
  270.19385 0.11308 113
  270.22029 0.0141735 14
  270.53923 0.00970575 10
  271.07464 0.00878139 9
  271.20600 0.0152519 15
