ACCESSION: MycoMSB-HZI-002224
RECORD_TITLE: Butyrolactone I; timsTOF; MS2; CE:34.6046511627907; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.5281/zenodo.3541270
SP$SCIENTIFIC_NAME: Aspergillus sp. F-25799
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Butyrolactone I
CH$FORMULA: C24H24O7
CH$EXACT_MASS: 424.1522
CH$SMILES: CC(=CCC1=C(C=CC(=C1)C[C@]2(C(=C(C(=O)O2)O)C3=CC=C(C=C3)O)C(=O)OC)O)C
CH$IUPAC: InChI=1S/C24H24O7/c1-14(2)4-6-17-12-15(5-11-19(17)26)13-24(23(29)30-3)20(21(27)22(28)31-24)16-7-9-18(25)10-8-16/h4-5,7-12,25-27H,6,13H2,1-3H3/t24-/m0/s1
CH$LINK: INCHIKEY NGOLMNWQNHWEKU-DEOSSOPVSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.6046511627907
AC$MASS_SPECTROMETRY: CCS 184.17776489257812
MS$FOCUSED_ION: BASE_PEAK 407.14891
MS$FOCUSED_ION: PRECURSOR_M/Z 407.14891
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0a7i-0079000000-f8ebf033fa0a0415e340
PK$NUM_PEAK: 119
PK$PEAK: m/z int. rel.int.
  155.08505 0.00522312 5
  165.07012 0.0109026 11
  178.07834 0.00502028 5
  189.06801 0.0091785 9
  189.07447 0.00547667 5
  190.07855 0.0105477 11
  193.09623 0.00507099 5
  196.09214 0.00583164 6
  208.08746 0.00557809 6
  209.09504 0.00547667 5
  217.06578 0.0051217 5
  218.07405 0.00750507 7
  219.08004 0.0251521 25
  220.08781 0.0498986 50
  221.09569 0.0829615 83
  222.10154 0.0100406 10
  231.07542 0.00598377 6
  231.08493 0.00573022 6
  232.08362 0.00963489 10
  233.09450 0.0260142 26
  234.06626 0.0136917 14
  234.10028 0.010497 10
  235.07057 0.0201826 20
  235.07801 0.0185091 18
  235.11153 0.0717039 72
  236.08164 0.0143509 14
  236.11528 0.0193712 19
  237.08942 0.00603448 6
  242.11102 0.00527383 5
  245.09781 0.00846856 8
  246.06918 0.0220588 22
  247.07497 0.165112 165
  248.08135 0.0360548 36
  249.09110 0.0880325 88
  250.09872 0.00988844 10
  250.10528 0.00988844 10
  251.10848 0.00517241 5
  261.05716 0.0109026 11
  261.09486 0.0446247 45
  262.06270 0.0156694 16
  262.09329 0.0165822 17
  263.06158 0.0168864 17
  263.07328 0.0635903 64
  263.10480 0.0319473 32
  263.11679 0.0143509 14
  264.07525 0.019929 20
  264.10663 0.01643 16
  264.11453 0.0190162 19
  265.08176 0.0100913 10
  270.09688 0.00770791 8
  273.05352 0.0491379 49
  273.08715 0.00547667 5
  274.05373 0.00922921 9
  274.06312 0.0168357 17
  275.07092 0.386105 386
  275.08116 0.0127789 13
  275.08895 0.00948276 9
  276.07260 0.0628296 63
  276.08869 0.0056288 6
  277.08033 0.0232252 23
  277.08820 0.0256592 26
  279.10151 0.58073 580
  279.11185 0.015568 16
  280.10426 0.137931 138
  285.12143 0.00628803 6
  287.10742 0.00633874 6
  288.11282 0.00532454 5
  289.05019 0.0116126 12
  289.08689 0.0719067 72
  289.12292 0.0231744 23
  290.09213 0.00780933 8
  290.13421 0.00537525 5
  291.06925 0.0306288 31
  292.06967 0.0179006 18
  299.06357 0.00669371 7
  301.05034 0.0191684 19
  301.12099 0.0144523 14
  302.05470 0.0109026 11
  303.09680 0.00654158 7
  303.13951 0.0108519 11
  304.14572 0.0145538 15
  305.07964 0.0638945 64
  305.15087 0.00552738 6
  306.08608 0.00608519 6
  307.09657 1 999
  307.11627 0.0135396 14
  308.10040 0.196805 197
  308.11712 0.00618661 6
  312.11045 0.00998986 10
  313.12329 0.0202333 20
  315.10339 0.0193712 19
  315.11033 0.0193712 19
  316.10623 0.00578093 6
  319.05897 0.0780933 78
  319.06856 0.0425456 43
  320.06431 0.0198783 20
  321.06470 0.0118154 12
  321.07492 0.0223631 22
  323.09126 0.0580629 58
  323.09867 0.0542089 54
  329.11654 0.0189655 19
  330.11902 0.0108012 11
  331.13374 0.476978 477
  331.15149 0.0091785 9
  332.13735 0.11283 113
  333.07740 0.0961968 96
  334.07870 0.0329615 33
  347.09125 0.00598377 6
  351.08597 0.0656187 66
  357.11356 0.18854 188
  358.11537 0.0317951 32
  363.15522 0.00573022 6
  371.12937 0.00725152 7
  375.12184 0.084787 85
  375.14180 0.00679513 7
  376.12625 0.0334686 33
  376.13987 0.00856998 9
  389.13795 0.284584 284
  390.14198 0.0930527 93
//
