ACCESSION: MycoMSB-HZI-002225
RECORD_TITLE: Butyrolactone I; timsTOF; MS2; CE:34.81395348837209; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.5281/zenodo.3541270
SP$SCIENTIFIC_NAME: Aspergillus sp. F-25799
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Butyrolactone I
CH$FORMULA: C24H24O7
CH$EXACT_MASS: 424.1522
CH$SMILES: CC(=CCC1=C(C=CC(=C1)C[C@]2(C(=C(C(=O)O2)O)C3=CC=C(C=C3)O)C(=O)OC)O)C
CH$IUPAC: InChI=1S/C24H24O7/c1-14(2)4-6-17-12-15(5-11-19(17)26)13-24(23(29)30-3)20(21(27)22(28)31-24)16-7-9-18(25)10-8-16/h4-5,7-12,25-27H,6,13H2,1-3H3/t24-/m0/s1
CH$LINK: INCHIKEY NGOLMNWQNHWEKU-DEOSSOPVSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.81395348837209
AC$MASS_SPECTROMETRY: CCS 186.5531005859375
MS$FOCUSED_ION: BASE_PEAK 425.15948
MS$FOCUSED_ION: PRECURSOR_M/Z 425.15948
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0fvi-0596000000-db43d0cc04a5245d5b0e
PK$NUM_PEAK: 261
PK$PEAK: m/z int. rel.int.
  115.05292 0.0156191 16
  116.06012 0.0118326 12
  119.04920 0.0514956 51
  119.08759 0.00899281 9
  121.02828 0.159315 159
  122.03231 0.023476 23
  128.06023 0.0103181 10
  131.04946 0.227092 227
  132.05495 0.0244226 24
  133.02842 0.00747823 7
  133.06455 0.0760129 76
  134.06782 0.00776221 8
  142.07330 0.00596365 6
  145.06643 0.0210148 21
  146.07422 0.00937145 9
  146.10447 0.00889814 9
  147.04234 0.112457 112
  147.08152 0.0250852 25
  149.05741 0.0122113 12
  157.10130 0.096081 96
  157.32145 0.00880348 9
  158.03353 0.0201628 20
  158.10454 0.027641 28
  159.04590 0.0838697 84
  159.08030 0.00814086 8
  159.11384 0.010602 11
  160.03265 0.010886 11
