ACCESSION: MycoMSB-HZI-002436
RECORD_TITLE: Myrocin B; timsTOF; MS2; CE:33.093023255813954; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1271/bbb1961.52.1305
SP$SCIENTIFIC_NAME: Myrothecium verrucaria
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Myrocin B
CH$FORMULA: C20H22O6
CH$EXACT_MASS: 358.1416
CH$SMILES: C[C@]12CC[C@H]3C[C@@]34[C@H]1[C@@](C(=O)C5=C[C@@](CC(=O)[C@]45O)(C)C=C)(OC2=O)O
CH$IUPAC: InChI=1S/C20H22O6/c1-4-16(2)8-11-13(22)20(25)14-17(3,15(23)26-20)6-5-10-7-18(10,14)19(11,24)12(21)9-16/h4,8,10,14,24-25H,1,5-7,9H2,2-3H3/t10-,14-,16+,17-,18-,19-,20+/m0/s1
CH$LINK: INCHIKEY ZALWBYOUGDMNTP-RXSCCBSPSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 33.093023255813954
AC$MASS_SPECTROMETRY: CCS 156.362548828125
MS$FOCUSED_ION: BASE_PEAK 341.13835
MS$FOCUSED_ION: PRECURSOR_M/Z 341.13835
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0002-0190000000-b35bf4b3ad8d90d58c3d
PK$NUM_PEAK: 183
PK$PEAK: m/z int. rel.int.
  115.05288 0.0110437 11
  119.04933 0.0139347 14
  119.08414 0.0142238 14
  128.06375 0.0211622 21
  131.04948 0.00769008 8
  131.08541 0.0193698 19
  142.07794 0.0124313 12
  143.08605 0.013819 14
  145.06455 0.00520382 5
  147.07792 0.00555074 6
  148.04889 0.00566638 6
  155.08701 0.00647586 6
  156.08988 0.00526164 5
  157.06457 0.00607112 6
  158.07516 0.0120844 12
  159.08143 0.024747 25
  160.08015 0.00549292 5
  161.06057 0.0111015 11
  165.07110 0.0116797 12
  166.07250 0.0100607 10
  167.08800 0.00578202 6
  169.07132 0.00607112 6
  169.10227 0.0177508 18
  171.07694 0.0196589 20
  175.07371 0.0252674 25
  177.05084 0.00867303 9
  178.07635 0.00849957 8
  178.08887 0.0074588 7
  179.08480 0.0147441 15
  181.06328 0.00682278 7
  181.10117 0.0163053 16
  182.07289 0.00508818 5
  183.08107 0.00711188 7
  183.12038 0.0112171 11
  184.08442 0.0126626 13
  185.05896 0.005146 5
  185.09727 0.00583984 6
  187.07142 0.0200058 20
  188.08648 0.0054351 5
  189.05308 0.00653368 7
  191.08268 0.0145707 15
  192.09352 0.0296618 30
  193.06376 0.0120844 12
  193.09980 0.0281584 28
  194.10970 0.0126626 13
  195.07974 0.0178086 18
  195.12149 0.0179243 18
  196.08604 0.0231859 23
  196.12075 0.00763226 8
  197.05944 0.00520382 5
  197.09615 0.0158427 16
  198.10163 0.0077479 8
  199.07396 0.0163053 16
  199.10837 0.017693 18
  200.08361 0.00583984 6
  201.09161 0.0113906 11
  202.07970 0.0151489 15
  202.08351 0.0151489 15
  203.08546 0.0171148 17
  204.06823 0.00647586 6
  204.09441 0.0123157 12
  206.07302 0.00595548 6
  206.10796 0.0393177 39
  207.11585 0.113674 114
  207.12524 0.00757444 8
  208.08987 0.00653368 7
  208.12217 0.0145707 15
  209.09657 0.0397225 40
  209.13073 0.0178664 18
  210.10380 0.0198901 20
  211.07478 0.0231859 23
  211.10694 0.0132986 13
  211.14720 0.00988725 10
  212.04825 0.00531946 5
  212.08014 0.022839 23
  213.08899 0.00965597 10
  214.09863 0.00907777 9
  214.17646 0.00537728 5
  215.07045 0.0333622 33
  216.09220 0.00925123 9
  216.10140 0.0118531 12
  219.07973 0.0254987 25
  220.08787 0.0345186 34
  220.09689 0.0207574 21
  221.09211 0.00636022 6
  221.13172 0.115178 115
  221.14560 0.0071697 7
  222.10190 0.0162475 16
  223.07402 0.00959815 10
  223.11163 0.0158427 16
  224.08303 0.0123157 12
  224.11832 0.028621 29
  225.05435 0.0107546 11
  225.08937 0.0597861 60
  225.12497 0.0318589 32
  226.06351 0.0106389 11
  226.09539 0.0291414 29
  227.10610 0.0149176 15
  229.08256 0.00711188 7
