ACCESSION: MycoMSB-HZI-002439
RECORD_TITLE: Myrocin B; timsTOF; MS2; CE:32.25581395348837; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1271/bbb1961.52.1305
SP$SCIENTIFIC_NAME: Myrothecium verrucaria
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Myrocin B
CH$FORMULA: C20H22O6
CH$EXACT_MASS: 358.1416
CH$SMILES: C[C@]12CC[C@H]3C[C@@]34[C@H]1[C@@](C(=O)C5=C[C@@](CC(=O)[C@]45O)(C)C=C)(OC2=O)O
CH$IUPAC: InChI=1S/C20H22O6/c1-4-16(2)8-11-13(22)20(25)14-17(3,15(23)26-20)6-5-10-7-18(10,14)19(11,24)12(21)9-16/h4,8,10,14,24-25H,1,5-7,9H2,2-3H3/t10-,14-,16+,17-,18-,19-,20+/m0/s1
CH$LINK: INCHIKEY ZALWBYOUGDMNTP-RXSCCBSPSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 32.25581395348837
AC$MASS_SPECTROMETRY: CCS 150.26182556152344
MS$FOCUSED_ION: BASE_PEAK 305.11722
MS$FOCUSED_ION: PRECURSOR_M/Z 305.11722
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0a4j-0092000000-440f0da3a5f6db9202f9
PK$NUM_PEAK: 112
PK$PEAK: m/z int. rel.int.
  115.68461 0.00537956 5
  119.05171 0.0609683 61
  119.08756 0.0406455 41
  130.07539 0.0777047 78
  133.80532 0.00537956 5
  142.96777 0.00537956 5
  164.90540 0.0263001 26
  171.08066 0.0370592 37
  179.09435 0.0603706 60
  187.22937 0.00537956 5
  190.07391 0.0292887 29
  191.08884 0.0478183 48
  192.09129 0.0346683 35
  205.09516 0.0436342 44
  206.07302 0.0699342 70
  206.10895 0.0472206 47
  207.11849 0.0633592 63
  208.08536 0.0573819 57
  215.08164 0.0370592 37
  216.09450 0.102212 102
  216.43725 0.00537956 5
  219.27240 0.00657501 7
  220.08384 0.0490137 49
  220.09312 0.0406455 41
  221.09234 0.151225 151
  231.11601 0.0663479 66
  231.43477 0.00537956 5
  232.08487 0.0669456 67
  233.09635 0.109982 110
  234.04541 0.019725 20
  234.10162 0.231919 232
  235.10912 0.0783025 78
  235.25785 0.00537956 5
  236.08390 0.054991 55
  236.11274 0.0490137 49
  241.10218 0.0543933 54
  242.43258 0.00537956 5
  243.11988 0.0502092 50
  244.21621 0.0125523 13
  246.10526 0.0800956 80
  248.08440 0.263598 263
  249.09227 0.145846 146
  249.12787 0.685595 685
  249.13701 0.0627615 63
  250.13030 0.156605 156
  259.03017 0.0113568 11
  259.11134 0.390915 391
  260.11383 0.0263001 26
  260.87121 0.00537956 5
  261.08913 0.070532 70
  262.09850 0.0794979 79
  262.10810 0.054991 55
  263.10517 0.161387 161
  264.07949 0.0520024 52
  274.26994 0.00537956 5
  275.49142 0.00537956 5
  276.07070 0.0125523 13
  277.00973 0.00597729 6
  277.12224 0.62642 626
  277.25190 0.0119546 12
  278.08859 0.0478183 48
  278.12581 0.0914525 91
  278.23208 0.00597729 6
  278.91871 0.00597729 6
  279.23751 0.0209205 21
  280.37570 0.0358637 36
  289.08296 0.114166 114
  289.96393 0.00537956 5
  290.09367 0.297071 297
  296.71773 0.00537956 5
  301.17477 0.00537956 5
  305.11831 1 999
  306.11754 0.104005 104
  306.78457 0.0251046 25
  338.90205 0.00537956 5
  375.44055 0.00537956 5
  474.34840 0.00537956 5
  474.79820 0.00537956 5
  505.42043 0.00537956 5
  566.94032 0.00537956 5
  589.30981 0.00537956 5
  599.74481 0.00537956 5
  655.34615 0.00537956 5
  661.36240 0.00537956 5
  756.39716 0.00537956 5
  786.23199 0.00537956 5
  839.00226 0.00537956 5
  871.33198 0.00537956 5
  873.14291 0.00537956 5
  889.76854 0.00537956 5
  896.93110 0.00537956 5
  911.72017 0.00537956 5
  963.40468 0.00537956 5
  1037.14491 0.00537956 5
  1108.68176 0.00537956 5
  1111.66294 0.00537956 5
  1124.63464 0.00537956 5
  1200.11831 0.00537956 5
  1202.95947 0.00537956 5
  1233.46686 0.00537956 5
  1282.41885 0.00537956 5
  1377.55486 0.00537956 5
  1418.99476 0.00537956 5
  1508.89523 0.00537956 5
  1517.53558 0.00537956 5
  1531.60871 0.00537956 5
  1615.84423 0.00537956 5
  1638.25560 0.00537956 5
  1643.62889 0.00537956 5
  1647.10593 0.00537956 5
  1677.18063 0.00537956 5
  1709.85516 0.00537956 5
//
