ACCESSION: MycoMSB-HZI-002461
RECORD_TITLE: Macrocidin A; timsTOF; MS2; CE:33.581395348837205; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1021/np030193e
SP$SCIENTIFIC_NAME: Phoma macrostoma
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Macrocidin A
CH$FORMULA: C20H23NO5
CH$EXACT_MASS: 357.1576
CH$SMILES: CC1(CCCC2(C(COC3=CC=C(C=C3)CC4(C(C(=C1O)C(=N4)O)=O)[H])(O2)[H])[H])[H]
CH$IUPAC: InChI=1S/C20H23NO5/c1-11-3-2-4-15-16(26-15)10-25-13-7-5-12(6-8-13)9-14-19(23)17(18(11)22)20(24)21-14/h5-8,11,14-16,22H,2-4,9-10H2,1H3,(H,21,24)
CH$LINK: INCHIKEY MMJLIEREEJXFMU-MEYUZBJRSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 33.581395348837205
AC$MASS_SPECTROMETRY: CCS 178.3683624267578
MS$FOCUSED_ION: BASE_PEAK 358.16490
MS$FOCUSED_ION: PRECURSOR_M/Z 358.16490
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-07pl-0984000000-bd1b155f995182284698
PK$NUM_PEAK: 159
PK$PEAK: m/z int. rel.int.
  112.03799 0.0168902 17
  121.06410 0.101341 101
  126.02063 0.0506706 51
  131.05054 0.493294 493
  131.08735 0.0690512 69
  132.05084 0.0765027 76
  133.06339 0.396423 396
  133.07379 0.0556384 56
  134.06989 0.0680576 68
  137.09798 0.118231 118
  138.05467 0.0665673 67
  142.80912 0.0307998 31
  143.08778 0.0938897 94
  144.05677 0.0253353 25
