ACCESSION: MycoMSB-HZI-002464
RECORD_TITLE: Macrocidin A; timsTOF; MS2; CE:33.25581395348837; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1021/np030193e
SP$SCIENTIFIC_NAME: Phoma macrostoma
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Macrocidin A
CH$FORMULA: C20H23NO5
CH$EXACT_MASS: 357.1576
CH$SMILES: CC1(CCCC2(C(COC3=CC=C(C=C3)CC4(C(C(=C1O)C(=N4)O)=O)[H])(O2)[H])[H])[H]
CH$IUPAC: InChI=1S/C20H23NO5/c1-11-3-2-4-15-16(26-15)10-25-13-7-5-12(6-8-13)9-14-19(23)17(18(11)22)20(24)21-14/h5-8,11,14-16,22H,2-4,9-10H2,1H3,(H,21,24)
CH$LINK: INCHIKEY MMJLIEREEJXFMU-MEYUZBJRSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 33.25581395348837
AC$MASS_SPECTROMETRY: CCS 173.16162109375
MS$FOCUSED_ION: BASE_PEAK 340.15433
MS$FOCUSED_ION: PRECURSOR_M/Z 340.15433
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00yl-0952000000-a9c5f3cc3f42421271f9
PK$NUM_PEAK: 350
PK$PEAK: m/z int. rel.int.
  107.04829 0.00769947 8
  112.03964 0.00720273 7
  112.04627 0.00683018 7
  115.05483 0.0486184 49
  116.06372 0.0237193 24
  117.07176 0.0317914 32
  119.04895 0.0358274 36
  119.08601 0.0286867 29
  120.09021 0.00738901 7
  121.06529 0.2172 217
  122.06784 0.0458243 46
  123.04450 0.00552623 6
  126.01894 0.103322 103
