ACCESSION: MycoMSB-HZI-002496
RECORD_TITLE: Rickiol C; timsTOF; MS2; CE:35.23255813953489; [M+H-2H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1002/chem.201704928
SP$SCIENTIFIC_NAME: Hypoxylon rickii
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Rickiol C
CH$FORMULA: C24H44O6
CH$EXACT_MASS: 428.3138
CH$SMILES: C[C@H](C[C@H](C[C@@H]1CCCCCCCCCCCC[C@H]2[C@@H](O2)[C@@H](/C=C/C(=O)O1)O)O)O
CH$IUPAC: InChI=1S/C24H42O6/c1-18(25)16-19(26)17-20-12-10-8-6-4-2-3-5-7-9-11-13-22-24(30-22)21(27)14-15-23(28)29-20/h14-15,18-22,24-27H,2-13,16-17H2,1H3/b15-14+/t18-,19-,20+,21-,22+,24+/m1/s1
CH$LINK: INCHIKEY OXTHXRVCXZMQIL-ZSBYDBFHSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.23255813953489
AC$MASS_SPECTROMETRY: CCS 201.21054077148438
MS$FOCUSED_ION: BASE_PEAK 393.29994
MS$FOCUSED_ION: PRECURSOR_M/Z 393.29994
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-2H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00di-0923000000-f95131fac03cf48d3d8c
PK$NUM_PEAK: 109
PK$PEAK: m/z int. rel.int.
  107.08706 0.14052 140
  109.10038 0.137632 137
  111.04507 0.129933 130
  114.98096 0.00866218 9
  115.05812 0.123195 123
  117.07021 0.0952839 95
  119.08682 0.276227 276
  121.06407 0.0962464 96
  121.10168 0.382098 382
  122.07127 0.00866218 9
  123.04447 0.146295 146
  123.05315 0.0577478 58
  123.11796 1 999
  123.15034 0.0837344 84
  125.01995 0.145332 145
  129.06965 0.0885467 88
  131.08556 0.00866218 9
  131.76161 0.0211742 21
  133.09882 0.342637 342
  136.12252 0.157844 158
  137.09514 0.0461983 46
  137.13305 0.227141 227
  139.07477 0.204042 204
  143.08407 0.178056 178
  145.10023 0.462945 462
  147.11998 0.0750722 75
  149.13225 0.0943215 94
  151.07742 0.0769971 77
  159.07885 0.111646 112
  159.10844 0.0731473 73
  161.09359 0.274302 274
  161.13728 0.078922 79
  161.90065 0.0500481 50
  163.14899 0.102984 103
  165.12695 0.111646 112
  165.16313 0.165544 165
  167.13098 0.0615977 62
  168.02193 0.00866218 9
  168.11319 0.0654475 65
  170.10052 0.126083 126
  171.11425 0.292589 292
  173.12770 0.242541 242
  173.13254 0.242541 242
  175.11063 0.122233 122
  175.15203 0.0692974 69
  177.09298 0.120308 120
  178.16663 0.0875842 87
  185.13183 0.108758 109
  189.12243 0.0914341 91
  189.16546 0.0875842 87
  191.10666 0.113571 113
  191.17802 0.106833 107
  193.12515 0.0529355 53
  195.11710 0.0895091 89
  203.17595 0.115496 115
  203.18487 0.12512 125
  213.16641 0.0866218 87
  216.18477 0.078922 79
  217.19330 0.0577478 58
  221.19273 0.0615977 62
  223.14654 0.0644851 64
  229.16842 0.0471607 47
  231.21177 0.168431 168
  233.19013 0.0875842 87
  235.16972 0.0712223 71
  245.19320 0.161694 162
  247.16151 0.109721 110
  249.18707 0.165544 165
  251.16388 0.104909 105
  253.19330 0.0923965 92
  259.17944 0.103946 104
  263.15830 0.106833 107
  278.22240 0.0461983 46
  289.25132 0.182868 183
  291.19394 0.0625602 62
  291.26068 0.0683349 68
  291.27403 0.115496 115
  292.19309 0.0548604 55
  301.21359 0.14437 144
  301.29232 0.0587103 59
  305.21752 0.111646 112
  314.29391 0.0596728 60
  315.22636 0.12512 125
  315.23469 0.0548604 55
  319.22703 0.093359 93
  320.23114 0.0750722 75
  323.21356 0.128008 128
  323.22334 0.167469 167
  334.24544 0.078922 79
  336.31337 0.00866218 9
  337.24056 0.104909 105
  340.27790 0.106833 107
  347.29358 0.116458 116
  347.30233 0.0336862 34
  357.28050 0.14437 144
  375.29206 0.293551 293
  376.28455 0.0769971 77
  376.29669 0.0827719 83
  393.30382 0.460058 460
  394.30615 0.333013 333
  560.36885 0.00866218 9
  766.30519 0.00866218 9
  844.67818 0.00866218 9
  973.60098 0.00866218 9
  1147.08998 0.00866218 9
  1367.51555 0.00866218 9
  1458.18369 0.00866218 9
  1460.31089 0.00866218 9
  1463.25328 0.00866218 9
//
