ACCESSION: MycoMSB-HZI-003002
RECORD_TITLE: Rickenyl E or D?; timsTOF; MS2; CE:40.656; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1016/j.phytochem.2015.08.004
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Rickenyl E or D?
CH$FORMULA: C21H18O6
CH$EXACT_MASS: 366.1103
CH$SMILES: C
CH$IUPAC: InChI=1S/CH4/h1H4
CH$LINK: INCHIKEY N/A
SP$SCIENTIFIC_NAME: Hypoxylon rickii
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 40.656
AC$MASS_SPECTROMETRY: CCS 190.2310333251953
MS$FOCUSED_ION: BASE_PEAK 367.11761
MS$FOCUSED_ION: PRECURSOR_M/Z 367.11761
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0udr-0069000000-a3dcd6b0a4edf047867c
PK$NUM_PEAK: 177
PK$PEAK: m/z int. rel.int.
  107.04986 0.00523114 5
  119.04949 0.0161171 16
  121.06550 0.0242851 24
  132.05700 0.00607187 6
  133.06265 0.0140483 14
  135.04598 0.0253727 25
  145.06512 0.00704456 7
  147.04434 0.0134814 13
  148.05148 0.0182448 18
  149.05741 0.00645716 6
  159.04456 0.00836439 8
  160.05136 0.00709686 7
  161.05997 0.0255804 26
  162.06289 0.00605442 6
  165.07012 0.00558291 6
  174.06636 0.0058989 6
  175.03926 0.067063 67
  175.07491 0.0162337 16
  176.04348 0.00873366 9
  176.07818 0.00722597 7
  189.05513 0.0172285 17
  199.03799 0.01174 12
  200.04633 0.0244411 24
  201.05356 0.00847407 8
  203.03638 0.0243803 24
  205.06511 0.0141781 14
  206.07065 0.00551755 6
  207.07861 0.00684551 7
  208.08903 0.0111718 11
  209.09451 0.00515119 5
  215.07639 0.0266091 27
  216.04143 0.0180733 18
  217.04774 0.0147946 15
  218.07146 0.0201667 20
  219.08252 0.015382 15
  220.08504 0.0118608 12
  221.06317 0.0302413 30
  221.10176 0.0164798 16
  222.06645 0.00879868 9
  223.07339 0.011205 11
  225.09282 0.00516884 5
  228.04283 0.0273256 27
  229.05176 0.0224913 22
  231.06581 0.0386397 39
  231.08049 0.0058427 6
  232.05391 0.0134738 13
  232.07047 0.0076223 8
  232.08875 0.00696811 7
  233.05935 0.0304828 30
  234.06648 0.017838 18
