ACCESSION: MycoMSB-HZI-003003
RECORD_TITLE: Daldinin EF; timsTOF; MS2; CE:46.2; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/jof7020131
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Daldinin EF
CH$FORMULA: C24H28O9
CH$EXACT_MASS: 460.1733
CH$SMILES: C
CH$IUPAC: InChI=1S/CH4/h1H4
CH$LINK: INCHIKEY N/A
SP$SCIENTIFIC_NAME: Hypoxylon fuscum
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 46.2
AC$MASS_SPECTROMETRY: CCS 213.3505096435547
MS$FOCUSED_ION: BASE_PEAK 461.18061
MS$FOCUSED_ION: PRECURSOR_M/Z 461.18061
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0563-1590000000-a810d988a98b0ab1c994
PK$NUM_PEAK: 140
PK$PEAK: m/z int. rel.int.
  53.03803 0.0201712 20
  55.05392 0.018169 18
  57.06952 0.00902138 9
  77.03796 0.00580497 6
  79.05350 0.099259 99
  80.05566 0.0143376 14
  81.07244 0.456655 456
  82.07308 0.0245961 25
  83.04831 0.0110521 11
  85.06337 0.0481875 48
  93.06955 0.00645226 6
  95.04983 0.00609114 6
  97.06399 0.0157837 16
  107.04837 0.00549856 5
  109.06763 1 999
  110.06825 0.0565561 56
  119.08682 0.00829397 8
  123.04507 0.00914629 9
  125.02350 0.00980992 10
  125.06110 0.0199152 20
  127.07594 0.00655799 7
  131.04946 0.0094062 9
  131.08499 0.0166012 17
  135.04444 0.00886039 9
  137.02425 0.00786943 8
  137.05914 0.00699932 7
  141.06887 0.00612348 6
  145.06743 0.0058109 6
  145.10267 0.0104644 10
  147.04412 0.0113665 11
  147.08145 0.0104382 10
  149.02651 0.0121713 12
  149.09616 0.00935306 9
  151.04079 0.0293907 29
  152.01062 0.0100724 10
  153.01951 0.0387243 39
  155.08370 0.006651 7
  159.08108 0.0349468 35
  160.08646 0.0105058 10
  161.05902 0.0237448 24
  162.06600 0.00570924 6
  163.03899 0.0617429 62
  163.07499 0.0178284 18
  165.02061 0.00839003 8
  165.05340 0.0300477 30
  166.05928 0.00779686 8
  167.03321 0.00539327 5
  169.05087 0.00952071 10
  169.06531 0.00920911 9
  173.05906 0.00828706 8
  173.09672 0.0219987 22
  175.03996 0.0408485 41
  175.07716 0.00698238 7
  177.01928 0.0164778 16
  177.05469 0.0149861 15
  177.09155 0.0313446 31
  179.03617 0.0490893 49
  181.01192 0.00598645 6
  181.05032 0.00514382 5
  183.08409 0.00950645 9
  187.04157 0.0102983 10
  187.07615 0.0831836 83
  188.04825 0.00588862 6
  188.08177 0.00984549 10
  189.05512 0.0574062 57
  189.09070 0.00520711 5
  190.02518 0.0166385 17
  190.05983 0.00755258 8
  191.03416 0.236098 236
  191.07040 0.0164959 16
  191.10517 0.00966062 10
  192.04037 0.0364965 36
  193.03344 0.0108914 11
  193.05038 0.235113 235
  194.05303 0.0312521 31
  195.02879 0.0273397 27
  195.05324 0.00556496 6
  197.06132 0.00934822 9
  201.01808 0.00620506 6
  201.09175 0.0710753 71
  202.09529 0.00548193 5
  203.07110 0.0970901 97
  204.07527 0.0490936 49
  205.05282 0.100873 101
  205.08514 0.0965426 96
  206.05583 0.021186 21
  206.08758 0.0180153 18
  207.03175 0.0328519 33
  207.06700 0.028684 29
  209.04629 0.0760842 76
  210.04779 0.0163351 16
  211.07647 0.0186059 19
  215.03511 0.00867869 9
  215.07015 0.0729089 73
  216.04240 0.0200735 20
  216.07455 0.0144292 14
  217.04928 0.0158215 16
  219.02836 0.0366084 37
  219.06415 0.0163737 16
  219.10164 0.0318494 32
  220.03584 0.0140351 14
  221.04338 0.0245457 25
  221.08106 0.0100003 10
  229.04944 0.0086773 9
  229.08483 0.248076 248
  230.08917 0.0291682 29
  231.06526 0.286172 286
  231.07728 0.0165874 17
  231.09838 0.00649234 6
  232.06958 0.0801011 80
  233.04446 0.0581229 58
  233.08136 0.328807 328
  234.05075 0.00652797 7
  234.08501 0.0628249 63
  237.03988 0.00532569 5
  239.07169 0.00541582 5
  242.05847 0.00670815 7
  247.09655 0.219762 220
  247.10948 0.012292 12
  248.09858 0.0260559 26
  249.07689 0.0221625 22
  249.10788 0.0192706 19
  250.08356 0.128541 128
  251.09137 0.324834 325
  251.10597 0.00589615 6
  252.09517 0.0679591 68
  257.08197 0.115708 116
  258.08298 0.0258585 26
  260.06890 0.010006 10
  265.10924 0.00882582 9
  275.09111 0.438952 439
  275.10767 0.0167612 17
  276.09523 0.0854252 85
  277.09885 0.0118772 12
  280.05936 0.00614808 6
  293.10139 0.415333 415
  294.10538 0.0722482 72
  311.11399 0.0503117 50
  312.11834 0.00859496 9
  335.11712 0.0107032 11
//
