ACCESSION: MycoMSB-HZI-003010
RECORD_TITLE: Aethiopinolone A; timsTOF; MS2; CE:34.04651162790698; [M+H-2H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23020369
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Aethiopinolone A
CH$FORMULA: C21H30O5
CH$EXACT_MASS: 362.2093
CH$SMILES: C
CH$IUPAC: InChI=1S/C21H30O5/c1-11(22)18-17(25)9-13-14-10-16(24)15-8-12(23)4-5-20(15,3)21(14,26)7-6-19(13,18)2/h10,12-13,15,17-18,23,25-26H,4-9H2,1-3H3/t12-,13-,15+,17+,18-,19-,20-,21+/m0/s1
CH$LINK: INCHIKEY XRQFYNJEWGIVRD-SVPJLXCXSA-N
SP$SCIENTIFIC_NAME: Fomitiporia aethiopica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.04651162790698
AC$MASS_SPECTROMETRY: CCS 179.0753936767578
MS$FOCUSED_ION: BASE_PEAK 327.19547
MS$FOCUSED_ION: PRECURSOR_M/Z 327.19547
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-2H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0uxr-0590000000-1ec19f1776f49824e165
PK$NUM_PEAK: 288
PK$PEAK: m/z int. rel.int.
  109.06485 0.0282229 28
  115.05408 0.0835761 83
  115.06198 0.0267662 27
  119.08368 0.0611799 61
  121.03197 0.0205754 21
  123.08155 0.0659141 66
  128.06472 0.0207575 21
  129.07019 0.0660961 66
  131.04873 0.0214858 21
  131.08623 0.140568 140
  133.06918 0.0187546 19
  133.10347 0.0291333 29
  134.10332 0.0342316 34
  135.07964 0.0207575 21
  137.09602 0.0180262 18
  140.05694 0.0158412 16
  141.06817 0.130554 130
  141.07303 0.130554 130
  141.08996 0.0227604 23
  142.07797 0.0528041 53
  143.08498 0.155317 155
  144.08597 0.0171158 17
  145.10129 0.162418 162
  145.11110 0.0207575 21
  146.10583 0.022032 22
  147.07930 0.0637291 64
  148.08645 0.00655499 7
  151.05354 0.0233066 23
  152.05876 0.0223962 22
  153.07054 0.0697378 70
  154.07627 0.041697 42
  154.08890 0.00600874 6
  155.08504 0.247087 247
  156.09149 0.0617261 62
  157.06030 0.0149308 15
  157.10131 0.18882 189
  157.88271 0.00946832 9
  158.07256 0.0396941 40
  158.10312 0.0322287 32
  159.08102 0.0402403 40
  159.11914 0.0302258 30
  161.09879 0.0205754 21
  161.13384 0.0535324 53
  162.10498 0.0171158 17
  165.06889 0.0866715 87
  166.07977 0.074654 75
  167.08650 0.0418791 42
  168.09095 0.0518937 52
  168.44944 0.0127458 13
  169.10214 0.233795 234
  169.11397 0.00873999 9
  170.10201 0.0189366 19
  170.11425 0.0167516 17
  171.07912 0.131828 132
  171.09408 0.0362345 36
  171.10929 0.0566278 57
  171.11581 0.0518937 52
  173.09613 0.384741 384
  173.96736 0.00837582 8
  174.09736 0.0223962 22
  175.10877 0.0955936 95
  176.08233 0.0183904 18
  178.07789 0.0535324 53
  179.08482 0.149126 149
  180.09144 0.0457028 46
  181.10136 0.223962 224
  181.97177 0.0100146 10
  182.10270 0.0731974 73
  182.11048 0.0852149 85
  183.08177 0.0923161 92
  183.11562 0.174436 174
  184.08377 0.0398762 40
  184.09438 0.0205754 21
  184.12197 0.019665 20
  185.09541 0.0606336 61
  185.13186 0.0478878 48
  186.09696 0.0165696 17
  187.11189 0.134195 134
  187.14832 0.0189366 19
  189.12868 0.0207575 21
  189.13728 0.0167516 17
  190.08286 0.0191187 19
  191.08400 0.0970503 97
  191.10940 0.0327749 33
