ACCESSION: MycoMSB-HZI-003011
RECORD_TITLE: Aethiopinolone A; timsTOF; MS2; CE:34.651162790697676; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23020369
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Aethiopinolone A
CH$FORMULA: C21H30O5
CH$EXACT_MASS: 362.2093
CH$SMILES: C
CH$IUPAC: InChI=1S/C21H30O5/c1-11(22)18-17(25)9-13-14-10-16(24)15-8-12(23)4-5-20(15,3)21(14,26)7-6-19(13,18)2/h10,12-13,15,17-18,23,25-26H,4-9H2,1-3H3/t12-,13-,15+,17+,18-,19-,20-,21+/m0/s1
CH$LINK: INCHIKEY XRQFYNJEWGIVRD-SVPJLXCXSA-N
SP$SCIENTIFIC_NAME: Fomitiporia aethiopica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.651162790697676
AC$MASS_SPECTROMETRY: CCS 186.7721710205078
MS$FOCUSED_ION: BASE_PEAK 363.21660
MS$FOCUSED_ION: PRECURSOR_M/Z 363.21660
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00vi-0591000000-f826aa96619c541fb5ff
PK$NUM_PEAK: 200
PK$PEAK: m/z int. rel.int.
  117.07413 0.0333623 33
  121.09909 0.0116043 12
  123.08078 0.0600522 60
  128.06826 0.0400348 40
  131.08592 0.0472875 47
  133.09445 0.0365535 37
  135.08052 0.0733972 73
  137.09602 0.0319118 32
  143.08583 0.0559907 56
  145.07153 0.035103 35
  145.09883 0.145634 145
  145.10321 0.145634 145
  146.10583 0.0110241 11
  146.43312 0.00696258 7
  147.08309 0.0403249 40
  147.11724 0.0214679 21
  149.09513 0.0104439 10
  151.05931 0.0333623 33
  154.07919 0.0429359 43
  155.08662 0.040615 41
  157.06226 0.0455469 46
  157.06814 0.0240789 24
  157.09951 0.0307514 31
  158.10632 0.0658544 66
  161.06107 0.040615 41
  161.09529 0.125616 125
  167.08789 0.0313316 31
  168.05783 0.0261097 26
  169.09770 0.0687554 69
  171.07860 0.0661445 66
  171.11747 0.0176965 18
  172.12334 0.0910937 91
  173.09599 1 999
  174.09823 0.145054 145
  174.13658 0.0310415 31
  174.35132 0.0142153 14
  175.11067 0.0879025 88
  176.11554 0.0197273 20
  179.08712 0.0626632 63
  179.10704 0.0261097 26
  181.09713 0.0252393 25
  183.07909 0.0823905 82
  183.11540 0.0557006 56
  184.08377 0.0287206 29
  185.09795 0.0913838 91
  185.12943 0.0455469 46
  185.13794 0.0171163 17
  186.10123 0.0475776 48
  186.13324 0.0362634 36
  187.07726 0.116913 117
  187.09483 0.00725268 7
  187.11046 0.175515 175
  188.08249 0.0380041 38
  188.11681 0.0240789 24
  189.09057 0.113722 114
  189.09537 0.113722 114
  189.13083 0.0310415 31
  191.10750 0.248042 248
  192.11116 0.0208877 21
  193.10544 0.0319118 32
  193.11413 0.0414853 41
  194.10663 0.0272701 27
  194.12407 0.0194372 19
  195.08086 0.070206 70
  195.11698 0.0353931 35
  196.08832 0.024369 24
  196.11680 0.037714 38
  196.12337 0.0307514 31
  197.09692 0.102118 102
  197.13235 0.0380041 38
  198.10209 0.035103 35
  199.11356 0.0879025 88
  200.11508 0.0391645 39
  200.12393 0.0150856 15
  201.12317 0.0644038 64
  201.12982 0.0223383 22
  202.09154 0.0400348 40
  203.10236 0.0281404 28
  203.14249 0.0234987 23
  203.15810 0.0252393 25
  204.09559 0.0266899 27
  205.10043 0.119234 119
  207.11427 0.0580215 58
  207.12134 0.0580215 58
  208.12276 0.106469 106
