ACCESSION: MycoMSB-HZI-003012
RECORD_TITLE: Aethiopinolone A; timsTOF; MS2; CE:34.44186046511628; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23020369
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Aethiopinolone A
CH$FORMULA: C21H30O5
CH$EXACT_MASS: 362.2093
CH$SMILES: C
CH$IUPAC: InChI=1S/C21H30O5/c1-11(22)18-17(25)9-13-14-10-16(24)15-8-12(23)4-5-20(15,3)21(14,26)7-6-19(13,18)2/h10,12-13,15,17-18,23,25-26H,4-9H2,1-3H3/t12-,13-,15+,17+,18-,19-,20-,21+/m0/s1
CH$LINK: INCHIKEY XRQFYNJEWGIVRD-SVPJLXCXSA-N
SP$SCIENTIFIC_NAME: Fomitiporia aethiopica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.44186046511628
AC$MASS_SPECTROMETRY: CCS 185.20907592773438
MS$FOCUSED_ION: BASE_PEAK 345.20604
MS$FOCUSED_ION: PRECURSOR_M/Z 345.20604
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00fr-0891000000-2a4117a25527389c6b9c
PK$NUM_PEAK: 168
PK$PEAK: m/z int. rel.int.
  115.05359 0.0361757 36
  123.04511 0.0436405 44
  123.08155 0.089578 89
  123.08675 0.0321562 32
  129.07038 0.0330175 33
  130.07997 0.0244042 24
  131.08354 0.118289 118
  131.08708 0.118289 118
  131.38021 0.00890037 9
  133.09986 0.0350273 35
  144.09911 0.0436405 44
  145.06298 0.122595 122
  145.06727 0.122595 122
  145.09904 0.0677577 68
  148.08645 0.0206718 21
  152.49114 0.00890037 9
  153.06925 0.0344531 34
  154.07531 0.0482343 48
  155.08272 0.0746483 75
  155.08857 0.0341659 34
  158.07539 0.0482343 48
  158.43550 0.0126328 13
  159.07606 0.0353144 35
  159.11947 0.0244042 24
  160.08385 0.0358886 36
  160.09177 0.0407695 41
  161.09482 0.0261269 26
  165.06703 0.0795291 79
  165.07603 0.0195234 20
  166.07682 0.0508183 51
  167.08385 0.0189492 19
  168.09028 0.0137812 14
  171.07972 0.0611542 61
  172.08981 0.0522538 52
  173.09652 1 999
  173.10462 0.0691932 69
  174.10149 0.120011 120
  175.11204 0.10824 108
  175.11558 0.10824 108
  180.09111 0.0488085 49
  181.09916 0.0849842 85
  181.10478 0.0864198 86
  181.52049 0.00861326 9
  182.10983 0.0551249 55
  183.08551 0.0229687 23
  183.11937 0.0310078 31
  183.13207 0.0226816 23
  185.09538 0.052828 53
  185.10176 0.0192363 19
  187.07557 0.00918748 9
  187.11408 0.063451 63
  188.11681 0.0651737 65
  189.08781 0.0312949 31
  191.10807 0.436118 436
  192.08731 0.0668964 67
  192.09382 0.0312949 31
  192.10683 0.0109101 11
  192.21308 0.00602929 6
  192.45839 0.0120586 12
  193.10109 0.0255527 26
  194.10865 0.0416308 42
  195.08202 0.0180879 18
  195.11672 0.150158 150
  195.12353 0.0356015 36
  196.08750 0.0645995 65
  196.12303 0.0852713 85
  197.09555 0.0824002 82
  197.13235 0.073787 74
  199.10830 0.0539765 54
  199.73687 0.0100488 10
  201.12761 0.0318691 32
  204.09336 0.0203847 20
  205.12709 0.0327304 33
  207.11359 0.0631639 63
  208.09048 0.0206718 21
  208.11982 0.0493827 49
  209.09582 0.0803905 80
  209.10261 0.0295722 30
  209.13201 0.0470858 47
  210.10585 0.0255527 26
  211.10922 0.0221074 22
  212.11726 0.0212461 21
  213.08888 0.0109101 11
  213.12896 0.0548378 55
