ACCESSION: MycoMSB-HZI-003019
RECORD_TITLE: Akanthopyrone A; timsTOF; MS2; CE:37.348837209302324; [M+H-2H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules22071202
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Akanthopyrone A
CH$COMPOUND_CLASS: Polyketides
CH$FORMULA: C25H42O10
CH$EXACT_MASS: 502.2778
CH$SMILES: CCCCCCCCCCC(C1=CC(=C(CO)C(=O)O1)OC)(OC2(C(C(C(C(CO)(O2)[H])(OC)[H])(O)[H])(O)[H])[H])[H]
CH$IUPAC: InChI=1S/C25H42O10/c1-4-5-6-7-8-9-10-11-12-17(19-13-18(31-2)16(14-26)24(30)33-19)34-25-22(29)21(28)23(32-3)20(15-27)35-25/h13,17,20-23,25-29H,4-12,14-15H2,1-3H3
CH$LINK: INCHIKEY YEZBNJMKRUSNMX-DHRDOYSISA-N
SP$SCIENTIFIC_NAME: Akanthomyces novoguineensis
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 37.348837209302324
AC$MASS_SPECTROMETRY: CCS 220.92105102539062
MS$FOCUSED_ION: BASE_PEAK 467.26394
MS$FOCUSED_ION: PRECURSOR_M/Z 467.26394
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-2H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0a4i-0595500000-f5a0025d5530828baeb8
PK$NUM_PEAK: 125
PK$PEAK: m/z int. rel.int.
  105.43758 0.00834879 8
  109.03023 0.124304 124
  113.57484 0.00834879 8
  117.17029 0.00834879 8
  119.04706 0.0565863 57
  120.53997 0.00834879 8
  123.04824 0.054731 55
  123.68239 0.0333952 33
  124.17345 0.00927644 9
  133.03095 0.152134 152
  141.05467 0.339518 339
  143.08469 0.106679 107
  147.04669 0.00834879 8
  150.68812 0.00834879 8
  151.03780 0.0612245 61
  153.05726 0.130798 131
  153.09016 0.0575139 57
  154.80781 0.00834879 8
  155.03171 0.127087 127
  155.07066 0.0649351 65
  162.05875 0.0426716 43
  163.03997 0.123377 123
  165.05750 0.148423 148
  166.05983 0.0927644 93
  186.06444 0.0556586 56
  195.97173 0.00834879 8
  196.76084 0.00834879 8
  203.07181 0.160482 160
  205.05041 0.0834879 83
  207.10056 0.103896 104
  210.08493 0.0463822 46
  216.07633 0.105751 106
  219.06426 0.0779221 78
  221.07846 0.0361781 36
  231.07130 0.0612245 61
  235.20800 0.0779221 78
  236.08925 0.00834879 8
  241.03481 0.0306122 31
  241.72744 0.00834879 8
  243.86257 0.00834879 8
  245.04873 0.0630798 63
  245.19322 0.0816327 82
  251.08962 0.175325 175
  259.16958 0.127087 127
  263.20800 0.281076 281
  271.09142 0.00834879 8
  275.20192 0.11039 110
  277.18021 0.0742115 74
  277.86034 0.00834879 8
  278.18115 0.0918367 92
  279.19039 0.202226 202
  279.19916 0.279221 279
  280.09942 0.00927644 9
  289.18281 0.148423 148
  291.17327 0.115028 115
  291.21865 0.0695733 70
  295.19223 0.175325 175
  296.19142 0.0955473 95
  309.19384 0.0296846 30
  309.20948 0.215213 215
  309.23785 0.0241187 24
  310.20963 0.0927644 93
  311.19948 0.0714286 71
  315.19410 0.0825603 82
  319.22537 0.096475 96
  328.20304 0.102968 103
  338.20501 0.0695733 70
  345.20532 0.0927644 93
  359.21648 0.184601 184
  360.10347 0.00834879 8
  368.19265 0.0538033 54
  371.86963 0.00834879 8
  373.20108 0.0899814 90
  384.20197 0.108534 108
  385.23286 0.0640074 64
  387.22157 0.106679 107
  388.21670 0.0825603 82
  389.23136 0.0816327 82
  405.14519 0.0408163 41
  405.22564 1 999
  405.24595 0.0630798 63
  406.23198 0.214286 214
  408.26191 0.0528757 53
  423.27769 0.0732839 73
  435.24599 0.109462 109
  449.25907 0.0575139 57
  467.54414 0.00834879 8
  548.26550 0.00834879 8
  549.04226 0.00834879 8
  578.24415 0.00834879 8
  652.39970 0.00834879 8
  677.04803 0.00834879 8
  679.10095 0.00834879 8
  696.74229 0.00834879 8
  704.26062 0.00927644 9
  713.82393 0.00834879 8
  754.25075 0.00834879 8
  805.19125 0.00834879 8
  812.77252 0.00834879 8
  815.82570 0.00834879 8
  855.03138 0.00834879 8
  901.98436 0.00834879 8
  927.28376 0.00834879 8
  943.18470 0.00834879 8
  979.79387 0.00834879 8
  991.34393 0.00834879 8
  1026.13958 0.00834879 8
  1046.78672 0.00834879 8
  1057.21792 0.00834879 8
  1074.35582 0.00834879 8
  1131.97893 0.00834879 8
  1293.52394 0.00834879 8
  1340.18197 0.00834879 8
  1347.24624 0.00834879 8
  1357.76218 0.00834879 8
  1388.69247 0.00834879 8
  1389.83523 0.00834879 8
  1403.02238 0.00834879 8
  1448.38149 0.00834879 8
  1493.80869 0.00834879 8
  1558.23584 0.00834879 8
  1568.62670 0.00834879 8
  1684.92267 0.00834879 8
  1709.59139 0.00834879 8
  1745.00898 0.00834879 8
//
