ACCESSION: MycoMSB-HZI-003024
RECORD_TITLE: Isochromophilonol A1/A2; timsTOF; MS2; CE:36.0; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/jof9070781
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Isochromophilonol A1/A2
CH$FORMULA: C23H27ClO5
CH$EXACT_MASS: 418.1547
CH$SMILES: C
CH$IUPAC: InChI=1S/2C23H27ClO5/c2*1-6-12(2)9-13(3)7-8-15-10-16-17(11-28-15)19-18(14(4)25)22(27)29-23(19,5)21(26)20(16)24/h2*7-12,14,18-19,25H,6H2,1-5H3/b8-7+,13-9+;8-7+,13-9-/t2*12-,14+,18+,19-,23+/m00/s1
CH$LINK: INCHIKEY SSNLCVXEGIPQES-DALSRYILSA-N
SP$SCIENTIFIC_NAME: Diaporthe africana
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 36.0
AC$MASS_SPECTROMETRY: CCS 202.775634765625
MS$FOCUSED_ION: BASE_PEAK 419.16198
MS$FOCUSED_ION: PRECURSOR_M/Z 419.16198
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-014i-0289500000-0582c20f749ee27e8279
PK$NUM_PEAK: 253
PK$PEAK: m/z int. rel.int.
  121.10160 0.0322633 32
  123.11693 0.00702193 7
  128.06100 0.00678025 7
  133.10099 0.0100294 10
  135.11705 0.0149568 15
  143.08426 0.00520938 5
  145.06371 0.00882104 9
  167.02797 0.00550476 5
  169.09731 0.00502141 5
  171.08024 0.00577328 6
  177.04610 0.00806917 8
  179.02594 0.0120299 12
  179.08661 0.00712933 7
  185.09578 0.00810945 8
  187.07131 0.00518253 5
  187.07683 0.00518253 5
  189.05268 0.00558532 6
  193.04102 0.0100965 10
  193.09891 0.0054242 5
  193.10397 0.0054242 5
  194.01048 0.00549133 5
  194.10667 0.00729045 7
  195.02114 0.0109558 11
  195.05449 0.00715619 7
  195.08163 0.00692794 7
  195.11794 0.0128221 13
  197.09506 0.0140976 14
  198.09948 0.00541078 5
  199.07628 0.00543763 5
  203.06182 0.0075187 8
  205.00330 0.00648488 6
  205.04065 0.0111841 11
  205.07726 0.00680711 7
  206.10327 0.00694137 7
  206.10836 0.00694137 7
  207.01983 0.0334716 33
  207.11682 0.0056793 6
  207.12247 0.0056793 6
  208.02276 0.0104725 10
  208.12229 0.0114794 11
  209.04064 0.00605524 6
  209.09621 0.0118017 12
  209.13132 0.00772009 8
  210.10381 0.00865993 9
  211.01624 0.00765296 8
  217.04313 0.01011 10
  217.07632 0.00653858 7
  219.01969 0.00820343 8
  219.05679 0.00739786 7
  221.03512 0.0137753 14
  221.09770 0.00508855 5
  222.10248 0.0114794 11
  223.11170 0.0149434 15
  223.14695 0.0117077 12
  225.09118 0.00891503 9
  225.12101 0.00769324 8
  225.12762 0.0075187 8
  226.10022 0.00543763 5
  229.07695 0.0094118 9
  231.05673 0.0220862 22
  231.09285 0.00719647 7
  233.03749 0.0118419 12
  233.07302 0.0163263 16
  235.01503 0.0129698 13
  235.04825 0.00786778 8
  235.05148 0.00786778 8
  235.14826 0.00592097 6
  235.15476 0.00592097 6
  236.11773 0.00639089 6
  237.08987 0.00718304 7
  237.12537 0.00772009 8
  238.09384 0.0110229 11
  238.10005 0.0110229 11
  239.10560 0.00657886 7
  241.07586 0.00801547 8
  243.05510 0.0110901 11
  244.06179 0.0081363 8
  245.03828 0.0108216 11
  245.07334 0.0157221 16
  247.01635 0.00695479 7
  247.04907 0.0108484 11
  247.14856 0.00657886 7
  248.01918 0.00774694 8
  248.11617 0.00555846 6
  248.15571 0.00738443 7
  249.02869 0.00660571 7
  249.06661 0.0078812 8
  249.09161 0.0056256 6
  249.12781 0.00951921 10
  250.10009 0.00908957 9
  250.13419 0.0102442 10
  251.10796 0.0150374 15
  251.14278 0.00912985 9
  253.02685 0.00647145 6
  255.05791 0.00723674 7
  255.09531 0.00606866 6
  257.07140 0.0154133 15
  258.07812 0.00684738 7
  259.05124 0.0195755 20
  259.08862 0.0285039 28
  259.12490 0.00614922 6
  260.05239 0.00608209 6
  260.05890 0.00608209 6
  260.09312 0.00574643 6
  261.03157 0.0135337 14
  261.06881 0.0109424 11
  261.07613 0.00738443 7
  261.12678 0.00720989 7
  262.03971 0.00668627 7
  262.13652 0.00571958 6
  263.10820 0.00703535 7
  263.14332 0.00793491 8
  264.11392 0.00853909 9
  265.11868 0.00711591 7
  265.15767 0.00780065 8
  266.12527 0.00627006 6
  266.13102 0.00610894 6
  266.16683 0.0121507 12
  267.10179 0.00586727 6
  267.17235 0.0103651 10
  269.07234 0.00741129 7
  269.11918 0.00545105 5
  269.15084 0.0143124 14
  271.08416 0.0103919 10
  273.06775 0.023845 24
  273.07750 0.00925068 9
  273.10363 0.010835 11
  273.11075 0.00898216 9
  273.14049 0.00502141 5
  274.07107 0.00633719 6
  274.07877 0.0053705 5
  274.11290 0.0072636 7
  275.08186 0.0101234 10
  275.10331 0.00571958 6
  276.15168 0.00648488 6
  277.12899 0.00561217 6
  279.04165 0.00762611 8
  279.14115 0.00561217 6
  282.08395 0.00523623 5
  283.08922 0.00951921 10
  283.12794 0.00604181 6
  284.09632 0.00535707 5
  285.06782 0.0133323 13
  285.10170 0.0102442 10
  286.07309 0.0107141 11
  286.10987 0.0128355 13
  287.08468 0.0175481 18
  287.12009 0.0361569 36
  287.12899 0.0133054 13
  288.12767 0.0260201 26
  289.05358 0.00657886 7
  289.06054 0.00774694 8
  289.13691 0.00596125 6
  291.11311 0.00610894 6
  291.17013 0.00518253 5
  291.17777 0.00522281 5
  293.15411 0.00754555 8
  294.16111 0.0159907 16
  295.17101 0.00994885 10
  296.17534 0.01638 16
  297.05373 0.014111 14
  297.18052 0.00665942 7
  299.04197 0.00557189 6
  299.04865 0.00557189 6
  299.08169 0.00903586 9
  299.11986 0.00508855 5
  300.09063 0.00730388 7
  301.06085 0.00835112 8
  301.06429 0.00835112 8
  301.09847 0.00996227 10
  301.13594 0.0772815 77
  302.13666 0.0142855 14
  303.11428 0.0169036 17
  303.12318 0.0113183 11
  303.15130 0.00503484 5
  304.08080 0.00596125 6
  306.06529 0.00715619 7
  311.08435 0.00683396 7
  311.12280 0.00961319 10
  311.16225 0.0225964 23
  312.16944 0.00643117 6
  313.06129 0.0133994 13
  313.09767 0.00900901 9
  313.13223 0.0103114 10
  314.06775 0.00592097 6
  314.10642 0.0429103 43
  314.13998 0.0102711 10
  315.11393 0.0650367 65
  316.11552 0.0118419 12
  317.09151 0.00647145 6
  318.10137 0.024033 24
  319.07247 0.00938494 9
  319.10640 0.00884789 9
  322.15563 0.00918355 9
  327.11578 0.00600153 6
  327.14761 0.00884789 9
  329.09416 0.0108081 11
  329.13060 0.144372 144
  329.16246 0.0107544 11
  329.17249 0.00851224 9
  330.09919 0.00573301 6
  330.13252 0.0288127 29
  330.16990 0.00710248 7
  331.06978 0.01156 12
  331.10529 0.0148897 15
  331.12847 0.00786778 8
  331.14530 0.0697359 70
  332.11195 0.0054242 5
  332.11880 0.0054242 5
  332.14740 0.0231737 23
  333.12439 0.00504827 5
  339.07258 0.0086465 9
  339.07844 0.0086465 9
  339.15893 0.02312 23
  342.10019 0.00555846 6
  345.16014 0.010647 11
  346.10069 0.00589412 6
  347.10339 0.00641774 6
  347.14095 0.0439978 44
  348.14174 0.0083377 8
  350.09089 0.0249594 25
  355.14485 0.0363851 36
  356.14774 0.00610894 6
  357.08796 0.00894188 9
  357.12362 0.158255 158
  357.16167 0.00848539 8
  358.12659 0.0196426 20
  358.16317 0.00663256 7
  359.12333 0.0064983 6
  359.14113 0.0145406 15
  363.09827 0.0200991 20
  364.10549 0.00742471 7
  373.15564 0.0697628 70
  374.15912 0.0111841 11
  375.09834 0.0825311 82
  375.13478 0.142896 143
  376.10808 0.0111035 11
  376.13939 0.0393792 39
  377.13057 0.00753212 8
  383.14099 0.0134531 13
  389.11777 0.0118285 12
  390.12106 0.0458506 46
  391.12453 0.00829742 8
  391.16539 0.0248788 25
  392.17082 0.00865993 9
  401.14921 0.0167694 17
  402.15762 0.00690109 7
  404.13725 0.0168902 17
  419.16184 1 999
  419.18509 0.032411 32
  419.76467 0.00763953 8
  420.16457 0.192975 193
  421.16222 0.0393657 39
//
