ACCESSION: MycoMSB-HZI-003026
RECORD_TITLE: Cordyanhydrid B; timsTOF; MS2; CE:37.325581395348834; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1002/cbic.202500037
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Cordyanhydrid B
CH$FORMULA: C29H32O11
CH$EXACT_MASS: 556.1945
CH$SMILES: CC/C=C/C1=C(C(=O)OC1=O)CC(CC)CC2=C(C(=O)OC2=O)CC(CC)CC3=C(C(=O)OC3=O)CCC(=O)O
CH$IUPAC: InChI=1S/C29H32O11/c1-4-7-8-17-19(26(34)38-24(17)32)11-15(5-2)13-21-22(29(37)40-28(21)36)14-16(6-3)12-20-18(9-10-23(30)31)25(33)39-27(20)35/h7-8,15-16H,4-6,9-14H2,1-3H3,(H,30,31)/b8-7+
CH$LINK: INCHIKEY PHRCULZLDFTOFU-BQYQJAHWSA-N
SP$SCIENTIFIC_NAME: Hypoxylon lienhwacheense
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 37.325581395348834
AC$MASS_SPECTROMETRY: CCS 218.4347686767578
MS$FOCUSED_ION: BASE_PEAK 557.20174
MS$FOCUSED_ION: PRECURSOR_M/Z 557.20174
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00kf-0144900000-0a92ec4d039af79478e9
PK$NUM_PEAK: 584
PK$PEAK: m/z int. rel.int.
  117.07032 0.0161608 16
  119.05208 0.0131389 13
  121.06424 0.0248325 25
  122.07319 0.0123505 12
  125.02501 0.0386283 39
  129.07096 0.0285114 28
  131.08590 0.0292997 29
  133.06435 0.0459861 46
  133.06792 0.0459861 46
  133.10034 0.0398108 40
  133.11386 0.0105111 11
  134.07390 0.0126133 13
  134.11013 0.0172119 17
  135.04466 0.0110367 11
  135.07772 0.0243069 24
  139.04018 0.0148469 15
  139.07339 0.0155039 15
  145.06543 0.0176061 18
  145.10078 0.0168178 17
  147.08165 0.0311391 31
  147.11489 0.0102483 10
  149.06030 0.0152411 15
  155.08480 0.0282486 28
  157.09940 0.0455919 46
  158.10634 0.0190514 19
  160.12291 0.0161608 16
  161.06055 0.0470372 47
  161.09689 0.0620155 62
  161.10819 0.0156353 16
  161.13004 0.0155039 15
  163.03988 0.0210222 21
  163.07349 0.0279858 28
  163.10779 0.00722638 7
  163.11579 0.0191828 19
  165.05182 0.025358 25
  166.09403 0.0107739 11
  167.03480 0.0123505 12
  171.07836 0.0384969 38
  171.08830 0.0161608 16
  171.11694 0.0114308 11
  173.09502 0.0381027 38
  174.10096 0.0124819 12
  175.07446 0.0183944 18
  176.27282 0.00512416 5
  177.05946 0.0286428 29
  177.09068 0.0216791 22
  177.12742 0.0114308 11
  179.06957 0.03784 38
  179.10830 0.0132703 13
  183.08286 0.0187886 19
  185.09513 0.0428327 43
  185.13316 0.0122192 12
  186.10710 0.0127447 13
  187.03867 0.00893444 9
  187.07400 0.0890816 89
  187.11293 0.0783077 78
  188.08196 0.0102483 10
  189.05501 0.00696361 7
  189.09373 0.01892 19
  189.12385 0.0120878 12
  190.09959 0.0122192 12
  191.07135 0.0164236 16
  191.10811 0.0124819 12
  193.08535 0.00919721 9
  195.07931 0.0116936 12
  195.11645 0.0204966 20
  196.09437 0.0186572 19
  197.09449 0.0386283 39
  197.10108 0.015898 16
  197.14061 0.0136644 14
  199.07493 0.0353436 35
  199.11201 0.0264091 26
  201.05610 0.0119564 12
  201.09485 0.0982788 98
  201.13152 0.0093286 9
  202.10214 0.0124819 12
  202.12883 0.0116936 12
  203.07064 0.0286428 29
  203.10407 0.0211536 21
  204.11295 0.0136644 14
  205.05265 0.0132703 13
  205.08401 0.0145842 15
  205.12418 0.0216791 22
  206.13147 0.0147155 15
  207.06679 0.0337669 34
  207.10316 0.0394166 39
  207.11632 0.0081461 8
  210.07359 0.0136644 14
  210.10534 0.00945999 9
  210.13935 0.0269347 27
  211.07462 0.0148469 15
  211.10875 0.0203653 20
  212.08713 0.00722638 7
  212.12130 0.00985416 10
  213.05412 0.00972277 10
  213.08152 0.0178689 18
  213.09542 0.03784 38
  213.12262 0.013533 14
  213.13175 0.00985416 10
  214.09425 0.0128761 13
  215.07333 0.032453 32
  215.10904 0.0338983 34
  215.11626 0.01419 14
  215.17821 0.0170805 17
  216.07863 0.0173433 17
  217.08725 0.132309 132
  217.11919 0.0237814 24
  218.09064 0.0126133 13
  219.04573 0.0157667 16
  222.10533 0.00945999 9
  223.07150 0.0178689 18
  223.11355 0.0298253 30
  223.14860 0.0148469 15
  224.04679 0.00670083 7
  225.01013 0.0059125 6
  225.09199 0.0247011 25
  225.12629 0.0831691 83
  226.09548 0.0227303 23
  226.10253 0.0106425 11
  226.13076 0.0289055 29
  226.13782 0.0258836 26
  227.06085 0.0122192 12
  227.07271 0.0830377 83
  227.14100 0.025358 25
  228.08733 0.0151097 15
  228.15349 0.0149783 15
  228.18657 0.0114308 11
  229.09009 0.0132703 13
  231.09787 0.0203653 20
  231.13626 0.0304822 30
  232.14015 0.0130075 13
  233.12025 0.0170805 17
  235.09285 0.0149783 15
  236.11846 0.0420444 42
  237.09015 0.0203653 20
  238.13179 0.0237814 24
  238.16558 0.0143214 14
  239.07170 0.0273289 27
  239.10574 0.0760741 76
  239.11204 0.0760741 76
  240.08025 0.0218105 22
  240.11438 0.139929 140
  241.08566 0.049008 49
  241.10522 0.0059125 6
  241.11980 0.0654316 65
  242.11913 0.0105111 11
  242.13373 0.0254894 25
  243.06443 0.0148469 15
  243.10166 0.0317961 32
  243.12297 0.00998555 10
  243.13272 0.0195769 20
  243.14004 0.00867166 9
  245.08427 0.02365 24
  247.10498 0.025358 25
  247.11236 0.0149783 15
  249.12540 0.0116936 12
  251.10447 0.0164236 16
  251.14909 0.0116936 12
  252.11185 0.0186572 19
  253.12217 0.0878991 88
  254.09274 0.011825 12
  254.13041 0.186835 187
  254.16257 0.0156353 16
  255.06112 0.0143214 14
  255.07611 0.0151097 15
  255.10061 0.0169492 17
  255.13898 0.0399422 40
  255.17605 0.0116936 12
  257.08162 0.0415189 41
  257.11791 0.0382341 38
  258.08785 0.0124819 12
  259.06380 0.0105111 11
  259.09492 0.0377086 38
  259.13132 0.0492708 49
  259.13934 0.0178689 18
  261.09199 0.0134017 13
  261.10968 0.0136644 14
  263.10272 0.00959138 10
  263.14585 0.0115622 12
  264.11606 0.0106425 11
  264.15357 0.0245697 25
  265.12116 0.0139272 14
  265.15936 0.0107739 11
  266.12306 0.0103797 10
  267.06806 0.0144528 14
  267.10414 0.0266719 27
  267.13964 0.0409933 41
  267.14731 0.0143214 14
  268.10949 0.025358 25
  268.11717 0.0122192 12
  268.13766 0.0131389 13
  269.07672 0.0370516 37
  269.11549 0.0247011 25
  269.15808 0.0145842 15
  269.19144 0.0101169 10
  270.12130 0.0093286 9
  271.05791 0.00867166 9
  271.13118 0.0930233 93
  271.16941 0.0271975 27
  272.14753 0.025358 25
  272.16127 0.0155039 15
  273.07932 0.0338983 34
