ACCESSION: MycoMSB-HZI-003035
RECORD_TITLE: 10-Dehydroxy-Melleolide B; timsTOF; MS2; CE:35.627906976744185; [M+H-2H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1002/anie.202318505
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: 10-Dehydroxy-Melleolide B
CH$FORMULA: C24H32O6
CH$EXACT_MASS: 416.2199
CH$SMILES: C
CH$IUPAC: InChI=1S/C24H32O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,14,17,19,25-26,28H,9-12H2,1-5H3/t14-,17+,19-,23-,24+/m1/s1
CH$LINK: INCHIKEY JFKIKEXCYGLNTH-GNMVUSIZSA-N
SP$SCIENTIFIC_NAME: Armillaria ostoyae
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.627906976744185
AC$MASS_SPECTROMETRY: CCS 197.4874267578125
MS$FOCUSED_ION: BASE_PEAK 381.20604
MS$FOCUSED_ION: PRECURSOR_M/Z 381.20604
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-2H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-003r-0958000000-9fcdc5f305dee47a0c49
PK$NUM_PEAK: 218
PK$PEAK: m/z int. rel.int.
  119.04959 0.0353972 35
  119.08461 0.0186611 19
  121.05927 0.0084859 8
  121.06727 0.0111181 11
  122.06887 0.00675729 7
  122.10622 0.006443 6
  123.08131 0.00569655 6
  128.06229 0.0143789 14
  131.08608 0.0165004 16
  131.09145 0.006443 6
  133.10138 0.0317828 32
  133.10994 0.0124146 12
  135.11574 0.00797517 8
  143.08347 0.0129253 13
  143.08792 0.0129253 13
  144.09162 0.0158325 16
  145.10155 0.020704 21
  146.10365 0.00793588 8
  147.04531 0.0870983 87
  147.11649 0.0255363 26
  148.05012 0.0165396 17
  149.06003 0.024947 25
  149.13304 0.00530369 5
  150.06745 0.0737409 74
  151.04122 0.0099395 10
  151.07314 0.00620728 6
  157.10135 0.0302899 30
  158.07134 0.00931091 9
  159.08066 0.00624656 6
  159.11590 0.0114324 11
  161.09758 0.0313114 31
  161.13417 0.0158325 16
  163.07597 0.00522511 5
  163.08796 0.00624656 6
  165.05382 0.159975 160
  166.05768 0.0167754 17
  171.11739 0.0162253 16
  172.12293 0.0124931 12
  173.06379 0.00997879 10
  173.09899 0.00695372 7
  173.13244 0.0333936 33
  174.13668 0.0102145 10
  175.07765 0.00828946 8
  175.11021 0.0115895 12
  175.14690 0.0175611 18
  175.15312 0.00966449 10
  177.05487 1 999
  177.06953 0.00687515 7
  177.07439 0.00687515 7
  177.10451 0.00534297 5
  177.12878 0.0078966 8
  178.05920 0.0945235 94
  178.07173 0.00534297 5
  178.08008 0.0052644 5
  178.13015 0.00620728 6
  179.06043 0.00648228 6
  179.07026 0.0541369 54
  179.08325 0.00726801 7
  180.07339 0.00699301 7
  183.08068 0.00510725 5
  185.05009 0.00506797 5
  185.05918 0.0144182 14
  185.13332 0.0173254 17
  187.11020 0.00711087 7
  187.14789 0.0119824 12
  187.15591 0.00809303 8
  188.08402 0.00546083 5
  189.05312 0.0148503 15
  189.16928 0.0119431 12
  191.03288 0.00707158 7
  191.07121 0.0614835 61
  191.08310 0.0119038 12
  192.07212 0.0084859 8
  193.08959 0.0052644 5
  195.06485 0.0253398 25
  196.08987 0.00828946 8
  199.07516 0.0161861 16
  199.14723 0.0205862 21
  200.15479 0.00868233 9
  201.05451 0.00679657 7
  201.16544 0.0073073 7
  203.07127 0.0487546 49
  205.08649 0.0687515 69
  208.08618 0.0109217 11
  212.08309 0.00840732 8
  214.05749 0.00534297 5
  215.06107 0.013986 14
  215.07016 0.026597 27
  217.08708 0.0148896 15
  217.15652 0.0181504 18
  218.08126 0.00762159 8
  219.06631 0.0433724 43
  225.09398 0.006718 7
  227.07122 0.0172468 17
  228.07968 0.00632514 6
  228.11084 0.00883948 9
  229.08395 0.0108038 11
  229.08914 0.0108038 11
  231.06834 0.0058537 6
  233.08098 0.077866 78
  234.08302 0.0147717 15
  237.05391 0.00522511 5
  238.09548 0.00903591 9
  239.06509 0.00950735 9
  239.07084 0.00950735 9
  239.13805 0.00781802 8
  241.08606 0.0391687 39
  241.12167 0.0131217 13
  242.06032 0.00785731 8
  243.09848 0.0144575 14
  244.07394 0.00510725 5
  245.08080 0.039208 39
  245.11474 0.0055394 6
  246.08305 0.00797517 8
  247.09752 0.0108431 11
  250.10315 0.00958592 10
  251.10721 0.0154003 15
  253.08643 0.0402294 40
  253.12597 0.00522511 5
  254.09369 0.00691443 7
  255.10102 0.00687515 7
  257.08083 0.0767659 77
  257.11789 0.0106074 11
  258.08276 0.0078966 8
  259.09678 0.052369 52
  260.10184 0.0134753 13
  264.08042 0.00990021 10
  265.11940 0.0174039 17
  267.10134 0.018779 19
  268.10857 0.00734659 7
  268.15299 0.00510725 5
  269.08310 0.0218826 22
  270.08993 0.00986093 10
  270.09435 0.00986093 10
  271.09689 0.0619942 62
  272.10295 0.0150075 15
  273.11878 0.00982164 10
  275.10665 0.0148896 15
  275.18000 0.0109609 11
  277.12662 0.0130039 13
  279.09814 0.00781802 8
  281.08098 0.00825018 8
  281.11443 0.00667871 7
  281.15357 0.0107252 11
  282.15921 0.0081716 8
  283.09577 0.0364972 36
  283.13183 0.00915377 9
  283.13836 0.00915377 9
  284.10117 0.0115895 12
  285.11146 0.0359865 36
  286.11371 0.0119431 12
  287.12662 0.0109217 11
  291.13320 0.0102538 10
  292.11307 0.0093502 9
  293.11726 0.033865 34
  295.13031 0.0194076 19
  295.13971 0.00907519 9
  296.10581 0.0144575 14
  297.11102 0.0201147 20
  297.18737 0.0149682 15
  299.13032 0.00883948 9
  303.13634 0.00828946 8
  303.17353 0.00550012 5
  306.11815 0.00518583 5
  306.16063 0.00608942 6
  307.13492 0.0441974 44
  307.17057 0.00687515 7
  310.12256 0.00660014 7
  311.13062 0.019054 19
  312.13463 0.00546083 5
  312.16602 0.00518583 5
  313.14237 0.00502868 5
  314.18333 0.0124931 12
  316.14735 0.00660014 7
  319.13463 0.00986093 10
  319.20300 0.00648228 6
  320.13752 0.0113145 11
  320.17185 0.00687515 7
  321.14832 0.120531 120
  321.18390 0.0100966 10
  322.15498 0.0288756 29
  322.19124 0.0108824 11
  323.15804 0.00801446 8
  323.16694 0.0073073 7
  323.18944 0.00522511 5
  324.13499 0.00683586 7
  325.14484 0.0262827 26
  326.14578 0.0146146 15
  331.16979 0.0169718 17
  332.16813 0.015086 15
  332.17668 0.00927163 9
  333.14822 0.00754302 8
  335.16421 0.0190933 19
  335.20443 0.0154789 15
  335.21379 0.0114324 11
  337.14060 0.00726801 7
  337.14918 0.00660014 7
  337.18167 0.00726801 7
  337.21040 0.00766088 8
  338.17911 0.00675729 7
  339.16035 0.0286792 29
  349.18271 0.0181504 18
  350.18420 0.00628585 6
  351.16515 0.0111967 11
  351.19481 0.00538226 5
  352.15697 0.00750373 7
  352.16899 0.0118645 12
  353.17398 0.0177182 18
  353.21382 0.0251434 25
  354.21423 0.0110002 11
  363.19578 0.437652 437
  364.19810 0.123792 124
  366.18289 0.00825018 8
  379.19086 0.00860376 9
  381.20617 0.88654 886
  381.22746 0.018229 18
  382.20974 0.274456 274
  383.21836 0.0084859 8
//
