ACCESSION: MycoMSB-HZI-003046
RECORD_TITLE: Libertellenon C; timsTOF; MS2; CE:32.74418604651163; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1016/j.bmc.2005.05.068
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Libertellenon C
CH$FORMULA: C20H28O5
CH$EXACT_MASS: 348.1937
CH$SMILES: C[C@@]1(CC[C@]2(C(=C1)C(=O)C(=C3[C@@]2([C@@H](CC[C@@]3(C)CO)O)C)O)O)C=C
CH$IUPAC: InChI=1S/C20H28O5/c1-5-17(2)8-9-20(25)12(10-17)14(23)15(24)16-18(3,11-21)7-6-13(22)19(16,20)4/h5,10,13,21-22,24-25H,1,6-9,11H2,2-4H3/t13-,17+,18+,19+,20-/m1/s1
CH$LINK: INCHIKEY YFSWTQQLSUEQBY-CNVPOBLBSA-N
SP$SCIENTIFIC_NAME: Libertella sp.
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 32.74418604651163
AC$MASS_SPECTROMETRY: CCS 158.63589477539062
MS$FOCUSED_ION: BASE_PEAK 331.19039
MS$FOCUSED_ION: PRECURSOR_M/Z 331.19039
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0ik9-0591000000-b4ed5bfd2285e72262e4
PK$NUM_PEAK: 279
PK$PEAK: m/z int. rel.int.
  106.05346 0.02 20
  108.34019 0.00857143 9
  117.07002 0.111429 111
  119.00395 0.00857143 9
  119.08689 0.151429 151
  133.06451 0.092381 92
  133.10060 0.12381 124
  141.06842 0.260952 261
  143.08564 0.250476 250
  144.68612 0.00857143 9
  145.06479 0.100952 101
  145.10200 0.16 160
  147.08172 0.0933333 93
  149.09945 0.109524 109
  151.05593 0.0933333 93
  152.07850 0.0695238 69
  153.09677 0.0942857 94
  154.07573 0.104762 105
  155.05780 0.0371429 37
  155.08366 0.324762 324
  155.08854 0.324762 324
  157.10077 0.225714 225
  158.07564 0.0647619 65
  158.10514 0.0980952 98
  159.07717 0.212381 212
  159.08133 0.212381 212
  159.11377 0.118095 118
  159.79127 0.0438095 44
  160.04842 0.072381 72
  161.06124 0.108571 108
  161.09635 0.19619 196
  162.03742 0.0333333 33
  163.07648 0.067619 68
  163.11212 0.257143 257
  166.07444 0.10381 104
  167.08590 0.109524 109
  168.09434 0.0990476 99
  169.06310 0.0619048 62
  169.09971 0.21619 216
  170.10400 0.149524 149
  170.11012 0.0885714 88
  171.07853 0.13619 136
  171.11536 0.166667 166
  172.04148 0.027619 28
  172.09278 0.145714 146
  173.06063 0.122857 123
  173.09561 0.107619 108
  175.07070 0.278095 278
  175.07760 0.253333 253
  175.15764 0.0114286 11
  177.05491 0.131429 131
  179.07333 0.154286 154
  179.08798 0.0761905 76
  181.09476 0.327619 327
  181.10161 0.358095 358
  181.40643 0.0104762 10
  182.07068 0.193333 193
  182.07702 0.102857 103
  182.10657 0.0857143 86
  183.08008 0.326667 326
  183.11353 0.373333 373
  184.08133 0.0657143 66
  184.08982 0.0247619 25
  185.06183 0.245714 245
  185.06668 0.245714 245
  185.09930 0.0838095 84
  185.13123 0.0904762 90
  186.06758 0.172381 172
  186.10301 0.0619048 62
  186.45100 0.0209524 21
  187.07734 0.297143 297
  188.07996 0.275238 275
  188.08640 0.0980952 98
  189.09171 0.212381 212
  189.85823 0.00857143 9
  191.10605 0.0942857 94
  193.07672 0.0219048 22
  193.10074 0.378095 378
  193.11801 0.0247619 25
  194.13885 0.00857143 9
  195.11054 0.200952 201
  195.11836 0.274286 274
  197.09725 0.34 340
  197.13622 0.0990476 99
  198.06633 0.0438095 44
  198.10155 0.0961905 96
  199.07487 0.232381 232
  199.11169 0.705714 705
  199.15125 0.119048 119
  200.08575 0.330476 330
  200.11672 0.0609524 61
  201.05382 0.067619 68
  201.08978 1 999
  201.09779 0.48381 483
  201.12738 0.210476 210
  201.33782 0.00857143 9
  202.09188 0.215238 215
  203.10716 0.16381 164
  205.62186 0.00857143 9
  207.08015 0.0466667 47
  207.08915 0.112381 112
  207.10041 0.0819048 82
  209.09700 0.265714 265
  209.90113 0.0266667 27
  210.10514 0.0828571 83
  210.14142 0.1 100
  211.07668 0.0942857 94
  211.11603 0.255238 255
  212.08235 0.0885714 88
  212.12089 0.344762 344
  213.09024 0.278095 278
  213.13043 0.475238 475
  214.09288 0.171429 171
  215.04259 0.0371429 37
  215.10743 0.755238 754
  216.07835 0.08 80
  216.10975 0.192381 192
  216.12626 0.184762 185
  216.13353 0.0866667 87
  216.14733 0.0657143 66
  217.08202 0.0980952 98
  217.12422 0.244762 245
  218.12498 0.0714286 71
  219.11718 0.0685714 69
  220.08611 0.12381 124
  221.09671 0.146667 147
  222.10496 0.149524 149
  223.11084 0.0790476 79
  223.15056 0.0342857 34
  224.10962 0.149524 149
  224.15646 0.0838095 84
  225.09196 0.272381 272
  225.12626 0.134286 134
  225.13410 0.0390476 39
  225.15522 0.0104762 10
  226.09564 0.42 420
  226.10131 0.42 420
  226.16562 0.0742857 74
  227.10707 0.211429 211
  227.11463 0.0571429 57
  227.14239 0.272381 272
  227.78933 0.0314286 31
  228.11080 0.250476 250
  229.12115 0.639048 638
  229.15592 0.0552381 55
  230.09220 0.0857143 86
  230.12304 0.17619 176
  231.10092 0.169524 169
  233.09632 0.0714286 71
  233.11562 0.169524 169
  233.12251 0.169524 169
  234.12197 0.110476 110
  234.13633 0.0733333 73
  235.11629 0.0619048 62
  235.15227 0.132381 132
  235.19305 0.0304762 30
  236.11535 0.175238 175
  237.12963 0.424762 424
  237.16665 0.0657143 66
  238.14085 0.0961905 96
  239.10616 0.359048 359
  239.14440 0.239048 239
  239.16301 0.0209524 21
  240.11347 0.193333 193
  240.71613 0.0238095 24
  241.12159 0.314286 314
  242.09171 0.0314286 31
  242.12822 0.12381 124
  243.17841 0.117143 117
  244.12332 0.122857 123
  244.64661 0.0219048 22
  245.11500 0.201905 202
  245.15822 0.0857143 86
  247.14853 0.0904762 90
  249.12465 0.16381 164
  249.16416 0.106667 107
  250.16762 0.117143 117
  250.26660 0.00952381 10
  251.13683 0.293333 293
  251.14284 0.293333 293
  251.16071 0.052381 52
  252.14761 0.247619 247
  253.12043 0.0780952 78
  253.15652 0.441905 441
  254.13182 0.087619 88
  254.16424 0.0733333 73
  255.13585 0.38 380
  255.17311 0.277143 277
  256.14712 0.153333 153
  256.17567 0.0609524 61
  257.11766 0.465714 465
  257.15802 0.0552381 55
  257.18812 0.0590476 59
  258.12644 0.421905 421
  259.13150 0.245714 245
  259.14851 0.0857143 86
  262.13850 0.092381 92
  263.14235 0.12 120
  265.12526 0.0971429 97
  265.15950 0.29619 296
  266.13226 0.102857 103
  266.16033 0.067619 68
  267.13606 0.138095 138
  267.14629 0.109524 109
  267.17428 0.240952 241
  267.17866 0.240952 241
  269.15549 0.265714 265
  271.12636 0.111429 111
  271.13409 0.0885714 88
  271.17787 0.120952 121
  273.15199 0.092381 92
  273.18043 0.02 20
  276.13828 0.213333 213
  278.46696 0.0571429 57
  278.57660 0.0257143 26
  280.14003 0.0657143 66
  283.17156 0.275238 275
  285.14832 0.214286 214
  285.18666 0.104762 105
  286.15429 0.0647619 65
  288.73999 0.0219048 22
  289.17872 0.0914286 91
  295.16963 0.162857 163
  298.15290 0.152381 152
  298.16101 0.0628571 63
  300.17121 0.0714286 71
  300.63210 0.00857143 9
  301.17749 0.135238 135
  313.17665 0.904762 904
  313.18396 0.904762 904
  314.18215 0.178095 178
  315.31716 0.00857143 9
  330.45758 0.00857143 9
  331.14891 0.0104762 10
  331.16599 0.092381 92
  331.18307 0.427619 427
  331.19254 0.530476 530
  331.21154 0.186667 186
  331.22008 0.110476 110
  331.46779 0.0333333 33
  332.19154 0.0390476 39
  373.98704 0.00857143 9
  389.09207 0.00857143 9
  396.05911 0.00857143 9
  410.81250 0.00857143 9
  460.34894 0.00857143 9
  481.73530 0.00857143 9
  483.90753 0.00857143 9
  515.22932 0.00857143 9
  553.80267 0.00857143 9
  573.22940 0.00857143 9
  607.92402 0.00857143 9
  637.54115 0.00857143 9
  700.29537 0.00857143 9
  719.02975 0.00857143 9
  914.87754 0.00857143 9
  931.07762 0.00857143 9
  942.75537 0.00857143 9
  973.76364 0.00857143 9
  1024.00296 0.00857143 9
  1040.14884 0.00857143 9
  1046.79843 0.00857143 9
  1090.36153 0.00857143 9
  1106.14094 0.00857143 9
  1198.62268 0.00857143 9
  1233.20272 0.00857143 9
  1341.88632 0.00857143 9
  1364.78847 0.00857143 9
  1394.00403 0.00857143 9
  1400.10199 0.00857143 9
  1491.49482 0.00857143 9
  1504.59615 0.00857143 9
  1596.16041 0.00857143 9
  1646.85786 0.00857143 9
  1698.87655 0.00857143 9
  1704.47742 0.00857143 9
  1745.30716 0.00857143 9
  1757.81755 0.00857143 9
  1798.27572 0.00857143 9
//
