ACCESSION: MycoMSB-HZI-003059
RECORD_TITLE: Heimionone B; timsTOF; MS2; CE:35.0; [M+Na]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules28093723
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Heimionone B
CH$FORMULA: C22H28O5
CH$EXACT_MASS: 372.1937
CH$SMILES: C
CH$IUPAC: InChI=1S/C22H28O5/c1-7-13(3)9-10-15(23)27-20-16-14(8-2)11-12-22(6,26)19(25)17(16)18(24)21(20,4)5/h7-12,18,20,24,26H,1-6H3/b10-9+,13-7+,14-8-/t18-,20-,22-/m0/s1
CH$LINK: INCHIKEY UGODOQRMDALGQK-BMBUGPIYSA-N
SP$SCIENTIFIC_NAME: Heimiomyces sp.
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.0
AC$MASS_SPECTROMETRY: CCS 187.99253845214844
MS$FOCUSED_ION: BASE_PEAK 395.18289
MS$FOCUSED_ION: PRECURSOR_M/Z 395.18289
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-014i-0690000000-f1bdc0c57eb415b96e89
PK$NUM_PEAK: 112
PK$PEAK: m/z int. rel.int.
  115.05982 0.0134345 13
  116.06368 0.012091 12
  117.07021 0.00513672 5
  117.07698 0.00964122 10
  119.08778 0.0107476 11
  121.06521 0.0314525 31
  127.05344 0.0103525 10
  129.07315 0.0108266 11
  131.08650 0.0265529 27
  132.08929 0.018097 18
  135.07937 0.0321637 32
  142.07755 0.0317686 32
  143.08957 0.00679627 7
  144.05857 0.0101944 10
  144.09547 0.0182551 18
  145.02518 0.015094 15
  145.06286 0.00758653 8
  145.10035 0.056741 57
  145.10637 0.0284495 28
  146.06771 0.0207839 21
  147.12365 0.0083768 8
  149.05685 0.0154892 15
  149.09496 0.0205469 21
  150.06191 0.011933 12
  153.07180 0.00703335 7
  155.08525 0.0265529 27
  157.06288 0.00885096 9
  157.10405 0.0190454 19
  157.10761 0.0190454 19
  158.07357 0.0135925 14
  158.10872 0.0174648 17
  159.08081 0.044887 45
  159.08595 0.044887 45
  159.11602 0.0584005 58
  159.12603 0.00576893 6
  160.08526 0.015094 15
  160.12206 0.0143828 14
  161.09595 0.0354829 35
  162.09953 0.00885096 9
  163.07630 0.0169907 17
  165.07042 0.00632211 6
  165.09253 0.0103525 10
  168.09581 0.0429904 43
  169.09775 0.0230757 23
  169.10925 0.015015 15
  171.08164 0.0262368 26
  172.08858 0.06899 69
  173.09413 0.0990991 99
  173.13282 0.0872451 87
  173.13913 0.0432274 43
  174.10574 0.0106686 11
  174.13464 0.0135925 14
  175.07508 0.00679627 7
  175.11073 0.0241821 24
  176.08240 0.00576893 6
  176.11561 0.00521574 5
  177.09676 0.0151731 15
  178.07856 0.00584795 6
  181.06215 0.00995733 10
  183.11673 0.0965703 96
  183.12516 0.0404615 40
  184.12079 0.0136716 14
  185.09733 0.0184131 18
  186.10392 0.0693852 69
  186.11631 0.0086929 9
  187.07748 0.00679627 7
  187.11138 0.154497 154
  187.12242 0.00845582 8
  188.08417 0.00916706 9
  188.11582 0.0211791 21
  189.09131 0.0723092 72
  189.11980 0.00892998 9
  190.09551 0.0103525 10
  191.07111 0.0308993 31
  191.10620 0.0798957 80
  193.10290 0.00853485 9
  196.08759 0.0320847 32
  199.11123 0.00758653 8
  200.08359 0.00695432 7
  200.12181 0.0144618 14
  201.09380 0.00908804 9
  201.12830 0.200964 201
  202.13122 0.0259207 26
  202.13532 0.0259207 26
  203.10681 0.0387229 39
  204.11359 0.056978 57
  205.12167 0.0889047 89
  211.11263 0.0228386 23
  213.09269 0.00877193 9
  214.08941 0.0133555 13
  214.10257 0.032954 33
  215.09869 0.0171487 17
  219.09863 0.00584795 6
  219.13871 0.0318476 32
  225.09181 0.00632211 6
  226.09266 0.0071914 7
  229.12280 0.415837 415
  230.12375 0.0876403 88
  230.13485 0.00553185 6
  232.11100 0.0263948 26
  247.13373 0.48538 485
  247.55929 0.00608503 6
  248.13840 0.0357199 36
  254.08934 0.0147779 15
  254.09682 0.00727043 7
  269.11395 1 999
  269.13344 0.0130394 13
  270.11789 0.208709 208
  271.12112 0.00663822 7
  329.10543 0.00561087 6
  395.18203 0.0795006 79
  396.18103 0.0184922 18
//
