ACCESSION: MycoMSB-HZI-003060
RECORD_TITLE: Heimionone B; timsTOF; MS2; CE:34.093023255813954; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules28093723
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Heimionone B
CH$FORMULA: C22H28O5
CH$EXACT_MASS: 372.1937
CH$SMILES: C
CH$IUPAC: InChI=1S/C22H28O5/c1-7-13(3)9-10-15(23)27-20-16-14(8-2)11-12-22(6,26)19(25)17(16)18(24)21(20,4)5/h7-12,18,20,24,26H,1-6H3/b10-9+,13-7+,14-8-/t18-,20-,22-/m0/s1
CH$LINK: INCHIKEY UGODOQRMDALGQK-BMBUGPIYSA-N
SP$SCIENTIFIC_NAME: Heimiomyces sp.
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.093023255813954
AC$MASS_SPECTROMETRY: CCS 174.7847442626953
MS$FOCUSED_ION: BASE_PEAK 373.20095
MS$FOCUSED_ION: PRECURSOR_M/Z 373.20095
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0gz9-0970000000-5ef0ef1838ced19f208b
PK$NUM_PEAK: 117
PK$PEAK: m/z int. rel.int.
  109.06527 0.0268477 27
  109.07102 0.0180686 18
  117.06996 0.024806 25
  119.08607 0.0129645 13
  127.05168 0.0160269 16
  128.06256 0.0313393 31
  129.07018 0.0758473 76
  130.07917 0.0155165 16
  131.08809 0.0757452 76
  132.09213 0.0118416 12
  141.06980 0.0253165 25
  141.07777 0.0125561 13
  142.07913 0.0751327 75
  143.08595 0.0623724 62
  144.06795 0.00928951 9
  144.09263 0.0204165 20
  145.10116 0.108207 108
  145.10808 0.0120457 12
  146.10460 0.0368518 37
  152.06132 0.00959575 10
  153.06941 0.0848305 85
  154.07725 0.0401184 40
  155.08679 0.09412 94
  156.09491 0.024806 25
  157.10064 0.0384851 38
  158.06679 0.00877909 9
  158.07393 0.0156186 16
  158.10361 0.0106166 11
  159.08085 0.060637 61
  159.10827 0.0270519 27
  159.11519 0.0394038 39
  160.08541 0.0209269 21
  162.09954 0.00622703 6
  163.07485 0.00959575 10
  165.07096 0.019804 20
  167.08605 0.0787056 79
  168.09302 0.285321 285
  169.06340 0.00704369 7
  169.09943 0.0943242 94
  169.10545 0.0761535 76
  169.12035 0.0119437 12
  170.07165 0.00888118 9
  170.10091 0.017354 17
  171.07937 0.0936096 94
  172.09113 0.0548183 55
  173.09034 0.0250102 25
  173.09999 0.00959575 10
  173.13138 0.196917 197
  174.06653 0.00939159 9
  174.10574 0.0102082 10
  174.13124 0.0214373 21
  175.07922 0.0138832 14
  175.10406 0.0081666 8
  178.08273 0.00847285 8
  181.06548 0.00847285 8
  181.10547 0.0114332 11
  182.10810 0.0143936 14
  183.07944 0.0188853 19
  183.10655 0.0167415 17
  183.11694 0.893834 893
  184.12148 0.13873 139
  184.39997 0.00541037 5
  185.10106 0.0652307 65
  186.10260 0.140363 140
  186.11170 0.00541037 5
  187.07107 0.0278685 28
  187.07748 0.0154145 15
  187.11137 0.171192 171
  188.08438 0.0107187 11
  189.09398 0.0075541 8
  193.10072 0.0175582 18
  196.08788 0.101878 102
  197.09407 0.0385872 39
  198.10382 0.00612495 6
  199.07441 0.0449163 45
  199.08475 0.00724786 7
  199.11266 0.0252144 25
  200.11235 0.0182728 18
  200.11899 0.00592078 6
  201.12658 0.87158 871
  201.13817 0.00714577 7
  201.71537 0.00683953 7
  202.11768 0.0131686 13
  202.13116 0.164251 164
  205.08392 0.0058187 6
  206.12687 0.0132707 13
  208.12141 0.00612495 6
  210.13916 0.00775827 8
  211.11153 0.404042 404
  211.18124 0.00683953 7
  212.08235 0.00694161 7
  212.11197 0.0243977 24
  212.12710 0.0237852 24
  213.12757 0.0140874 14
  214.09833 0.199775 200
  215.10046 0.013577 14
  215.10910 0.0152103 15
  225.13234 0.0211311 21
  227.10515 0.00857493 9
  228.11282 0.0100041 10
  229.03513 0.0121478 12
  229.12176 1 999
  229.14403 0.00826868 8
  230.12641 0.14904 149
  230.41970 0.00653328 7
  235.15220 0.0114332 11
  238.14079 0.00653328 7
  247.13009 0.0607391 61
  249.15914 0.00949367 9
  252.15319 0.0105145 11
  263.17646 0.0201102 20
  264.14550 0.00683953 7
  309.18374 0.00979992 10
  310.05900 0.00541037 5
  319.16871 0.0192936 19
  337.18505 0.00796243 8
  338.18725 0.0193957 19
//
