ACCESSION: MycoMSB-HZI-003061
RECORD_TITLE: Xanthoquinodin B10; timsTOF; MS2; CE:38.51162790697674; [M+Na]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/jof6040188
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Xanthoquinodin B10
CH$COMPOUND_CLASS: Polyketides
CH$FORMULA: C35H32O12
CH$EXACT_MASS: 644.1894
CH$SMILES: CCCC(=O)OC1(C=2C=C(C)C=C(C2C(=C3C(C4(C=CC31CC5=CC(=C6C(C7=C(CCC(C7(C(=O)OC)OC6=C54)(O)[H])O)=O)O)[H])=O)O)O)[H]
CH$IUPAC: InChI=1S/C35H32O12/c1-4-5-22(40)46-32-17-10-14(2)11-19(37)24(17)29(42)27-28(41)16-8-9-34(27,32)13-15-12-20(38)25-30(43)26-18(36)6-7-21(39)35(26,33(44)45-3)47-31(25)23(15)16/h8-12,16,21,32,36-39,42H,4-7,13H2,1-3H3
CH$LINK: INCHIKEY OFEOEDKSDPBJNK-NKUSYRMFSA-N
SP$SCIENTIFIC_NAME: Jugulospora vestita
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 38.51162790697674
AC$MASS_SPECTROMETRY: CCS 225.44911193847656
MS$FOCUSED_ION: BASE_PEAK 667.17860
MS$FOCUSED_ION: PRECURSOR_M/Z 667.17860
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-014i-0110249000-5370564854f64610abc0
PK$NUM_PEAK: 195
PK$PEAK: m/z int. rel.int.
  108.21651 0.00787402 8
  112.88046 0.00787402 8
  114.23897 0.00787402 8
  114.28745 0.00787402 8
  134.47205 0.00787402 8
  140.19093 0.00787402 8
  148.64907 0.00787402 8
  151.10981 0.055993 56
  152.80471 0.00787402 8
  166.39114 0.00787402 8
  173.76517 0.00787402 8
  180.99171 0.00787402 8
  189.10039 0.00787402 8
  190.59182 0.00787402 8
  191.17100 0.00787402 8
  191.97423 0.00787402 8
  196.03752 0.00787402 8
  201.97764 0.00787402 8
  207.69069 0.00787402 8
  207.96355 0.00787402 8
  214.08722 0.00787402 8
  219.92147 0.00787402 8
  223.18219 0.015748 16
  224.32285 0.00787402 8
  237.64636 0.00787402 8
  241.47887 0.00787402 8
  244.70787 0.00787402 8
  244.96242 0.00787402 8
  249.87833 0.00787402 8
  251.80575 0.00787402 8
  253.63593 0.00787402 8
  259.78103 0.00787402 8
  272.81869 0.00787402 8
  278.55059 0.00787402 8
  286.71827 0.00787402 8
  288.07332 0.00787402 8
  300.85192 0.00787402 8
  305.28785 0.00787402 8
  315.37837 0.00787402 8
  325.26610 0.00787402 8
  342.42432 0.00787402 8
  356.49441 0.00787402 8
  369.78822 0.00787402 8
  372.35544 0.00787402 8
  390.37679 0.00787402 8
  390.73847 0.00787402 8
  403.62842 0.00787402 8
  414.53674 0.00787402 8
  419.80183 0.00787402 8
  424.51982 0.00787402 8
  440.99733 0.00787402 8
  441.82549 0.00787402 8
  444.40697 0.00787402 8
  451.11282 0.0551181 55
  452.12336 0.0874891 87
  459.51712 0.00787402 8
  460.74517 0.0174978 17
  460.85933 0.00787402 8
  469.12988 0.0656168 66
  472.36419 0.00787402 8
  477.39196 0.00787402 8
  478.14757 0.00787402 8
  483.32975 0.00787402 8
  493.65971 0.00787402 8
  500.83105 0.00787402 8
  509.87502 0.00787402 8
  533.12427 0.0201225 20
  538.87141 0.00787402 8
  539.13288 0.0621172 62
  551.13214 0.114611 114
  552.14367 0.0901137 90
  557.34227 0.00787402 8
  568.50930 0.0612423 61
  569.55034 0.00787402 8
  573.97882 0.00787402 8
  575.19740 0.00787402 8
  577.40164 0.00787402 8
  579.10557 0.0769904 77
  579.13192 0.0804899 80
  580.12612 0.0673666 67
  583.79394 0.00787402 8
  594.40901 0.00787402 8
  605.08895 0.00787402 8
  611.64778 0.00787402 8
  611.87991 0.00787402 8
  612.00373 0.00787402 8
  614.38976 0.00787402 8
  625.45034 0.00787402 8
  633.10975 0.00787402 8
  649.38133 0.00787402 8
  650.23065 0.00787402 8
  666.51747 0.0778653 78
  667.17328 1 999
  668.17998 0.286964 287
  669.17734 0.0577428 58
  669.98686 0.00787402 8
  670.79282 0.00787402 8
  677.73022 0.00787402 8
  696.16231 0.00787402 8
  708.21584 0.00787402 8
  712.75214 0.00787402 8
  757.60232 0.00787402 8
  759.10136 0.00787402 8
  767.65855 0.00787402 8
  773.75544 0.00787402 8
  775.11359 0.00787402 8
  775.98481 0.00787402 8
  801.42791 0.00787402 8
  807.71055 0.00787402 8
  810.80762 0.00787402 8
  829.28025 0.00787402 8
  846.46757 0.00787402 8
  850.33119 0.00787402 8
  856.56424 0.00787402 8
  874.62262 0.00787402 8
  876.25174 0.00787402 8
  877.27072 0.00787402 8
  898.39327 0.00787402 8
  914.12577 0.00787402 8
  933.28919 0.00787402 8
  936.57982 0.00787402 8
  942.73652 0.00787402 8
  943.56278 0.00787402 8
  962.53082 0.00787402 8
  964.55070 0.00787402 8
  967.23421 0.00874891 9
  968.36317 0.00787402 8
  978.51432 0.00787402 8
  978.94496 0.00787402 8
  985.78913 0.00787402 8
  996.32719 0.00787402 8
  996.96422 0.00787402 8
  1005.92881 0.00787402 8
  1015.69611 0.00787402 8
  1020.62743 0.00787402 8
  1021.48714 0.00787402 8
  1034.53189 0.00787402 8
  1070.59751 0.00787402 8
  1073.01463 0.00787402 8
  1081.37256 0.00787402 8
  1088.27111 0.00787402 8
  1096.73475 0.00787402 8
  1160.82261 0.00787402 8
  1164.79109 0.00787402 8
  1165.30898 0.00787402 8
  1199.38151 0.00787402 8
  1220.03881 0.00787402 8
  1226.07266 0.00787402 8
  1235.88534 0.00787402 8
  1236.88086 0.00787402 8
  1251.66255 0.00787402 8
  1288.36915 0.00787402 8
  1291.01496 0.00787402 8
  1297.47514 0.00787402 8
  1302.59618 0.00787402 8
  1314.20642 0.00787402 8
  1322.06619 0.00787402 8
  1331.68411 0.00787402 8
  1336.55761 0.00787402 8
  1340.74115 0.00787402 8
  1343.30831 0.00787402 8
  1366.73137 0.00787402 8
  1366.93956 0.00787402 8
  1375.18724 0.00787402 8
  1381.57533 0.00787402 8
  1409.26562 0.00787402 8
  1411.83288 0.00874891 9
  1417.95199 0.00787402 8
  1481.02649 0.00787402 8
  1484.39945 0.00787402 8
  1504.50544 0.00787402 8
  1508.06902 0.00787402 8
  1511.94092 0.00787402 8
  1528.28038 0.00787402 8
  1532.04956 0.00787402 8
  1547.40038 0.00787402 8
  1557.99576 0.00787402 8
  1561.56032 0.00787402 8
  1568.31135 0.00787402 8
  1584.40888 0.00787402 8
  1584.44001 0.00787402 8
  1587.89130 0.00787402 8
  1593.16269 0.00787402 8
  1613.35530 0.00787402 8
  1620.87845 0.00787402 8
  1635.36992 0.00787402 8
  1653.91845 0.00787402 8
  1666.97232 0.00787402 8
  1673.56969 0.00787402 8
  1674.13286 0.00787402 8
  1688.93708 0.00787402 8
  1716.87389 0.00787402 8
  1755.40558 0.00787402 8
  1784.36030 0.00787402 8
  1790.73564 0.00787402 8
//
