ACCESSION: MycoMSB-HZI-003064
RECORD_TITLE: Farinosone D; timsTOF; MS2; CE:36.06976744186046; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3762/bjoc.21.23
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Farinosone D
CH$FORMULA: C25H29NO5
CH$EXACT_MASS: 423.2046
CH$SMILES: C
CH$IUPAC: InChI=1S/C25H29NO5/c1-4-16(2)15-17(3)9-7-5-6-8-10-20(28)21-24(30)22(26-25(21)31)23(29)18-11-13-19(27)14-12-18/h5-16,22-23,27-29H,4H2,1-3H3,(H,26,31)/b6-5+,9-7+,10-8+,17-15+,21-20+/t16?,22-,23-/m0/s1
CH$LINK: INCHIKEY ZYWUPCDHVYGPGI-YVAMNULUSA-N
SP$SCIENTIFIC_NAME: Samsoniella aurantia
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 36.06976744186046
AC$MASS_SPECTROMETRY: CCS 203.69296264648438
MS$FOCUSED_ION: BASE_PEAK 424.21185
MS$FOCUSED_ION: PRECURSOR_M/Z 424.21185
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-001r-0960000000-a0112b7b92f3a45f2a71
PK$NUM_PEAK: 157
PK$PEAK: m/z int. rel.int.
  107.04965 0.0283291 28
  116.05001 0.0173028 17
  119.08588 0.0390161 39
  120.04583 0.0352841 35
  120.08826 0.025106 25
  120.09854 0.0279898 28
  122.20936 0.00610687 6
  126.01688 0.0473282 47
  131.04949 0.0334182 33
  132.05837 0.0670059 67
  133.06431 0.0230704 23
  133.08616 0.0140797 14
  133.09943 0.0266327 27
  134.06017 0.501781 501
  134.06963 0.0140797 14
  134.10223 0.0110263 11
  134.70610 0.00763359 8
  135.05853 0.0486853 49
  135.06634 0.234606 234
  135.11865 0.145208 145
  135.50609 0.00712468 7
  135.66637 0.00644614 6
  136.07613 0.241561 241
  136.08148 0.167769 168
  136.32854 0.00712468 7
  137.02256 0.239016 239
  137.06007 0.0247668 25
  137.07545 0.0388465 39
  137.11135 0.00610687 6
  137.68340 0.00899067 9
  138.01765 0.016285 16
  139.55450 0.00661578 7
  141.07200 0.0215437 22
  144.04147 0.0113656 11
  144.09404 0.0203562 20
  146.06966 0.0349449 35
  146.11771 0.0113656 11
  147.04377 0.0186599 19
  147.08129 0.16302 163
  147.10258 0.00627651 6
  147.11586 0.0166243 17
  147.80347 0.00661578 7
  149.02239 0.115013 115
  149.03259 0.0235793 24
  155.08505 0.0191688 19
  159.11585 0.0222222 22
  160.09207 0.0156064 16
  160.12175 0.0105174 11
  161.09707 0.070229 70
  161.13269 0.0826124 83
  162.05479 0.328244 328
  162.07137 0.00899067 9
  162.09925 0.0201866 20
  163.03862 0.0132316 13
  163.05836 0.0714165 71
  164.03278 0.0100085 10
  165.05810 0.0212044 21
  167.08597 0.0223919 22
  169.11402 0.0174724 17
  173.02694 0.106531 106
  173.13271 0.021883 22
  174.02712 0.0201866 20
  174.05488 0.03257 33
  174.06839 0.0147583 15
  175.11421 0.016285 16
  175.14622 0.0283291 28
  175.15354 0.0147583 15
  178.05751 0.0205259 21
  184.08771 0.0208651 21
  185.05986 0.0322307 32
  185.13124 0.0476675 48
  186.05822 0.014419 14
  187.03884 0.00882103 9
  187.14796 0.0152672 15
  188.07782 0.0156064 16
  191.08874 0.0167939 17
  194.07999 0.0113656 11
  197.06593 0.0152672 15
  201.05379 0.048855 49
  201.12921 0.0184902 18
  202.05125 0.135369 135
  202.06706 0.0396947 40
  202.07439 0.0342663 34
  203.05297 0.0259542 26
  203.14510 0.0517388 52
  204.06811 0.0108567 11
  204.14633 0.0342663 34
  204.15304 0.0149279 15
  209.05663 0.0117048 12
  209.09734 0.0198473 20
  209.13353 0.0159457 16
  212.03446 0.0230704 23
  213.01729 0.0510602 51
  213.05610 0.0137405 14
  213.09035 0.0142494 14
  214.02756 0.0201866 20
  214.08936 0.0147583 15
  215.07037 0.14402 144
  215.60258 0.00661578 7
  216.07605 0.0497031 50
  217.08656 0.0220526 22
  225.09177 0.0169635 17
  225.12697 0.0142494 14
  226.08791 0.018151 18
  229.07533 0.0156064 16
  230.04485 1 999
  230.05651 0.0176421 18
  231.04930 0.134182 134
  232.05614 0.0174724 17
  237.08946 0.021883 22
  241.08019 0.0196777 20
  242.07942 0.0169635 17
  242.09402 0.046989 47
  242.11106 0.00712468 7
  242.14514 0.0198473 20
  243.13194 0.014419 14
  244.09875 0.012553 13
  253.11780 0.0378287 38
  253.12527 0.0298558 30
  253.14518 0.0142494 14
  253.16011 0.0205259 21
  254.07932 0.0108567 11
  255.08762 0.0167939 17
  255.14009 0.016285 16
  256.06087 0.0240882 24
  256.08791 0.0159457 16
  257.06257 0.0101781 10
  266.08107 0.018151 18
  270.18258 0.0210348 21
  271.07984 0.0118745 12
  271.13226 0.155216 155
  271.53587 0.00797286 8
  272.13223 0.0549618 55
  272.13860 0.0549618 55
  272.42844 0.00932994 9
  277.10591 0.0142494 14
  282.11474 0.0189992 19
  287.09157 0.0150975 15
  290.08896 0.0139101 14
  304.13529 0.00814249 8
  309.09009 0.030704 31
  314.12095 0.0247668 25
  318.12857 0.0137405 14
  319.11418 0.00661578 7
  321.49653 0.00932994 9
  332.13085 0.105344 105
  333.10425 0.0184902 18
  333.13539 0.0356234 36
  336.12868 0.0142494 14
  343.18569 0.0171332 17
  345.13574 0.0134012 13
  346.18267 0.0120441 12
  349.16053 0.00814249 8
  360.19242 0.016285 16
  370.18204 0.0137405 14
  378.21249 0.0103478 10
  388.19141 0.021883 22
//
