ACCESSION: MycoMSB-HZI-003068
RECORD_TITLE: Heimiomycin D; timsTOF; MS2; CE:33.81395348837209; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1021/acs.jnatprod.2c01015
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Heimiomycin D
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C22H24O7
CH$EXACT_MASS: 400.1522
CH$SMILES: CC(C)C1(CCC(C)(C2=C1C(=C(C=O)C(=C2O)O)C=3C(C(=C(C)C(C3O)=O)O)=O)[H])[H]
CH$IUPAC: InChI=1S/C22H24O7/c1-8(2)11-6-5-9(3)13-14(11)15(12(7-23)19(26)20(13)27)16-21(28)17(24)10(4)18(25)22(16)29/h7-9,11,24,26-27,29H,5-6H2,1-4H3
CH$LINK: INCHIKEY UTFNFJGYVPYTEJ-GXSJLCMTSA-N
SP$SCIENTIFIC_NAME: Heimiomyces sp.
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 33.81395348837209
AC$MASS_SPECTROMETRY: CCS 172.310302734375
MS$FOCUSED_ION: BASE_PEAK 401.15948
MS$FOCUSED_ION: PRECURSOR_M/Z 401.15948
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-004r-0092000000-02060b974417aa911961
PK$NUM_PEAK: 191
PK$PEAK: m/z int. rel.int.
  119.05024 0.0212687 21
  135.04421 0.0138709 14
  141.07037 0.0234881 23
  143.04844 0.0223784 22
  143.08773 0.0212687 21
  145.06478 0.0244128 24
  155.04828 0.0216386 22
  155.08724 0.0177548 18
  159.05897 0.0253375 25
  159.08462 0.0162752 16
  160.08052 0.0190494 19
