ACCESSION: MycoMSB-HZI-003084
RECORD_TITLE: Atromentic acid; timsTOF; MS2; CE:35.46511627906977; [M+Na]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1007/s11557-020-01643-y
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Atromentic acid
CH$FORMULA: C18H12O7
CH$EXACT_MASS: 340.0583
CH$SMILES: C1=CC(=CC=C1C2=C(C(=C(C3=CC=C(C=C3)O)C(=O)O)OC2=O)O)O
CH$IUPAC: InChI=1S/C18H12O7/c19-11-5-1-9(2-6-11)13-15(21)16(25-18(13)24)14(17(22)23)10-3-7-12(20)8-4-10/h1-8,19-21H,(H,22,23)
CH$LINK: INCHIKEY QFIPVAAXLHOLFN-UHFFFAOYSA-N
SP$SCIENTIFIC_NAME: Phlebopus portentosus
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.46511627906977
AC$MASS_SPECTROMETRY: CCS 202.4459991455078
MS$FOCUSED_ION: BASE_PEAK 363.04752
MS$FOCUSED_ION: PRECURSOR_M/Z 363.04752
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0006-0912001100-0786bfb8bfd9a484a7a4
PK$NUM_PEAK: 147
PK$PEAK: m/z int. rel.int.
  101.57337 0.0133333 13
  101.91417 0.0133333 13
  103.86892 0.0133333 13
  110.10706 0.0133333 13
  110.48818 0.0133333 13
  119.70262 0.0133333 13
  121.07565 0.0133333 13
  130.71999 0.0133333 13
  140.19995 0.0133333 13
  144.40196 0.0133333 13
  144.49972 0.0133333 13
  144.92122 0.0133333 13
  154.73837 0.0133333 13
  158.00865 0.0133333 13
  159.57765 0.0133333 13
  164.41942 0.0133333 13
  167.99279 0.0133333 13
  178.54187 0.0148148 15
  179.56330 0.0133333 13
  190.00680 0.0133333 13
  193.13116 1 999
  193.70956 0.0503704 50
  195.50543 0.0133333 13
  197.00430 0.0133333 13
  201.67740 0.0133333 13
  202.56693 0.0133333 13
  253.37938 0.0133333 13
  257.74040 0.0133333 13
  269.15463 0.0133333 13
  275.02712 0.0133333 13
  276.21130 0.0133333 13
  283.83344 0.0133333 13
  289.39455 0.0133333 13
  302.31915 0.0133333 13
  303.34264 0.0133333 13
  306.17165 0.0133333 13
  306.25377 0.131852 132
  308.11255 0.0133333 13
  319.61816 0.0133333 13
  320.37926 0.0133333 13
  323.92801 0.0133333 13
  348.72043 0.0133333 13
  350.79159 0.0133333 13
  354.41026 0.0133333 13
  364.86361 0.0133333 13
  377.26537 0.0133333 13
  384.35928 0.0133333 13
  396.22549 0.0133333 13
  397.09779 0.0133333 13
  435.52713 0.0133333 13
  440.26683 0.0133333 13
  453.94637 0.0133333 13
  471.48273 0.0133333 13
  484.38134 0.0133333 13
  488.95012 0.0133333 13
  541.16051 0.0133333 13
  567.99024 0.0133333 13
  568.13937 0.0133333 13
  617.03250 0.0133333 13
  619.82158 0.0133333 13
  627.76009 0.0133333 13
  638.08614 0.0133333 13
  640.00000 0.0133333 13
  643.47120 0.0133333 13
  672.55205 0.0133333 13
  680.65707 0.0133333 13
  693.26800 0.0133333 13
  695.36183 0.0133333 13
  704.83143 0.0133333 13
  719.45798 0.0133333 13
  724.72056 0.0133333 13
  728.69697 0.0133333 13
  737.44258 0.0133333 13
  752.19603 0.0133333 13
  752.72810 0.0133333 13
  753.99894 0.0133333 13
  764.67141 0.0133333 13
  767.58091 0.0133333 13
  774.98336 0.0133333 13
