ACCESSION: MycoMSB-HZI-003092
RECORD_TITLE: Gibberellic acid; timsTOF; MS2; CE:33.20930232558139; [M+H-2H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1007/BF00357571
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Gibberellic acid
CH$FORMULA: C19H22O6
CH$EXACT_MASS: 346.1416
CH$SMILES: C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O
CH$IUPAC: InChI=1S/C19H22O6/c1-9-7-17-8-18(9,24)5-3-10(17)19-6-4-11(20)16(2,15(23)25-19)13(19)12(17)14(21)22/h4,6,10-13,20,24H,1,3,5,7-8H2,2H3,(H,21,22)/t10-,11+,12-,13-,16-,17+,18+,19-/m1/s1
CH$LINK: INCHIKEY IXORZMNAPKEEDV-OBDJNFEBSA-N
SP$SCIENTIFIC_NAME: Fusarium moniliforme
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 33.20930232558139
AC$MASS_SPECTROMETRY: CCS 170.88877868652344
MS$FOCUSED_ION: BASE_PEAK 311.12779
MS$FOCUSED_ION: PRECURSOR_M/Z 311.12779
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-2H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-03di-0963000000-434adafe27b6bb466510
PK$NUM_PEAK: 159
PK$PEAK: m/z int. rel.int.
  116.06482 0.0126861 13
  117.07136 0.0162508 16
  119.08894 0.00912141 9
  120.05363 0.0119522 12
  121.06624 0.025477 25
  127.02999 0.00650031 6
  127.05644 0.0102747 10
  127.41991 0.0109038 11
  128.06253 0.113441 113
  129.07096 0.0848186 85
  130.07508 0.0076536 8
  131.08489 0.0926819 93
  131.08981 0.08723 87
  133.06419 0.0093311 9
  135.08367 0.00891172 9
  141.07020 0.0283078 28
  142.07990 0.053051 53
  143.08534 0.0326064 33
  143.74097 0.00524219 5
  144.05996 0.011428 11
  145.06334 0.025477 25
  145.10170 0.0438247 44
  147.07954 0.0217027 22
  149.05906 0.00859719 9
  152.06279 0.0239044 24
  153.06747 0.00975047 10
  154.07934 0.0136297 14
  155.08915 0.0333403 33
  156.09158 0.014783 15
  157.06622 0.00964563 10
  158.07139 0.00912141 9
  159.07973 0.169532 169
  159.08978 0.0191864 19
  161.05979 0.0392116 39
  161.09665 0.0076536 8
  165.06210 0.0112183 11
  165.06978 0.077165 77
  165.76182 0.0059761 6
  166.07502 0.0333403 33
  166.07843 0.0333403 33
  167.08452 0.0424617 42
  168.09373 0.0310338 31
  169.06460 0.0380583 38
  169.09884 0.05368 54
  171.07855 0.0517928 52
  172.08835 0.0396309 40
  173.05672 0.0209688 21
  173.09735 0.00639547 6
  175.03727 0.0103795 10
  175.07332 0.0258964 26
  176.07562 0.00870203 9
  178.07974 0.0587125 59
  179.08533 0.162822 163
  180.09005 0.0669952 67
  180.09465 0.0669952 67
  181.06340 0.0344936 34
