ACCESSION: MycoMSB-HZI-003101
RECORD_TITLE: Aethiopinolone B; timsTOF; MS2; CE:33.372093023255815; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23020369
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Aethiopinolone B
CH$FORMULA: C21H30O5
CH$EXACT_MASS: 362.2093
CH$SMILES: C
CH$IUPAC: InChI=1S/C21H30O5/c1-11(22)18-17(25)9-13-14-10-16(24)15-8-12(23)4-5-20(15,3)21(14,26)7-6-19(13,18)2/h10,12-13,15,17-18,23,25-26H,4-9H2,1-3H3/t12-,13+,15-,17-,18+,19+,20+,21-/m1/s1
CH$LINK: INCHIKEY XRQFYNJEWGIVRD-JBRJJFGXSA-N
SP$SCIENTIFIC_NAME: Fomitiporia aethiopica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 33.372093023255815
AC$MASS_SPECTROMETRY: CCS 166.4004669189453
MS$FOCUSED_ION: BASE_PEAK 363.21660
MS$FOCUSED_ION: PRECURSOR_M/Z 363.21660
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00fr-0692000000-9f5369212a2ebf0b2299
PK$NUM_PEAK: 173
PK$PEAK: m/z int. rel.int.
  109.06650 0.00595299 6
  117.07068 0.0139358 14
  121.06745 0.0106949 11
  123.08051 0.0285368 29
  128.06289 0.0124689 12
  129.06971 0.00885273 9
  130.07730 0.0150275 15
  131.08554 0.0176031 18
  133.06465 0.00654999 7
  142.07960 0.00735169 7
  143.08660 0.021748 22
  145.06524 0.0435643 44
  145.10061 0.0346945 35
  147.08050 0.0128953 13
  153.07003 0.00528776 5
  155.08605 0.0523317 52
  156.09046 0.00610651 6
  157.06446 0.00912564 9
  157.10087 0.0199911 20
  158.07306 0.034558 35
  159.07582 0.00721523 7
  159.08293 0.00943267 9
  161.09592 0.0139358 14
  165.07072 0.00980794 10
  166.07887 0.0120595 12
  167.08495 0.015488 15
  167.09013 0.015488 15
  168.09193 0.00798281 8
  169.10206 0.0343363 34
  171.08018 0.066694 67
  172.08388 0.0123836 12
  173.09611 1 999
  173.11255 0.0169549 17
  174.09997 0.124126 124
  175.11147 0.0347457 35
  179.08472 0.0126053 13
  180.09309 0.0109167 11
  181.10148 0.0454235 45
  182.10745 0.00788046 8
  183.08129 0.0146181 15
  183.11704 0.00982499 10
  184.08177 0.00871627 9
  184.08900 0.0076246 8
  185.09653 0.0319312 32
  185.10588 0.00859687 9
  186.10166 0.00852864 9
  186.10509 0.00852864 9
  187.11211 0.0450653 45
  188.11446 0.0127759 13
  191.10697 0.0782929 78
  192.09313 0.0108996 11
  192.11062 0.0122642 12
  193.10135 0.0435984 44
  194.10279 0.00724934 7
  194.11012 0.00668645 7
  195.08051 0.0428308 43
  195.11690 0.0346604 35
  196.08752 0.01994 20
  197.09618 0.0659434 66
  197.13239 0.016989 17
  198.10520 0.0284686 28
  198.13603 0.00948385 9
  199.11181 0.0492955 49
  205.10001 0.0123495 12
  205.10610 0.0123495 12
  206.10948 0.00994439 10
  207.11733 0.0552997 55
  208.09128 0.00815338 8
  208.11773 0.0181489 18
  208.12424 0.0193941 19
  209.09583 0.0900283 90
  209.13221 0.0190189 19
  210.10179 0.0390612 39
  210.13722 0.00706171 7
  211.10204 0.0211169 21
  211.11193 0.147221 147
  211.14829 0.00835807 8
  212.11589 0.0219357 22
  213.12747 0.0252789 25
  215.10721 0.0224474 22
  218.10868 0.0242725 24
  219.11654 0.0307031 31
  220.12321 0.0190189 19
  221.09596 0.0222256 22
