ACCESSION: MycoMSB-HZI-003102
RECORD_TITLE: Aethiopinolone B; timsTOF; MS2; CE:33.53488372093023; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23020369
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Aethiopinolone B
CH$FORMULA: C21H30O5
CH$EXACT_MASS: 362.2093
CH$SMILES: C
CH$IUPAC: InChI=1S/C21H30O5/c1-11(22)18-17(25)9-13-14-10-16(24)15-8-12(23)4-5-20(15,3)21(14,26)7-6-19(13,18)2/h10,12-13,15,17-18,23,25-26H,4-9H2,1-3H3/t12-,13+,15-,17-,18+,19+,20+,21-/m1/s1
CH$LINK: INCHIKEY XRQFYNJEWGIVRD-JBRJJFGXSA-N
SP$SCIENTIFIC_NAME: Fomitiporia aethiopica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 33.53488372093023
AC$MASS_SPECTROMETRY: CCS 161.32086181640625
MS$FOCUSED_ION: BASE_PEAK 345.20604
MS$FOCUSED_ION: PRECURSOR_M/Z 345.20604
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00di-0691000000-746b659f5cbb40e199cc
PK$NUM_PEAK: 222
PK$PEAK: m/z int. rel.int.
  108.08989 0.0101334 10
  111.08311 0.0121747 12
  117.06862 0.0101334 10
  121.06244 0.00714442 7
  122.06618 0.00955019 10
  123.08100 0.009696 10
  124.08260 0.0102792 10
  127.05356 0.0121747 12
  128.06231 0.00714442 7
  129.06857 0.014945 15
  130.07633 0.0166946 17
  131.08563 0.00707152 7
  132.08865 0.00772764 8
  135.07704 0.00736313 7
  135.08249 0.00561347 6
  140.05790 0.00801925 8
  141.06861 0.00772764 8
  142.07736 0.00517606 5
  143.07100 0.00685281 7
  143.08558 0.067143 67
  144.08875 0.00772764 8
  145.06488 0.0137056 14
  145.09950 0.0486258 49
  145.10446 0.0368156 37
  146.10341 0.0134869 13
  147.07875 0.0106437 11
  149.09596 0.00583218 6
  153.06808 0.0145804 15
  154.07679 0.0182256 18
  155.08606 0.0430123 43
  155.09710 0.00707152 7
  156.08437 0.0064154 6
  157.06498 0.00677991 7
  157.09831 0.0166217 17
  157.10419 0.00612379 6
  158.07111 0.0543122 54
  158.10570 0.0064154 6
  159.08037 0.0231829 23
  159.11465 0.0165488 17
  160.12220 0.00772764 8
  161.09429 0.0291609 29
  165.07013 0.0237661 24
  165.07864 0.0096231 10
  166.07698 0.0145804 15
  167.08535 0.0241306 24
  168.07051 0.00729022 7
  168.09282 0.00692571 7
  168.10093 0.00590508 6
  169.10022 0.035795 36
  170.07187 0.00583218 6
  170.10655 0.00947729 9
  170.11675 0.00707152 7
  171.08108 0.059634 60
  171.11625 0.00940439 9
  172.08348 0.0239848 24
  173.09556 1 999
  173.11099 0.00597798 6
  174.09864 0.145513 145
  175.11051 0.0176423 18
  177.07204 0.00568637 6
  178.07667 0.0271196 27
  179.08426 0.00721732 7
  180.09043 0.00568637 6
  181.06575 0.0142159 14
  181.09971 0.035795 36
  182.07283 0.0203397 20
  182.10382 0.0247868 25
  182.10813 0.0247868 25
  183.07758 0.0290151 29
  183.11581 0.0478968 48
  184.09026 0.00561347 6
  184.11998 0.00947729 9
  185.09562 0.038784 39
  185.10130 0.038784 39
  185.13167 0.00874827 9
  186.10042 0.0153095 15
  187.11185 0.0450536 45
  188.11322 0.0228913 23
  191.08268 0.00780054 8
  192.09327 0.0197565 20
  193.10138 0.0519064 52
  194.10772 0.0344828 34
  194.12618 0.011154 11
  195.08116 0.0199752 20
