ACCESSION: MycoMSB-HZI-003104
RECORD_TITLE: Aethiopinolone B; timsTOF; MS2; CE:32.627906976744185; [M+H-2H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23020369
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Aethiopinolone B
CH$FORMULA: C21H30O5
CH$EXACT_MASS: 362.2093
CH$SMILES: C
CH$IUPAC: InChI=1S/C21H30O5/c1-11(22)18-17(25)9-13-14-10-16(24)15-8-12(23)4-5-20(15,3)21(14,26)7-6-19(13,18)2/h10,12-13,15,17-18,23,25-26H,4-9H2,1-3H3/t12-,13+,15-,17-,18+,19+,20+,21-/m1/s1
CH$LINK: INCHIKEY XRQFYNJEWGIVRD-JBRJJFGXSA-N
SP$SCIENTIFIC_NAME: Fomitiporia aethiopica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 32.627906976744185
AC$MASS_SPECTROMETRY: CCS 155.5761260986328
MS$FOCUSED_ION: BASE_PEAK 327.19547
MS$FOCUSED_ION: PRECURSOR_M/Z 327.19547
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-2H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0lk9-0391000000-80ba6ebe84d640fda53f
PK$NUM_PEAK: 269
PK$PEAK: m/z int. rel.int.
  109.10215 0.00860449 9
  115.05656 0.0127584 13
  117.06862 0.0144397 14
  119.08503 0.0186925 19
  121.06416 0.0290772 29
  121.10203 0.0090001 9
  128.06408 0.0117694 12
  129.07149 0.00563742 6
  130.07750 0.0132529 13
  131.05160 0.0117694 12
  131.08563 0.0142419 14
  133.06663 0.0120661 12
  133.10272 0.0115716 12
  139.05452 0.00672535 7
  141.06676 0.00939571 9
  141.07732 0.0243299 24
  142.07630 0.0217585 22
  143.08564 0.0486599 49
  143.09345 0.00504401 5
  144.08875 0.0143408 14
  145.06771 0.0152309 15
  145.10068 0.017209 17
  145.11010 0.0105825 11
  148.08730 0.0113738 11
  149.09917 0.023242 23
  152.06148 0.00791217 8
  153.07034 0.0468796 47
  154.07801 0.00860449 9
  155.08625 0.177826 178
  156.08632 0.0173079 17
  156.09219 0.00840669 8
  157.06343 0.01622 16
  157.09831 0.00761547 8
  157.11007 0.00652754 7
  158.07589 0.0332311 33
  159.07908 0.0356048 36
  160.12220 0.013154 13
  161.09354 0.0144397 14
  162.10567 0.0113738 11
  165.06777 0.0481654 48
  166.07868 0.0377806 38
  167.08529 0.0824844 82
  168.09485 0.0138463 14
  169.06564 0.0136485 14
  169.10173 0.0796163 80
  170.07240 0.0359015 36
  170.11023 0.0314509 31
  171.08117 0.0903966 90
  171.11381 0.00712096 7
  172.08917 0.00939571 9
  173.09607 0.754525 754
  173.11257 0.00751657 8
  174.10068 0.0770448 77
  177.08036 0.00573633 6
  178.07851 0.0339234 34
  178.08508 0.00880229 9
  178.09342 0.0132529 13
  179.08537 0.0692315 69
  179.09472 0.0127584 13
  180.09561 0.0335278 33
  181.06337 0.0389675 39
  181.10144 0.187519 187
  181.11627 0.0134507 13
  182.07325 0.00543962 5
  182.10827 0.0486599 49
  182.12180 0.00514291 5
  183.07917 0.0415389 41
  183.11575 0.091979 92
  183.12376 0.009099 9
  184.07753 0.00692315 7
  184.08842 0.0482643 48
  184.12387 0.0230442 23
  185.09511 0.0288794 29
  187.11051 0.0943527 94
  189.06848 0.01622 16
  191.08717 0.0487588 49
  192.09272 0.0631985 63
  192.09963 0.0640886 64
  193.10094 0.216596 216
  194.07170 0.0202749 20
  194.10481 0.0582534 58
  195.08064 0.114331 114
  195.09081 0.0300663 30
