ACCESSION: MycoMSB-HZI-003111
RECORD_TITLE: 4-Hydroxy-pleurogrisein; timsTOF; MS2; CE:32.86046511627907; [M+H-2H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23102697
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: 4-Hydroxy-pleurogrisein
CH$FORMULA: C21H28O5
CH$EXACT_MASS: 360.1937
CH$SMILES: C
CH$IUPAC: InChI=1S/C21H28O5/c1-19(2,25)14-5-7-20-10-13-12(16(23)3-4-17(13)24)9-18(20)21(26,11-22)8-6-15(14)20/h3-4,14-15,18,22,25-26H,5-11H2,1-2H3/t14-,15-,18+,20+,21+/m0/s1
CH$LINK: INCHIKEY YUPNZPIXVOVXID-ZQWRCKPKSA-N
SP$SCIENTIFIC_NAME: Hohenbuehelia grisea
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 32.86046511627907
AC$MASS_SPECTROMETRY: CCS 159.29519653320312
MS$FOCUSED_ION: BASE_PEAK 325.17982
MS$FOCUSED_ION: PRECURSOR_M/Z 325.17982
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-2H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0fka-0690000000-b3e76684ad0116fe53b8
PK$NUM_PEAK: 226
PK$PEAK: m/z int. rel.int.
  106.06010 0.0124774 12
  115.05184 0.0293822 29
  115.05878 0.0543369 54
  117.07023 0.024351 24
  119.05025 0.0267659 27
  123.04341 0.0513182 51
  123.04671 0.0513182 51
  123.05316 0.0213323 21
  123.11634 0.0742604 74
  127.05525 0.0247535 25
  129.07034 0.0563494 56
  131.01393 0.0358221 36
  131.04974 0.0356208 36
  133.10265 0.0229422 23
  135.04125 0.0501107 50
  135.11808 0.0535319 53
  137.06033 0.0237472 24
  141.07002 0.0591668 59
  143.04761 0.0474945 47
  145.06321 0.0529282 53
  145.09992 0.0460857 46
  146.07451 0.0261622 26
  146.10679 0.0299859 30
  147.11425 0.0199235 20
  149.06042 0.110083 110
  149.06917 0.0181123 18
  149.13271 0.101228 101
  150.04667 0.0217348 22
  150.13483 0.024351 24
  152.06033 0.0394446 39
  153.06803 0.0348159 35
  155.04835 0.0197223 20
  155.09049 0.0627893 63
  156.08823 0.0239485 24
  157.10021 0.0297847 30
  157.18452 0.00784866 8
  159.07873 0.0165023 16
  159.11506 0.0607768 61
  159.12411 0.0205273 21
  160.05482 0.025156 25
  160.11815 0.0324009 32
  160.12409 0.0285772 29
  161.06023 0.188972 189
  161.13268 0.0362246 36
  162.06375 0.0146911 15
  162.27291 0.00523244 5
  163.03896 0.00503119 5
  163.14683 0.020326 20
  164.06518 0.0128799 13
  165.07050 0.022741 23
  167.04789 0.0205273 21
  167.08741 0.0829141 83
  168.09068 0.0128799 13
  169.06349 0.0561481 56
  171.08330 0.0887503 89
  171.11369 0.0106661 11
  173.05904 0.998189 997
  173.09598 0.0193198 19
  173.13586 0.042262 42
  174.06236 0.20165 201
  174.14094 0.0241497 24
  174.18223 0.0138861 14
  175.06485 0.0154961 15
  175.07352 0.0835178 83
  175.08140 0.0199235 20
  175.88953 0.00986114 10
  176.07836 0.0215335 22
  177.13019 0.0201248 20
  178.07808 0.0368283 37
  178.08495 0.0197223 20
  179.08387 0.0786879 79
  181.06351 0.0472932 47
  181.10033 0.0428658 43
  181.10524 0.0428658 43
  181.11193 0.0150936 15
  184.04981 0.0171061 17
  185.05918 0.0247535 25
  185.09536 0.0209298 21
  186.06278 0.0183135 18
  186.09905 0.0160998 16
  187.03914 0.017911 18
  187.07324 0.112699 113
  187.08834 0.0183135 18
  188.07811 0.0165023 16
  189.05562 0.167036 167
  189.11567 0.0293822 29
  190.07926 0.0631918 63
  190.09999 0.0267659 27
  191.09120 0.021131 21
  191.14310 0.0160998 16
  193.06396 0.018716 19
  195.08346 0.0386396 39
  195.11490 0.0623868 62
  195.12769 0.00986114 10
  196.08371 0.0374321 37
  197.05722 0.124774 125
  198.06658 0.187563 187
  199.07524 1 999
  200.05946 0.0148923 15
  200.07928 0.0951902 95
  201.09082 0.108674 109
  201.46684 0.0108674 11
  202.08899 0.021131 21
  202.10010 0.0088549 9
  203.14437 0.0173073 17
  204.09300 0.0269672 27
  205.10207 0.0543369 54
  206.07546 0.0193198 19
  207.07698 0.0557456 56
  207.08187 0.0557456 56
  208.08329 0.018716 19
  208.09232 0.0191185 19
  209.06288 0.0324009 32
  209.09312 0.0348159 35
  209.09991 0.0199235 20
  209.13836 0.024351 24
  210.06687 0.162608 162
  210.14621 0.018716 19
  211.06330 0.0804991 80
  211.07183 0.183538 183
  212.08128 0.141276 141
  213.08894 0.21453 214
  213.09871 0.0346146 35
  213.12492 0.0237472 24
  214.09193 0.0662105 66
  214.10155 0.0746629 75
  215.06349 0.023546 24
  215.10478 0.0549406 55
  215.18967 0.00825116 8
  216.08320 0.0189173 19
  218.07244 0.0772791 77
  219.07679 0.0328034 33
  219.11512 0.0360233 36
  220.08863 0.0233447 23
  221.09631 0.0398471 40
  222.07258 0.0120749 12
  222.14485 0.0154961 15
  222.99896 0.00543369 5
  223.07342 0.401892 401
  223.09007 0.0152948 15
  223.09708 0.0112699 11
  223.11182 0.133427 133
  224.07686 0.109479 109
  224.08405 0.108875 109
  224.12158 0.0118736 12
  225.07803 0.0181123 18
  225.09002 0.566311 566
  225.12497 0.0136848 14
  225.16487 0.00825116 8
  226.09482 0.189374 189
  227.07278 0.0321996 32
  227.10364 0.159388 159
  227.18090 0.0201248 20
  232.08987 0.0183135 18
  233.09221 0.0529282 53
  234.10237 0.0517207 52
  235.06920 0.0394446 39
  235.08298 0.00905615 9
  235.15014 0.0201248 20
  236.08264 0.325216 325
  236.12019 0.018716 19
  237.08939 0.334876 335
  237.12521 0.0354196 35
  237.89497 0.00603743 6
  238.09578 0.117931 118
  239.10347 0.169853 170
  239.11733 0.021131 21
  239.12942 0.0253572 25
  240.11034 0.0672167 67
  241.12154 0.161803 162
  241.71489 0.0088549 9
  242.55707 0.00503119 5
  243.11527 0.0233447 23
  245.09483 0.019521 20
  247.11398 0.0474945 47
  248.08169 0.0128799 13
  248.11618 0.0424633 42
  249.09069 0.126384 126
  250.09876 0.119742 120
  251.10512 0.778627 778
  251.13126 0.0140873 14
  252.10931 0.282351 282
  252.54618 0.00503119 5
  253.12322 0.0201248 20
  254.09222 0.0158986 16
  254.13146 0.0726504 73
  255.13772 0.0953914 95
  255.15053 0.00804991 8
  256.14093 0.0436708 44
  256.14844 0.021936 22
  262.16668 0.0146911 15
  263.10683 0.102033 102
  264.07728 0.00945864 9
  264.11301 0.425639 425
  264.16371 0.0120749 12
  265.08229 0.0116724 12
  265.12057 0.219763 220
  265.54346 0.0104649 10
  266.12596 0.0275709 28
  267.10060 0.0169048 17
  269.11590 0.191387 191
  274.10194 0.0106661 11
  274.13561 0.0158986 16
  277.12023 0.0285772 29
  278.12810 0.0434695 43
  278.13593 0.0114711 11
  279.13561 0.0704367 70
  279.17777 0.0225397 23
  281.10993 0.0169048 17
  282.12783 0.0678205 68
  283.13160 0.0573556 57
  284.13931 0.0156973 16
  290.12951 0.0146911 15
