ACCESSION: MycoMSB-HZI-003117
RECORD_TITLE: Ergokonin B; timsTOF; MS2; CE:35.30232558139535; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1002/jlac.199119910163
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Ergokonin B
CH$FORMULA: C28H42O5
CH$EXACT_MASS: 458.3032
CH$SMILES: C[C@H](/C=C/[C@H](C)C(C)C)C1CCC2=C3[C@H](C4[C@@]5(O4)C[C@H](CC[C@@]5(C3CC[C@]12C(=O)O)C)OC(=O)[C@H]([C@H](C(C)C)OS(=O)(=O)O)N)O
CH$IUPAC: InChI=1S/C34H53NO10S/c1-17(2)19(5)8-9-20(6)22-10-11-24-25-23(13-15-33(22,24)31(38)39)32(7)14-12-21(16-34(32)29(44-34)27(25)36)43-30(37)26(35)28(18(3)4)45-46(40,41)42/h8-9,17-23,26-29,36H,10-16,35H2,1-7H3,(H,38,39)(H,40,41,42)/b9-8+/t19-,20+,21-,22?,23?,26-,27+,28-,29?,32+,33-,34-/m0/s1
CH$LINK: INCHIKEY ISIMKBKTIVYXIT-OKSKHTPRSA-N
SP$SCIENTIFIC_NAME: Trichoderma koningii
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.30232558139535
AC$MASS_SPECTROMETRY: CCS 198.69131469726562
MS$FOCUSED_ION: BASE_PEAK 459.31050
MS$FOCUSED_ION: PRECURSOR_M/Z 459.31050
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0zov-0395100000-03b6e6f05950fc6a3145
