ACCESSION: MycoMSB-HZI-003118
RECORD_TITLE: Ergokonin B; timsTOF; MS2; CE:33.906976744186046; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1002/jlac.199119910163
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Ergokonin B
CH$FORMULA: C28H42O5
CH$EXACT_MASS: 458.3032
CH$SMILES: C[C@H](/C=C/[C@H](C)C(C)C)C1CCC2=C3[C@H](C4[C@@]5(O4)C[C@H](CC[C@@]5(C3CC[C@]12C(=O)O)C)OC(=O)[C@H]([C@H](C(C)C)OS(=O)(=O)O)N)O
CH$IUPAC: InChI=1S/C34H53NO10S/c1-17(2)19(5)8-9-20(6)22-10-11-24-25-23(13-15-33(22,24)31(38)39)32(7)14-12-21(16-34(32)29(44-34)27(25)36)43-30(37)26(35)28(18(3)4)45-46(40,41)42/h8-9,17-23,26-29,36H,10-16,35H2,1-7H3,(H,38,39)(H,40,41,42)/b9-8+/t19-,20+,21-,22?,23?,26-,27+,28-,29?,32+,33-,34-/m0/s1
CH$LINK: INCHIKEY ISIMKBKTIVYXIT-OKSKHTPRSA-N
SP$SCIENTIFIC_NAME: Trichoderma koningii
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 33.906976744186046
AC$MASS_SPECTROMETRY: CCS 177.2839813232422
MS$FOCUSED_ION: BASE_PEAK 441.29994
MS$FOCUSED_ION: PRECURSOR_M/Z 441.29994
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00di-0297600000-2846307969791a5bfa6b
PK$NUM_PEAK: 110
PK$PEAK: m/z int. rel.int.
  111.11760 0.0615305 61
  125.13188 0.0682523 68
  132.09034 0.040848 41
  149.09587 0.041365 41
  157.06488 0.0501551 50
  171.07684 0.0232678 23
  171.11628 0.16546 165
  173.09693 0.0625646 63
  173.10624 0.0113754 11
  183.11726 0.0718718 72
  185.09322 0.0496381 50
  192.09149 0.0496381 50
  201.12508 0.0879007 88
  203.13993 0.0677353 68
  207.11644 0.024302 24
  209.12707 0.0589452 59
  213.13142 0.0537746 54
  216.18211 0.0423992 42
  219.11978 0.0496381 50
  221.12955 0.0532575 53
  222.14022 0.0372285 37
  223.14774 0.192347 192
  224.15674 0.0429162 43
  225.13204 0.0305067 30
  225.16490 0.0279214 28
  227.14557 0.0367115 37
  234.13663 0.0465357 46
  236.15388 0.0144778 14
  237.12841 0.0599793 60
  239.14639 0.041365 41
  240.02770 0.0263702 26
  241.12191 0.0361944 36
  243.17628 0.0584281 58
  248.15319 0.0651499 65
  251.14121 0.0367115 37
  253.15404 0.0832472 83
  253.19417 0.101861 102
  255.10310 0.0361944 36
  257.15336 0.0480869 48
  260.14952 0.0392968 39
  261.16533 0.0873837 87
  263.14273 0.0392968 39
  265.16129 0.0475698 48
  268.17543 0.0517063 52
  269.15655 0.148397 148
  269.18821 0.0341262 34
  271.16796 0.041365 41
  271.17827 0.0346432 35
  277.15076 0.0744571 74
  279.13601 0.0635988 64
  281.19129 0.0558428 56
  282.19417 0.0098242 10
  283.20936 0.0754912 75
  287.18231 0.0423992 42
  289.19666 0.1091 109
  291.16960 0.0465357 46
  297.18617 0.0951396 95
  298.18039 0.0398139 40
  303.17652 0.0305067 30
  305.18880 0.0527404 53
  307.08105 0.016546 17
  307.17151 0.00568769 6
  307.20441 0.142192 142
  307.24828 0.0486039 49
  308.21691 0.0610134 61
  309.18156 0.0294726 29
  311.15953 0.0522234 52
  311.20092 0.0279214 28
  312.20340 0.0387797 39
  313.22409 0.0496381 50
  319.24907 0.0351603 35
  320.21123 0.0382627 38
  325.11988 0.0098242 10
  327.20471 0.0377456 38
  329.22523 0.0351603 35
  330.23640 0.0191313 19
  333.21641 0.0470527 47
  335.20415 0.263185 263
  335.23533 0.0625646 63
  345.22286 0.0868666 87
  347.23496 0.0294726 29
  350.25247 0.0537746 54
  350.29053 0.0299897 30
  351.23384 0.0305067 30
  351.27195 0.0480869 48
  352.28118 0.0279214 28
  353.21154 0.0868666 87
  353.25363 0.0470527 47
  354.22448 0.0356774 36
  361.25391 0.0144778 14
  363.26886 0.0811789 81
  364.23605 0.0361944 36
  367.23046 0.0372285 37
  377.28313 0.090486 90
  378.28339 0.0336091 34
  379.26060 0.0744571 74
  380.13843 0.0103413 10
  382.27931 0.0258532 26
  387.26834 0.0651499 65
  388.26942 0.0439504 44
  393.28485 0.0377456 38
  395.29473 0.0920372 92
  395.33175 0.0222337 22
  395.77974 0.0118925 12
  396.26222 0.0170631 17
  405.27849 0.561531 561
  406.28767 0.0785936 79
  423.28876 1 999
  424.28265 0.105481 105
  424.29564 0.106515 106
//
