ACCESSION: MycoMSB-HZI-003122
RECORD_TITLE: Aethiopinolone C; timsTOF; MS2; CE:33.20930232558139; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23020369
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Aethiopinolone C
CH$FORMULA: C21H28O4
CH$EXACT_MASS: 344.1988
CH$SMILES: C
CH$IUPAC: InChI=1S/C21H28O4/c1-12(22)14-4-5-15-16-11-18(24)17-10-13(23)6-7-20(17,3)21(16,25)9-8-19(14,15)2/h4,11,13,15,17,23,25H,5-10H2,1-3H3/t13-,15-,17+,19+,20-,21+/m0/s1
CH$LINK: INCHIKEY FCLBDRRJZHHDQW-IHTHKWLKSA-N
SP$SCIENTIFIC_NAME: Fomitiporia aethiopica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 33.20930232558139
AC$MASS_SPECTROMETRY: CCS 163.62257385253906
MS$FOCUSED_ION: BASE_PEAK 345.20604
MS$FOCUSED_ION: PRECURSOR_M/Z 345.20604
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00di-0891000000-5ffa4f45ee4897cb0379
PK$NUM_PEAK: 161
PK$PEAK: m/z int. rel.int.
  116.06366 0.0386756 39
  119.08946 0.0244853 24
  121.09674 0.0275459 28
  121.10535 0.0261547 26
  127.05485 0.0525876 53
  128.06395 0.0381191 38
  129.07315 0.0267112 27
  130.07916 0.0317195 32
  131.04969 0.0264329 26
  131.09088 0.0325543 33
  133.09719 0.033389 33
  135.04419 0.0356149 36
  135.08183 0.112688 113
  135.09510 0.0066778 7
  141.04991 0.0127991 13
  141.06849 0.0147468 15
  141.28966 0.00751252 8
  142.07724 0.0247635 25
  143.08772 0.0372844 37
  144.08675 0.0364496 36
  145.06476 0.0537006 54
  145.07042 0.0297718 30
  145.10217 0.105454 105
  146.06877 0.0222593 22
  147.07814 0.0356149 36
  147.11798 0.0345019 34
  149.09584 0.0186422 19
  154.07595 0.0166945 17
  155.08334 0.0217028 22
  157.10018 0.0525876 53
  158.07221 0.0125209 13
  159.07537 0.0823595 82
  159.08009 0.0823595 82
  159.08861 0.0222593 22
  161.09520 0.124652 125
  162.10159 0.031163 31
  169.10332 0.0676127 68
  171.07932 0.193656 193
  171.14229 0.0122426 12
  173.09606 1 999
  173.10826 0.0345019 34
  174.10174 0.0798553 80
  175.11102 0.0865331 86
  175.12066 0.0217028 22
  179.08404 0.0342237 34
  179.09869 0.0325543 33
  181.76288 0.0111297 11
  182.07090 0.0434057 43
  183.13833 0.0108514 11
  187.11326 0.0946021 95
  188.11017 0.0217028 22
  189.09187 0.128269 128
  191.10812 0.344463 344
  192.10869 0.0456316 46
  192.11520 0.0225376 23
  193.10198 0.072621 73
  194.66895 0.00639955 6
  195.07409 0.0609349 61
  197.09559 0.065665 66
  197.13414 0.0269894 27
  199.11128 0.0932109 93
  200.11019 0.0342237 34
  203.09516 0.033389 33
  204.10623 0.0217028 22
  206.11121 0.0281024 28
  207.11806 0.0397885 40
  208.12147 0.00918197 9
  208.92107 0.0100167 10
  210.13469 0.0308848 31
  211.09947 0.0166945 17
  211.10883 0.0567613 57
  211.11525 0.0567613 57
  211.13129 0.0155815 16
  212.11947 0.108792 109
  212.15076 0.0208681 21
  213.08819 0.032276 32
  213.12778 0.0834725 83
  214.10052 0.042571 43
  220.12329 0.0211464 21
  221.13230 0.0531441 53
  222.09802 0.0300501 30
  223.11089 0.0628826 63
  223.14827 0.0180857 18
  225.12780 0.189204 189
  225.16466 0.0191987 19
