ACCESSION: MycoMSB-HZI-003123
RECORD_TITLE: Aethiopinolone C; timsTOF; MS2; CE:33.16279069767442; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23020369
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Aethiopinolone C
CH$FORMULA: C21H28O4
CH$EXACT_MASS: 344.1988
CH$SMILES: C
CH$IUPAC: InChI=1S/C21H28O4/c1-12(22)14-4-5-15-16-11-18(24)17-10-13(23)6-7-20(17,3)21(16,25)9-8-19(14,15)2/h4,11,13,15,17,23,25H,5-10H2,1-3H3/t13-,15-,17+,19+,20-,21+/m0/s1
CH$LINK: INCHIKEY FCLBDRRJZHHDQW-IHTHKWLKSA-N
SP$SCIENTIFIC_NAME: Fomitiporia aethiopica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 33.16279069767442
AC$MASS_SPECTROMETRY: CCS 162.60513305664062
MS$FOCUSED_ION: BASE_PEAK 327.19547
MS$FOCUSED_ION: PRECURSOR_M/Z 327.19547
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00di-0961000000-7784bd8b0eb3e38d1419
PK$NUM_PEAK: 184
PK$PEAK: m/z int. rel.int.
  115.05429 0.0162658 16
  117.06925 0.0184125 18
  123.08182 0.00624759 6
  127.05447 0.0053944 5
  128.06380 0.0296141 30
  129.06965 0.0273848 27
  130.07874 0.0191281 19
  131.08504 0.0227335 23
  133.10260 0.00759619 8
  135.08056 0.0584576 58
  136.08291 0.00514669 5
  141.06567 0.0212473 21
  141.07010 0.0212473 21
  142.07388 0.00787142 8
  142.07975 0.0077338 8
  143.08607 0.0348434 35
  145.06441 0.0630539 63
  145.07096 0.00844939 8
  145.10065 0.102163 102
  146.06877 0.0058898 6
  146.10256 0.00778885 8
  147.07863 0.044779 45
  147.08301 0.044779 45
  147.11798 0.00679804 7
  149.05956 0.00591732 6
  149.09654 0.0262839 26
  153.07024 0.0112016 11
  154.07844 0.0104585 10
  155.08724 0.0366874 37
  156.08816 0.00657786 7
  157.09958 0.0220455 22
  158.07235 0.0649529 65
  158.08130 0.0177795 18
  159.08139 0.0415864 42
  159.11842 0.0142016 14
  160.08818 0.00875213 9
  161.09667 0.0323664 32
  163.07491 0.0074861 7
  165.06835 0.00770628 8
  169.06825 0.0056421 6
  169.10109 0.0248803 25
  171.08051 0.069384 69
  171.09094 0.0126053 13
  171.11773 0.00577971 6
  172.08516 0.0238619 24
  173.07534 0.00671547 7
  173.09609 1 999
  173.11208 0.0115044 11
  174.09943 0.0735124 73
  174.10991 0.00599989 6
  175.11173 0.0577145 58
  180.08877 0.00561458 6
  181.10297 0.0118897 12
  182.10679 0.00985303 10
  183.07844 0.00743106 7
  183.11441 0.010376 10
  184.08879 0.0159355 16
  184.11973 0.0063852 6
  185.09698 0.0197886 20
  185.12929 0.00536687 5
  186.10185 0.00778885 8
  187.11174 0.134998 135
  188.11261 0.0164034 16
  188.11853 0.0164034 16
  189.08655 0.00963285 10
  189.09540 0.0072384 7
  191.10639 0.220647 220
  192.09272 0.00740353 7
  192.11054 0.0297517 30
  193.09978 0.00781637 8
  194.10764 0.00853195 9
  195.08008 0.00941267 9
  196.08419 0.00610998 6
  196.09197 0.00789894 8
  197.09669 0.0509165 51
  197.12988 0.00974294 10
  197.13617 0.00974294 10
  198.06533 0.00509165 5
  198.09900 0.0135686 14
  199.11166 0.0356415 36
  200.11500 0.0119723 12
  201.12820 0.0117796 12
  205.12025 0.0257885 26
  207.11711 0.0303848 30
