ACCESSION: MycoMSB-HZI-003124
RECORD_TITLE: Aethiopinolone C; timsTOF; MS2; CE:33.25581395348837; [M+H-2H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23020369
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Aethiopinolone C
CH$FORMULA: C21H28O4
CH$EXACT_MASS: 344.1988
CH$SMILES: C
CH$IUPAC: InChI=1S/C21H28O4/c1-12(22)14-4-5-15-16-11-18(24)17-10-13(23)6-7-20(17,3)21(16,25)9-8-19(14,15)2/h4,11,13,15,17,23,25H,5-10H2,1-3H3/t13-,15-,17+,19+,20-,21+/m0/s1
CH$LINK: INCHIKEY FCLBDRRJZHHDQW-IHTHKWLKSA-N
SP$SCIENTIFIC_NAME: Fomitiporia aethiopica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 33.25581395348837
AC$MASS_SPECTROMETRY: CCS 157.5453643798828
MS$FOCUSED_ION: BASE_PEAK 309.18491
MS$FOCUSED_ION: PRECURSOR_M/Z 309.18491
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-2H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0gb9-0390000000-ef36247f16b4f1c94bac
PK$NUM_PEAK: 130
PK$PEAK: m/z int. rel.int.
  115.05476 0.0428752 43
  121.02790 0.0651534 65
  128.07281 0.0386717 39
  131.09446 0.0512821 51
  135.07873 0.0327869 33
  142.07165 0.0420345 42
  144.09050 0.0407734 41
  145.10022 0.151324 151
  147.08194 0.0521227 52
  149.09584 0.023119 23
  157.06489 0.0205969 21
  157.10214 0.037831 38
  158.07362 0.139134 139
  158.10958 0.0323665 32
  159.08219 0.0937369 94
  161.09544 0.0390921 39
  167.08627 0.0369903 37
  169.10006 0.0521227 52
  172.08488 0.0290038 29
  173.09740 0.398487 398
  173.25236 0.0105086 10
  174.09959 0.0462379 46
  175.11256 0.265237 265
  176.11150 0.0361496 36
  179.08404 0.0685162 68
  181.09920 0.0508617 51
  182.11734 0.0407734 41
  183.07939 0.130307 130
  183.12140 0.0340479 34
  184.09002 0.0369903 37
  185.09737 0.0685162 68
  187.10962 0.0638924 64
  187.12031 0.0542245 54
  189.13059 0.0538041 54
  191.08458 0.0462379 46
  194.06924 0.0605296 60
  195.11661 0.0491803 49
  196.08932 0.0886927 89
  196.12737 0.0567465 57
  197.09540 0.223203 223
  198.09286 0.0571669 57
  199.07597 0.0311055 31
  199.10963 0.129887 130
  201.12490 0.0369903 37
  205.09741 0.0453972 45
  206.10872 0.0521227 52
  207.08248 0.0273224 27
  207.11174 0.0483396 48
  208.08988 0.0479193 48
  209.09467 0.171921 172
  210.09841 0.0823876 82
  211.10849 0.186213 186
  211.11538 0.0348886 35
  211.14720 0.0214376 21
  212.12114 0.0554855 55
  213.12244 0.0361496 36
  215.10458 0.0466583 47
  217.09703 0.0802858 80
  219.11955 0.0584279 58
  221.09676 0.07314 73
  221.12467 0.0479193 48
  222.10268 0.0407734 41
  223.11058 0.345103 345
  224.12137 0.0273224 27
  225.12768 0.308113 308
  225.13649 0.037831 38
  226.13099 0.139975 140
  226.13460 0.139975 140
  228.11528 0.0336276 34
  232.12301 0.0399327 40
  233.13083 0.113493 113
  234.13877 0.023119 23
  235.11321 0.0626314 63
  236.11036 0.0264817 26
  237.12707 0.19546 195
  238.13715 0.102144 102
  239.10501 0.050021 50
  239.13404 0.113073 113
  239.14129 0.0538041 54
  240.14863 0.0277427 28
  245.13379 0.0411938 41
  246.10212 0.0458176 46
  247.14887 0.128205 128
  249.12908 0.10929 109
  249.16100 0.117276 117
  250.13435 0.168558 168
  251.10624 0.0336276 34
  251.12855 0.0390921 39
  251.14131 0.590584 590
  251.15236 0.198403 198
  251.18061 0.0201765 20
  251.34177 0.00966793 10
  252.14670 0.192938 193
  252.15615 0.118117 118
  253.50638 0.0210172 21
  254.12192 0.0428752 43
  255.13281 0.0571669 57
  259.14859 0.0521227 52
  259.16622 0.0311055 31
  261.13412 0.0311055 31
  262.13353 0.0239596 24
  263.13991 0.0483396 48
  265.15820 0.06095 61
  266.15533 0.19504 195
  266.16610 1 999
  266.90612 0.0126103 13
  267.14128 0.0445565 45
  267.15662 0.0344683 34
  267.17251 0.522068 522
  267.25123 0.0163934 16
  268.05990 0.010929 11
  268.17516 0.0218579 22
  268.18540 0.0403531 40
  273.16246 0.0306852 31
  276.15142 0.087852 88
  277.15569 0.0453972 45
  277.38490 0.0142917 14
  279.13884 0.145439 145
  280.14280 0.00882724 9
  281.19102 0.0302648 30
  289.16028 0.0542245 54
  291.16399 0.0659941 66
  291.17474 0.116856 117
  291.17886 0.116856 117
  291.41227 0.01219 12
  292.17646 0.0399327 40
  292.54020 0.010929 11
  294.16106 0.0222783 22
  309.18526 0.448928 448
  310.18751 0.0807062 81
//
