ACCESSION: MycoMSB-HZI-003137
RECORD_TITLE: Hypholomin B; timsTOF; MS2; CE:35.69767441860465; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules28093723
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Hypholomin B
CH$COMPOUND_CLASS: Shikimates and Phenylpropanoids
CH$FORMULA: C26H18O10
CH$EXACT_MASS: 490.0900
CH$SMILES: C(=C(C1=CC2=C(C(C3=CC(=CC(=O)O3)O)C(C=4C=CC(=C(C4)O)O)O2)C(=O)O1)[H])(C=5C=CC(=C(C5)O)O)[H]
CH$IUPAC: InChI=1S/C26H18O10/c27-14-9-20(35-22(32)10-14)23-24-21(36-25(23)13-3-6-17(29)19(31)8-13)11-15(34-26(24)33)4-1-12-2-5-16(28)18(30)7-12/h1-11,23,25,27-31H
CH$LINK: INCHIKEY CGMQDMKDINCGOB-UHFFFAOYSA-N
SP$SCIENTIFIC_NAME: Heimiomyces sp.
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.69767441860465
AC$MASS_SPECTROMETRY: CCS 216.8343505859375
MS$FOCUSED_ION: BASE_PEAK 491.09727
MS$FOCUSED_ION: PRECURSOR_M/Z 491.09727
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0059-0569200000-2c1c9e9535c6084ac900
PK$NUM_PEAK: 230
PK$PEAK: m/z int. rel.int.
  117.03482 0.0201395 20
  123.04595 0.0323275 32
  131.04856 0.0267999 27
  135.04411 0.0650401 65
  137.02373 0.0539622 54
  143.04802 0.00763445 8
  145.02868 0.0900729 90
  146.03347 0.00960536 10
  147.00923 0.00684156 7
  147.04492 0.0662181 66
  147.05430 0.00604866 6
  149.05917 0.0144987 14
  159.04452 0.0545739 55
  160.04615 0.00729464 7
  160.05346 0.00584477 6
  161.06029 0.0189615 19
  163.03893 0.860156 859
  163.05447 0.00989987 10
  164.04276 0.0796294 80
  171.04502 0.015133 15
  175.03961 0.282135 282
  175.05061 0.00724933 7
  176.04233 0.0260523 26
  177.05497 0.265076 265
  178.05747 0.0286802 29
  185.02434 0.0336188 34
  185.05706 0.00521046 5
  185.06345 0.00604866 6
  187.03888 0.0605093 60
  187.07488 0.00525577 5
  188.04241 0.0103076 10
  189.05425 0.0348648 35
  191.03486 0.0120294 12
  197.06149 0.0219972 22
  199.03997 0.0535771 54
  199.04601 0.0412985 41
  200.04387 0.0101944 10
  200.05159 0.00645644 6
  201.05544 0.0270491 27
  203.03428 0.204295 204
  204.03924 0.0165828 17
  205.05024 0.345159 345
  205.06225 0.00733995 7
  206.05264 0.0432468 43
  207.04298 0.00502922 5
  213.05547 0.0352046 35
  215.03336 0.0100358 10
  215.06067 0.00654705 7
  215.07140 0.0142948 14
  217.04982 0.0417969 42
  218.05594 0.00781569 8
  219.02807 0.00589008 6
  225.05639 0.0165149 16
  227.03438 0.260478 260
  228.03776 0.0389878 39
  229.01363 0.0089937 9
  229.05044 0.0286575 29
  231.06416 0.0528975 53
  232.06706 0.00607132 6
  235.03688 0.0057315 6
  237.05838 0.00804223 8
  241.05058 0.0566581 57
  242.05122 0.00511984 5
  243.02996 0.0300621 30
  243.04157 0.00586743 6
  243.06425 0.0380363 38
  244.06584 0.00919759 9
  245.04492 0.408976 409
  246.04863 0.0565901 57
  247.04746 0.00536904 5
  247.06019 0.0156767 16
  251.03530 0.00926555 9
  253.01464 0.0173984 17
  253.04740 0.0100584 10
  255.06189 0.00591274 6
  256.07029 0.00609397 6
  257.04310 0.00992252 10
  258.05042 0.00679625 7
  259.06038 0.0644737 64
  259.07230 0.0131168 13
  260.06160 0.0128449 13
  260.06805 0.0128449 13
  261.09001 0.00718137 7
  263.07176 0.0174664 17
  265.05158 0.005437 5
  269.04432 0.0518327 52
  269.05662 0.0142268 14
  270.04855 0.0104662 10
  271.02379 0.0614834 61
  271.05012 0.0105342 11
  271.05985 0.0637262 64
  271.07453 0.00829142 8
  271.08205 0.00838204 8
  272.02739 0.016832 17
  273.09176 0.00743056 7
  277.08631 0.0112138 11
  279.06373 0.00521046 5
  281.04741 0.0186217 19
  281.07749 0.0104436 10
  283.05607 0.00786099 8
  283.09562 0.00559558 6
  285.04291 0.0165375 17
  287.05569 0.0932219 93
  287.07180 0.0129129 13
  288.05669 0.00919759 9
  289.08521 0.0330071 33
  290.09120 0.00890309 9
  291.06060 0.00636582 6
  291.06542 0.00636582 6
  293.04489 0.0068189 7
  293.07866 0.00589008 6
  293.08468 0.00589008 6
  294.08354 0.00530107 5
  295.02549 0.00718137 7
  295.05918 0.0107834 11
  295.09554 0.00534638 5
  297.07537 0.00511984 5
  299.05802 0.0095374 10
  299.06828 0.00942413 9
  299.07648 0.00999049 10
  300.07299 0.00536904 5
  301.08774 0.00500657 5
  305.08251 0.0316705 32
  306.08674 0.012052 12
  307.08917 0.0124598 12
  307.09657 0.0124598 12
  308.06467 0.00561823 6
  309.03735 0.00704544 7
  309.06537 0.00842735 8
  309.07414 0.0101491 10
  311.06780 0.00505188 5
  313.03444 0.0263694 26
  315.06625 0.0253727 25
  316.06718 0.00722668 7
  317.08080 0.0351366 35
  318.08253 0.00634317 6
  318.08762 0.00634317 6
  323.05672 0.0103983 10
  323.09367 0.0434054 43
  324.08528 0.00545965 5
  324.09829 0.0124824 12
  325.10725 0.00575416 6
  326.07035 0.00801957 8
  327.04838 0.00806488 8
  327.06017 0.0105795 11
  329.08004 0.00709075 7
  333.07575 0.0285216 28
  334.08039 0.0130035 13
  335.05362 0.00797426 8
  335.09177 0.0446287 45
  336.09843 0.00740791 7
  337.07005 0.00545965 5
  337.10542 0.00835939 8
  339.06547 0.0126863 13
  341.06473 0.00767976 8
  341.08034 0.0068189 7
  342.06873 0.00607132 6
  343.06092 0.0154501 15
  344.06647 0.00983191 10
  345.06317 0.00711341 7
  345.07490 0.0169906 17
  347.09161 0.0068189 7
  349.10858 0.00806488 8
  351.08653 0.339812 339
  351.10410 0.00550496 5
  352.09117 0.0845227 84
  353.06472 0.00613928 6
  353.10332 0.016379 16
  357.07851 0.0347288 35
  360.09639 0.00700014 7
  361.07101 0.0651081 65
  362.07424 0.022269 22
  363.08681 0.0160845 16
  364.07106 0.0070681 7
  364.09197 0.00632051 6
  367.05920 0.00888043 9
  369.07614 0.013819 14
  371.09503 0.00589008 6
  375.08446 0.0130715 13
  377.10171 0.0306058 31
  379.06286 0.00523311 5
  379.08235 1 999
  379.10530 0.0095374 10
  380.08571 0.287912 288
  381.09693 0.911332 910
  381.11993 0.00811019 8
  382.10165 0.200535 200
  383.10422 0.0196412 20
  385.07223 0.078474 78
  386.07462 0.0268225 27
  387.08803 0.0163563 16
  388.08977 0.00609397 6
  389.06587 0.00876716 9
  390.06657 0.00718137 7
  399.09086 0.0138417 14
  403.08149 0.0444475 44
  404.08716 0.00931086 9
  405.06233 0.0144307 14
  405.09925 0.0554121 55
  406.10050 0.0108513 11
  407.06059 0.00808754 8
  407.07637 0.217729 218
  407.10080 0.005437 5
  408.08088 0.0544606 54
  409.07236 0.0125504 13
  410.07501 0.00584477 6
  413.06625 0.0590821 59
  414.07276 0.00729464 7
  417.09734 0.00616193 6
  418.09828 0.00752118 8
  421.09161 0.0163563 16
  422.09062 0.00813284 8
  422.10297 0.00933351 9
  427.07994 0.02424 24
  428.08304 0.0143174 14
  429.06624 0.00765711 8
  431.07730 0.11352 113
  432.08134 0.0351819 35
  437.06563 0.0219972 22
  438.06296 0.00575416 6
  445.09317 0.0175117 17
  446.09442 0.0102397 10
  447.11225 0.00589008 6
  449.08596 0.0282044 28
  450.08859 0.00835939 8
  455.07255 0.028295 28
  456.07755 0.0118934 12
  456.09255 0.00733995 7
  473.08514 0.0249422 25
  474.09353 0.00801957 8
//
