ACCESSION: MycoMSB-HZI-003147
RECORD_TITLE: Nebucane A; timsTOF; MS2; CE:31.767441860465116; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1021/acs.jnatprod.2c00554
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Nebucane A
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C15H19NO2
CH$EXACT_MASS: 245.1416
CH$SMILES: CC1(C2(CC(C)(C)C=C2C=3C(=CNC3C1=O)CO)[H])[H]
CH$IUPAC: InChI=1S/C15H19NO2/c1-8-10-4-15(2,3)5-11(10)12-9(7-17)6-16-13(12)14(8)18/h5-6,8,10,16-17H,4,7H2,1-3H3
CH$LINK: INCHIKEY RLJIBZUVXXXXGI-WCBMZHEXSA-N
SP$SCIENTIFIC_NAME: Clitocybe nebularis
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 31.767441860465116
AC$MASS_SPECTROMETRY: CCS 144.11553955078125
MS$FOCUSED_ION: BASE_PEAK 246.14886
MS$FOCUSED_ION: PRECURSOR_M/Z 246.14886
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-022a-0930000000-394e1cb411549462dd1f
PK$NUM_PEAK: 209
PK$PEAK: m/z int. rel.int.
  115.05449 0.0341161 34
  116.04991 0.00664599 7
  117.05638 0.0502141 50
  118.06379 0.0487373 49
  118.07399 0.0106336 11
  120.07991 0.0211195 21
  122.84295 0.00708906 7
  127.05343 0.040319 40
  127.06547 0.0159504 16
  128.04949 0.0162458 16
  128.06326 0.0852164 85
  128.06857 0.0695614 69
  129.06995 0.108994 109
  130.06421 0.169104 169
  130.08017 0.0324915 32
  131.07044 0.0468173 47
  131.09009 0.0329346 33
  132.08062 0.084921 85
  133.06799 0.0162458 16
  134.05843 0.0395806 40
  136.07304 0.109142 109
  138.04508 0.0166888 17
  139.05405 0.0208241 21
  141.06866 0.114016 114
  142.07641 0.0323438 32
  143.07398 0.0477034 48
  143.08700 0.133511 133
  144.04508 0.0354453 35
  144.08079 0.259046 259
  144.08832 0.0880224 88
  144.32870 0.00561217 6
  145.08685 0.0547925 55
  145.09237 0.0497711 50
  145.09886 0.0856594 86
  146.05808 0.0674937 67
  146.06463 0.0118151 12
  146.09633 0.0308669 31
  146.10244 0.010929 11
  146.11189 0.0190518 19
  146.34833 0.010929 11
  147.06829 0.0228917 23
  147.08726 0.0177226 18
  148.06777 0.0370699 37
  148.07396 0.0465219 46
  152.06159 0.0391375 39
  153.05596 0.0152119 15
  153.07144 0.0178703 18
  154.06482 0.116822 117
  154.07595 0.0513957 51
  155.07380 0.0302762 30
  155.08295 0.0370699 37
  155.09269 0.0174273 17
  156.08042 0.534338 534
  156.08971 0.0279132 28
  157.07028 0.0163934 16
  157.08761 0.200118 200
  157.09888 0.0330823 33
  158.06465 0.0862502 86
  158.09599 0.220795 221
  158.40217 0.0127012 13
  159.06828 0.0462266 46
  159.08209 0.0196426 20
  159.10052 0.0853641 85
  160.07443 0.207798 208
  160.10966 0.027027 27
  160.11560 0.0131443 13
  161.07899 0.0466696 47
  161.08494 0.0205287 21
  161.11472 0.0181657 18
  162.09106 0.0208241 21
  162.12492 0.0143258 14
  163.09832 0.0140304 14
  164.93733 0.00767981 8
  165.07195 0.0220056 22
  165.68548 0.00738443 7
  166.06624 0.0165411 17
  166.08236 0.0150642 15
  167.07012 0.0728105 73
  167.08345 0.0542017 54
  168.08031 0.179885 180
  168.09471 0.0999852 100
  169.08548 0.0391375 39
  169.10037 0.037956 38
  170.05868 0.0432728 43
  170.09588 0.561069 561
  170.10997 0.0106336 11
  171.06610 0.0255501 26
  171.10329 0.733127 732
  171.12134 0.0193472 19
  171.69681 0.00945208 9
  171.96131 0.0064983 6
  172.07417 0.203072 203
  172.08239 0.0440112 44
  172.11155 0.778615 778
  172.12756 0.0231871 23
  172.69849 0.00546448 5
  172.71288 0.0064983 6
  173.08327 0.0614385 61
  173.09750 0.0159504 16
  173.11545 0.162605 162
  173.12558 0.0301285 30
  173.13661 0.0158027 16
  174.08564 0.0496234 50
