ACCESSION: MycoMSB-HZI-003151
RECORD_TITLE: Elaeicolaside C; timsTOF; MS2; CE:34.72093023255814; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1016/j.simyco.2020.01.001
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Elaeicolaside C
CH$FORMULA: C26H40O8
CH$EXACT_MASS: 480.2723
CH$SMILES: C
CH$IUPAC: InChI=1S/C26H42O8/c1-23(11-12-33-22-21(31)20(30)19(29)17(14-27)34-22)9-10-26(32)16(13-23)5-6-18-24(2,15-28)7-4-8-25(18,26)3/h5-6,13,17-22,27-32H,4,7-12,14-15H2,1-3H3/t17-,18+,19-,20+,21+,22+,23-,24+,25+,26-/m1/s1
CH$LINK: INCHIKEY ZYNRBYMEEMYOLK-NZZGPMRASA-N
SP$SCIENTIFIC_NAME: Dematophora bunodes
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.72093023255814
AC$MASS_SPECTROMETRY: CCS 182.68319702148438
MS$FOCUSED_ION: BASE_PEAK 463.26903
MS$FOCUSED_ION: PRECURSOR_M/Z 463.26903
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-002e-0269500000-51916f79116eda4ba49f
PK$NUM_PEAK: 294
PK$PEAK: m/z int. rel.int.
  115.05290 0.0387535 39
  119.08415 0.0435477 44
  123.08241 0.0351578 35
  123.11712 0.0423492 42
  123.12579 0.0994806 99
  125.05993 0.0347583 35
  129.05871 0.0359569 36
  131.08858 0.169397 169
  132.08830 0.0411506 41
  133.05184 0.0363564 36
  145.10217 0.0399521 40
  146.10631 0.0347583 35
  147.11672 0.184179 184
  148.11926 0.0351578 35
  153.08702 0.0371554 37
  155.08304 0.0343588 34
  155.94523 0.00519377 5
  157.06647 0.0363564 36
  157.09980 0.0463444 46
  158.10199 0.0982821 98
  159.11470 0.0898921 90
  161.13074 0.0994806 99
  161.13669 0.0287655 29
  168.11053 0.0351578 35
  172.11940 0.0307631 31
  173.07909 0.0499401 50
  173.09350 0.0455453 45
  175.10996 0.0403516 40
  176.11738 0.0475429 47
  179.10673 0.0439473 44
  180.11927 0.0235717 24
  183.11685 0.0555334 55
  184.12367 0.0419497 42
  186.60683 0.00878945 9
  187.11359 0.0431482 43
  188.15063 0.0443468 44
  189.12814 0.0375549 38
  191.11023 0.0331602 33
  191.14050 0.0251698 25
  193.12004 0.0251698 25
  195.11726 0.103875 104
  196.11832 0.0379545 38
  199.09555 0.0319616 32
  199.14631 0.0403516 40
  201.15601 0.0127847 13
  201.16500 0.0942869 94
  202.13301 0.0351578 35
