ACCESSION: MycoMSB-HZI-003152
RECORD_TITLE: Elaeicolaside C; timsTOF; MS2; CE:35.093023255813954; [M+H-2H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1016/j.simyco.2020.01.001
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Elaeicolaside C
CH$FORMULA: C26H40O8
CH$EXACT_MASS: 480.2723
CH$SMILES: C
CH$IUPAC: InChI=1S/C26H42O8/c1-23(11-12-33-22-21(31)20(30)19(29)17(14-27)34-22)9-10-26(32)16(13-23)5-6-18-24(2,15-28)7-4-8-25(18,26)3/h5-6,13,17-22,27-32H,4,7-12,14-15H2,1-3H3/t17-,18+,19-,20+,21+,22+,23-,24+,25+,26-/m1/s1
CH$LINK: INCHIKEY ZYNRBYMEEMYOLK-NZZGPMRASA-N
SP$SCIENTIFIC_NAME: Dematophora bunodes
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.093023255813954
AC$MASS_SPECTROMETRY: CCS 181.5831756591797
MS$FOCUSED_ION: BASE_PEAK 445.25847
MS$FOCUSED_ION: PRECURSOR_M/Z 445.25847
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-2H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-052b-0179400000-09f3f0682624da82f098
PK$NUM_PEAK: 106
PK$PEAK: m/z int. rel.int.
  137.09482 0.164935 165
  145.10406 0.0298701 30
  154.07759 0.0987013 99
  155.08888 0.0272727 27
  159.36448 0.0116883 12
  171.11736 0.246753 247
  194.63375 0.0116883 12
  195.11633 0.141558 141
  199.14411 0.127273 127
  201.16234 0.107792 108
  201.45751 0.0116883 12
  211.57217 0.0116883 12
  213.16098 0.144156 144
  213.94274 0.0376623 38
  214.43951 0.0116883 12
  215.10888 0.0948052 95
  216.11490 0.141558 141
  223.14796 0.105195 105
  231.13947 0.11039 110
  240.10706 0.146753 147
  241.12300 0.187013 187
  251.14054 0.0636364 64
  251.17772 0.172727 173
  253.15990 0.141558 141
  254.16389 0.122078 122
  255.13087 0.376623 376
  255.13627 0.376623 376
  259.13480 0.223377 223
  265.19366 0.180519 180
  267.17914 0.122078 122
  270.16098 0.0844156 84
  271.20324 0.124675 125
  273.18262 0.0766234 77
  275.13027 0.132468 132
  277.14213 0.112987 113
  279.17700 0.155844 156
  281.15373 0.114286 114
  283.14008 0.012987 13
  291.16337 0.118182 118
  295.20468 0.233766 234
  296.60144 0.0116883 12
  297.18361 0.124675 125
  298.23349 0.0272727 27
  299.22840 0.0311688 31
  300.20599 0.103896 104
  302.18500 0.112987 113
  308.20904 0.251948 252
  309.18333 0.0974026 97
  311.23275 0.168831 169
  313.17880 0.202597 202
  313.20925 0.0831169 83
  314.17336 0.0142857 14
  314.18445 0.0558442 56
  316.16442 0.145455 145
  317.57891 0.0116883 12
  321.21865 0.0909091 91
  321.73750 0.0116883 12
  323.19653 0.262338 262
  326.19147 0.107792 108
  327.23193 0.1 100
  330.22111 0.0779221 78
  333.21817 0.0376623 38
  339.19816 0.102597 102
  341.21151 0.561039 560
  342.21036 0.244156 244
  351.22974 0.172727 173
  353.22011 0.0831169 83
  355.22495 0.025974 26
  355.78236 0.0116883 12
  356.37860 0.0116883 12
  363.22650 0.0324675 32
  365.20766 0.250649 250
  369.20725 0.0844156 84
  369.24933 0.148052 148
  381.24328 0.303896 304
  381.26638 0.0285714 29
  382.24438 0.105195 105
  383.21831 0.233766 234
  385.24421 0.136364 136
  392.22953 0.0935065 93
  397.23609 0.151948 152
  399.25047 0.44026 440
  400.25651 0.0636364 64
  409.23199 0.345455 345
  427.24812 0.444156 444
  428.25255 0.414286 414
  429.34770 0.0493506 49
  445.25589 1 999
  445.63371 0.0285714 29
  446.25587 0.41039 410
  446.56868 0.0116883 12
  456.22948 0.0116883 12
  503.00992 0.0116883 12
  606.09647 0.0116883 12
  688.18982 0.0116883 12
  750.68519 0.0116883 12
  751.85136 0.0116883 12
  873.79787 0.0116883 12
  1011.05825 0.0116883 12
  1109.69522 0.0116883 12
  1307.73624 0.0116883 12
  1388.66377 0.0116883 12
  1497.50363 0.012987 13
  1566.43236 0.0116883 12
  1656.97703 0.0116883 12
  1702.00926 0.0116883 12
//
