ACCESSION: MycoMSB-HZI-003153
RECORD_TITLE: Elaeicolaside C; timsTOF; MS2; CE:35.627906976744185; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1016/j.simyco.2020.01.001
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Elaeicolaside C
CH$FORMULA: C26H40O8
CH$EXACT_MASS: 480.2723
CH$SMILES: C
CH$IUPAC: InChI=1S/C26H42O8/c1-23(11-12-33-22-21(31)20(30)19(29)17(14-27)34-22)9-10-26(32)16(13-23)5-6-18-24(2,15-28)7-4-8-25(18,26)3/h5-6,13,17-22,27-32H,4,7-12,14-15H2,1-3H3/t17-,18+,19-,20+,21+,22+,23-,24+,25+,26-/m1/s1
CH$LINK: INCHIKEY ZYNRBYMEEMYOLK-NZZGPMRASA-N
SP$SCIENTIFIC_NAME: Dematophora bunodes
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.627906976744185
AC$MASS_SPECTROMETRY: CCS 195.56500244140625
MS$FOCUSED_ION: BASE_PEAK 481.27959
MS$FOCUSED_ION: PRECURSOR_M/Z 481.27959
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-001i-0268900000-9cb74e172785dd3f14da
PK$NUM_PEAK: 174
PK$PEAK: m/z int. rel.int.
  119.08586 0.0487505 49
  121.10170 0.0303154 30
  125.09492 0.0434248 43
  131.08707 0.0618599 62
  136.08205 0.0413765 41
  137.06186 0.0340025 34
  137.81738 0.0102417 10
  139.11133 0.0483408 48
  145.10029 0.0503892 50
  147.11770 0.0487505 49
  149.13185 0.0385088 38
  157.10301 0.106923 107
  161.13365 0.0684146 68
  168.09025 0.0426055 43
  169.29704 0.00573535 6
  173.78772 0.00860303 9
  175.11410 0.0290864 29
  180.09198 0.0286768 29
  180.11087 0.0376895 38
  187.14569 0.0438345 44
  189.12599 0.0368701 37
  191.10807 0.0442442 44
  193.12378 0.099959 100
  193.13091 0.0442442 44
  194.50065 0.0176157 18
  198.18285 0.00983204 10
  199.14631 0.0421958 42
  201.16234 0.0253994 25
  202.16859 0.0569439 57
  205.12177 0.0442442 44
  209.13563 0.0262188 26
  211.11098 0.0663662 66
  219.11462 0.0380991 38
  222.14201 0.0229414 23
  224.15151 0.0421958 42
  225.16435 0.0262188 26
  226.16535 0.0299058 30
  229.16275 0.0401475 40
  230.20819 0.0499795 50
  231.10380 0.0311348 31
  233.11991 0.0253994 25
  233.13185 0.0442442 44
  234.15518 0.0323638 32
  237.12781 0.0364605 36
  239.17964 0.0426055 43
  243.13662 0.144203 144
  246.13609 0.0421958 42
