ACCESSION: MycoMSB-HZI-003161
RECORD_TITLE: Akanthopyrone B; timsTOF; MS2; CE:36.116279069767444; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules22071202
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Akanthopyrone B
CH$FORMULA: C25H42O11
CH$EXACT_MASS: 518.2727
CH$SMILES: C
CH$IUPAC: InChI=1S/C24H40O11/c1-31-17-12-18(33-23(30)15(17)13-26)16(10-8-6-4-3-5-7-9-11-25)34-24-21(29)20(28)22(32-2)19(14-27)35-24/h12,16,19-22,24-29H,3-11,13-14H2,1-2H3/t16-,19-,20-,21-,22-,24-/m1/s1
CH$LINK: INCHIKEY MBYABXDSJYHYQZ-XSHYYGNTSA-N
SP$SCIENTIFIC_NAME: Akanthomyces novoguineensis
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 36.116279069767444
AC$MASS_SPECTROMETRY: CCS 198.00506591796875
MS$FOCUSED_ION: BASE_PEAK 501.26702
MS$FOCUSED_ION: PRECURSOR_M/Z 501.26702
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0a4i-0976000000-8e2ecbfc8500834dbe46
PK$NUM_PEAK: 201
PK$PEAK: m/z int. rel.int.
  109.02754 0.0250175 25
  117.06999 0.0122085 12
  118.07227 0.0154108 15
  119.05512 0.0107075 11
  119.08291 0.0459322 46
  121.06545 0.00970679 10
  121.10170 0.0118083 12
  122.10214 0.00850595 8
  123.04387 0.0511358 51
  123.08066 0.0226158 23
  125.05760 0.0246172 25
  129.06760 0.0133093 13
  131.08211 0.0176123 18
  133.02618 0.035725 36
  135.04503 0.048634 49
  135.08140 0.0281197 28
  135.11850 0.017112 17
  137.06004 0.0194136 19
  139.03605 0.0688482 69
  140.03904 0.0269188 27
  141.05576 0.0336235 34
  141.08498 0.0120084 12
  143.08374 0.0102071 10
  145.04945 0.00990693 10
  145.06829 0.00880616 9
  145.10032 0.0233163 23
  147.04186 0.0390273 39
  147.04755 0.0142099 14
  147.07979 0.00740518 7
  147.08738 0.0090063 9
  147.11657 0.060042 60
  147.12076 0.060042 60
  149.06017 0.0160112 16
  149.09714 0.0235165 23
  150.06744 0.0115081 11
  151.03827 0.137696 138
