ACCESSION: MycoMSB-HZI-003178
RECORD_TITLE: Laetiporin B; timsTOF; MS2; CE:37.86046511627907; [M+Na]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1016/j.phytol.2017.04.009
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Laetiporin B
CH$FORMULA: C34H52O7
CH$EXACT_MASS: 572.3713
CH$SMILES: C
CH$IUPAC: InChI=1S/C34H52O7/c1-19(2)20(3)9-10-21(30(39)40)24-17-27(41-29(38)18-28(36)37)34(8)23-11-12-25-31(4,5)26(35)14-15-32(25,6)22(23)13-16-33(24,34)7/h19,21,24-27,35H,3,9-18H2,1-2,4-8H3,(H,36,37)(H,39,40)/t21-,24+,25-,26-,27-,32+,33+,34+/m0/s1
CH$LINK: INCHIKEY MDPWBYGDZIOSBE-PWUJMTERSA-N
SP$SCIENTIFIC_NAME: Laetiporus sp.
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 37.86046511627907
AC$MASS_SPECTROMETRY: CCS 226.5990447998047
MS$FOCUSED_ION: BASE_PEAK 595.36052
MS$FOCUSED_ION: PRECURSOR_M/Z 595.36052
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0007-0553930000-383aa714e791583cceac
PK$NUM_PEAK: 154
PK$PEAK: m/z int. rel.int.
  107.08357 0.027863 28
  110.10396 0.0242843 24
  119.08727 0.043456 43
  121.10050 0.0513804 51
  121.89818 0.00869121 9
  122.10551 0.0524029 52
  126.99968 0.182004 182
  127.00729 0.0347648 35
  127.34068 0.0107362 11
  127.53315 0.00664622 7
  129.06928 0.0426892 43
  133.10707 0.045501 45
  135.11477 0.0337423 34
  139.07435 0.0263292 26
  145.09517 0.0812883 81
  145.09975 0.0812883 81
  147.11625 0.0508691 51
  149.13178 0.0181493 18
  159.11602 0.0416667 42
  160.12153 0.0173824 17
  161.09884 0.0301636 30
  161.13384 0.0797546 80
  167.10600 0.0222393 22
  171.11524 0.0316973 32
  172.12754 0.0132924 13
  173.06051 0.0370654 37
  173.13031 0.153885 154
  174.13633 0.0163599 16
  175.14924 0.0181493 18
  175.41432 0.00996933 10
  185.13187 0.0567485 57
  187.14833 0.0628834 63
  189.16068 0.0723415 72
  189.47895 0.00587935 6
  190.16859 0.0230061 23
  191.14268 0.0304192 30
  195.13602 0.027863 28
  196.13368 0.0227505 23
  200.14978 0.0214724 21
  200.38221 0.00792434 8
  205.12855 0.0232618 23
  211.14927 0.0304192 30
  213.16562 0.0207055 21
  215.18009 0.0572597 57
  219.13555 0.0219836 22
  221.15703 0.0214724 21
  226.16781 0.031953 32
  229.19153 0.0800102 80
  229.20312 0.0224949 22
  231.13483 0.0260736 26
  231.21094 0.0189162 19
  233.15585 0.0253067 25
  239.18460 0.0222393 22
  239.24267 0.00766871 8
  241.19671 0.0544479 54
  241.83361 0.0053681 5
  242.15724 0.0209611 21
  242.20106 0.015593 16
  245.15803 0.0380879 38
  247.15817 0.0161043 16
  249.18618 0.0230061 23
  255.17750 0.0309305 31
  255.20998 0.0286299 29
  263.19542 0.0191718 19
  268.21836 0.0166155 17
  271.16991 0.0168712 17
  273.18794 0.0388548 39
  274.18636 0.0214724 21
  275.20308 0.0227505 23
  275.21346 0.0209611 21
  275.23162 0.0235174 23
  280.22094 0.017638 18
  282.31700 0.0109918 11
  283.23610 0.0508691 51
  283.57996 0.0130368 13
  285.26036 0.0332311 33
  286.25987 0.0265849 27
  293.21968 0.0283742 28
  295.11912 0.00817996 8
  295.24016 0.209356 209
  295.25887 0.0263292 26
  296.24533 0.0894683 89
  299.20150 0.0138037 14
  301.21520 0.027863 28
  303.23838 0.00894683 9
  307.24746 0.033998 34
  311.23351 0.0385992 39
  311.27736 0.0296524 30
  313.25163 0.114519 114
  315.22828 0.0309305 31
  317.24186 0.0219836 22
  327.22525 0.049591 50
  329.24701 0.0219836 22
  329.25886 0.0265849 27
  337.25365 0.0260736 26
  337.30248 0.0286299 29
  339.26169 0.0375767 38
  341.24969 0.0391104 39
  343.25798 0.0442229 44
  343.26668 0.0181493 18
  349.28899 0.0130368 13
  353.28036 0.0424335 42
  355.26469 0.140593 140
  356.26064 0.019683 20
  357.27995 0.0230061 23
  367.26234 0.0270961 27
  373.27400 0.0567485 57
  381.27391 0.0493354 49
  396.29527 0.0329755 33
  403.25396 0.0184049 18
  405.33921 0.0186605 19
  405.35289 0.0547035 55
  406.35705 0.0191718 19
  406.85856 0.0138037 14
  407.37300 0.0214724 21
  409.30428 0.0191718 19
  415.32633 0.0222393 22
  423.36299 0.0429448 43
  425.37047 0.0132924 13
  426.37438 0.0158487 16
  433.34370 0.0178937 18
  434.34718 0.0253067 25
  447.34594 0.0314417 31
  447.35918 0.0109918 11
  448.34894 0.0204499 20
  451.05236 0.0120143 12
  451.35758 0.211145 211
  451.45110 0.00587935 6
  452.36567 0.127556 127
  469.36530 0.0444785 44
  469.39011 0.0153374 15
  471.37472 0.0230061 23
  491.16680 0.00869121 9
  491.34812 1 999
  491.36830 0.112474 112
  491.55167 0.00894683 9
  492.35163 0.443507 443
  492.64470 0.00766871 8
  493.12046 0.0053681 5
  493.34974 0.0309305 31
  493.36363 0.0186605 19
  495.45743 0.00562372 6
  509.36579 0.015593 16
  551.28338 0.00511247 5
  551.37082 0.17408 174
  552.37142 0.117587 117
  552.39309 0.0163599 16
  553.37143 0.0115031 11
  595.35841 0.367331 367
  595.39129 0.0334867 33
  596.36354 0.184816 185
  596.82465 0.00996933 10
  596.97370 0.0053681 5
  597.36842 0.0715746 72
//
