ACCESSION: MycoMSB-HZI-003181
RECORD_TITLE: Laetiporin B; timsTOF; MS2; CE:37.13953488372093; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1016/j.phytol.2017.04.009
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Laetiporin B
CH$FORMULA: C34H52O7
CH$EXACT_MASS: 572.3713
CH$SMILES: C
CH$IUPAC: InChI=1S/C34H52O7/c1-19(2)20(3)9-10-21(30(39)40)24-17-27(41-29(38)18-28(36)37)34(8)23-11-12-25-31(4,5)26(35)14-15-32(25,6)22(23)13-16-33(24,34)7/h19,21,24-27,35H,3,9-18H2,1-2,4-8H3,(H,36,37)(H,39,40)/t21-,24+,25-,26-,27-,32+,33+,34+/m0/s1
CH$LINK: INCHIKEY MDPWBYGDZIOSBE-PWUJMTERSA-N
SP$SCIENTIFIC_NAME: Laetiporus sp.
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 37.13953488372093
AC$MASS_SPECTROMETRY: CCS 216.5316162109375
MS$FOCUSED_ION: BASE_PEAK 555.36802
MS$FOCUSED_ION: PRECURSOR_M/Z 555.36802
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0udj-0792200000-04189edc3eb381e70143
PK$NUM_PEAK: 394
PK$PEAK: m/z int. rel.int.
  105.06880 0.00898491 9
  107.08561 0.0136171 14
  108.08949 0.0104624 10
  109.10188 0.0321859 32
  111.11569 0.00579027 6
  117.06760 0.0066688 7
  118.07738 0.00587014 6
  119.04821 0.00539094 5
  119.08604 0.186127 186
  119.09697 0.0127785 13
  120.08994 0.0314272 31
  121.10164 0.126707 127
  122.10476 0.00862551 9
  123.11753 0.0772702 77
  123.12396 0.0061896 6
  124.11864 0.012499 12
  124.12372 0.0165322 17
  125.10532 0.00575034 6
  125.13157 0.00662886 7
  128.05965 0.0106621 11
  129.06928 0.0102628 10
  130.07845 0.0138567 14
  131.08524 0.0509145 51
  133.10147 0.223225 223
  134.10230 0.0189282 19
  134.10741 0.0189282 19
  135.08023 0.00786678 8
  135.11694 0.134175 134
  136.11907 0.00798658 8
  136.12577 0.00850571 8
  137.09657 0.0067886 7
  137.13311 0.020805 21
  139.07383 0.0130581 13
  141.09045 0.00543088 5
  142.07742 0.0122594 12
  143.08522 0.0340628 34
  144.09306 0.00890504 9
  145.10064 0.169316 169
  145.10707 0.073836 74
  146.10356 0.0256769 26
  147.07969 0.0167718 17
  147.11713 0.334358 334
  147.12277 0.222945 223
  148.12077 0.0553869 55
  149.13183 0.0840987 84
  151.07531 0.0451242 45
  151.07987 0.0451242 45
  151.14848 0.0238 24
  152.15359 0.00547081 5
  153.06400 0.0091047 9
  153.07130 0.0118601 12
  153.09035 0.0391742 39
  154.07558 0.00571041 6
  155.08669 0.0210846 21
  155.10577 0.0117802 12
  156.08940 0.0152144 15
  157.10067 0.147313 147
  158.10640 0.0235604 24
  158.11289 0.00527114 5
  159.07978 0.0113409 11
  159.11661 0.215957 216
  159.51215 0.00595 6
  160.11559 0.0134175 13
  160.12438 0.039853 40
  161.09625 0.0261561 26
  161.13253 0.307044 307
  162.13643 0.0556265 56
  163.07667 0.0167718 17
  163.08163 0.0164524 16
  163.11043 0.0112611 11
  163.12294 0.00694833 7
  163.14746 0.0622155 62
  164.07717 0.00610974 6
  164.15122 0.0131779 13
  165.09072 0.0406916 41
  167.07104 0.00794665 8
  167.08780 0.0106621 11
  167.10777 0.0384554 38
  168.11044 0.0123792 12
  169.09982 0.0411309 41
  170.10431 0.0163725 16
  170.10920 0.0163725 16
  171.11710 0.119359 119
  172.12050 0.0258765 26
  173.09978 0.0264356 26
  173.13241 0.112771 113
  174.13473 0.0237202 24
  175.11238 0.022602 23
  175.12026 0.00507148 5
  175.14795 0.153422 153
  176.15262 0.00750739 7
  177.09033 0.0908873 91
  177.16439 0.028552 29
  178.09720 0.0145755 15
  178.16790 0.00519128 5
  179.10677 0.0685249 68
  180.10455 0.0066688 7
  181.10212 0.00686846 7
  181.12093 0.0131779 13
  183.11814 0.0642521 64
  184.11516 0.0100232 10
  184.12153 0.00551074 6
  185.13257 0.1188 119
  186.13538 0.0146953 15
  186.13891 0.0146953 15
  187.11173 0.0164923 16
  187.14834 0.12511 125
  188.15463 0.0240795 24
  189.09009 0.0151346 15
  189.12637 0.014895 15
  189.16343 0.159133 159
  190.16655 0.0317866 32
  191.10659 0.140963 141
  191.17785 0.0840987 84
  192.18142 0.0183691 18
  193.12427 0.0464819 46
  195.11742 0.00587014 6
  196.12345 0.0190879 19
  197.13214 0.0753534 75
  198.13799 0.0367782 37
  199.13973 0.0426484 43
  199.14861 0.125749 126
  200.15235 0.0176503 18
  200.15971 0.0130181 13
  201.12674 0.0112611 11
  201.16432 0.341147 341
  202.16725 0.0700024 70
  203.10707 0.0256369 26
  203.14184 0.0124191 12
  203.17971 1 999
  204.10824 0.00519128 5
  204.16635 0.00535101 5
  204.18266 0.17263 172
  205.12204 0.0427282 43
  205.15768 0.0092245 9
  205.19421 0.0662487 66
  206.14018 0.00571041 6
  206.19858 0.0123792 12
  207.13880 0.0148151 15
  209.11733 0.018449 18
  209.13358 0.0443255 44
  211.14872 0.122275 122
  212.14372 0.0102628 10
  212.15649 0.0316269 32
  213.12730 0.0140564 14
  213.16329 0.116964 117
  214.16887 0.0432074 43
  215.10495 0.00519128 5
  215.14121 0.0180896 18
  215.17967 0.155139 155
  215.19156 0.00758725 8
  216.18370 0.0216836 22
  217.12101 0.020246 20
  217.16131 0.0203259 20
  217.19425 0.0942816 94
  218.12313 0.00850571 8
  218.19678 0.0116205 12
  218.20467 0.0066688 7
  219.13678 0.0330245 33
  219.17652 0.0124591 12
  219.20921 0.0165322 17
  221.15646 0.0157735 16
  223.14759 0.0378564 38
  224.14911 0.00838591 8
  225.16490 0.0905678 90
  226.16331 0.012499 12
  226.16721 0.012499 12
  227.14068 0.0209248 21
  227.14895 0.0126188 13
  227.17960 0.0626947 63
  228.18683 0.0201661 20
  229.12233 0.0260363 26
  229.15976 0.0249181 25
  229.16760 0.0139366 14
  229.19563 0.0902484 90
  230.12369 0.00874531 9
  230.19687 0.011301 11
  231.13846 0.0245188 24
  231.17492 0.0228416 23
  231.21146 0.022043 22
  232.14138 0.00722786 7
  233.15440 0.0430077 43
  234.16248 0.010742 11
  235.17163 0.0226819 23
  237.16223 0.0292708 29
  237.18333 0.00507148 5
  239.14180 0.0093443 9
  239.17912 0.0737162 74
  240.18229 0.0243591 24
  241.12582 0.0129383 13
  241.15836 0.0138168 14
  241.19478 0.191079 191
  242.19623 0.0222027 22
  243.13839 0.0265554 27
  243.17400 0.0293507 29
  243.21206 0.0123792 12
  245.15309 0.0445651 45
  245.18987 0.00926444 9
  247.14833 0.00539094 5
  247.16929 0.141762 142
  247.18238 0.00734766 7
  248.17372 0.0428879 43
  249.17878 0.0104624 10
  249.18618 0.00626947 6
  250.16742 0.00838591 8
  251.16450 0.041091 41
  251.17942 0.0407715 41
  252.16334 0.0127386 13
  252.18521 0.0237202 24
  253.15873 0.0130181 13
  253.19465 0.0840188 84
  254.15405 0.00986343 10
  254.16154 0.00511141 5
  254.19932 0.0252775 25
  255.13981 0.0176503 18
  255.21044 0.0474802 47
  256.21765 0.0184091 18
  257.15277 0.0493571 49
  257.22499 0.0181695 18
  258.15678 0.0140165 14
  259.16846 0.08929 89
  260.17118 0.0117403 12
  261.18411 0.0744749 74
  262.18919 0.0156537 16
  263.16243 0.00583021 6
  265.17914 0.027394 27
  265.19418 0.0149349 15
  266.17858 0.00614967 6
  267.17035 0.00774699 8
  267.21304 0.0196869 20
  268.21316 0.00826611 8
  268.22051 0.0105822 11
  269.15171 0.0174507 17
  269.22547 0.0471608 47
  269.24405 0.00591007 6
  270.16076 0.00862551 9
  270.22899 0.0196071 20
  271.16772 0.066089 66
  271.24348 0.015454 15
  272.17122 0.0144956 14
  273.18297 0.0419695 42
  273.18801 0.0419695 42
  275.19604 0.00690839 7
  277.18016 0.00778692 8
  277.19655 0.0194873 19
  278.20484 0.00874531 9
  279.17454 0.00782685 8
  279.20983 0.0205655 21
  281.18738 0.0131379 13
  281.22705 0.0243191 24
  282.23027 0.006549 7
  283.17094 0.0269148 27
  283.20519 0.0064292 6
  283.22710 0.00535101 5
  283.24284 0.02979 30
  285.18383 0.0214839 21
  286.25987 0.00519128 5
  287.20106 0.0304289 30
  291.21099 0.0122594 12
  293.18218 0.00527114 5
  293.22504 0.0550276 55
  294.23119 0.0674467 67
  295.20780 0.00874531 9
  295.24232 0.891223 890
  296.24710 0.290312 290
  297.18369 0.0207651 21
  297.21956 0.0111812 11
  297.25557 0.0608977 61
  298.18773 0.0128584 13
  298.26260 0.00974363 10
  299.18797 0.0126188 13
  299.20037 0.0266353 27
  301.21767 0.0203259 20
  307.24276 0.0393739 39
  308.25531 0.00818625 8
  309.25742 0.0330245 33
  310.18821 0.00507148 5
  310.26024 0.0126587 13
  311.20092 0.0329447 33
  311.23707 0.0130181 13
  311.26973 0.00726779 7
  312.23849 0.00730772 7
  313.21643 0.0489178 49
  313.22782 0.0152144 15
  313.25297 0.0181695 18
  314.25314 0.0123792 12
  315.23284 0.0271144 27
  315.25574 0.00519128 5
  316.23669 0.0113409 11
  316.24491 0.0131379 13
  317.22687 0.00978356 10
  319.24225 0.0100232 10
  321.25781 0.0244389 24
  322.25915 0.0171312 17
  323.27398 0.0366185 37
  324.23822 0.00726779 7
  324.27903 0.00746745 7
  325.21548 0.00670873 7
  327.23414 0.0095839 10
  327.26321 0.00602987 6
  328.23484 0.0117403 12
  329.25190 0.0210047 21
  330.24770 0.00595 6
  330.25925 0.0111812 11
  335.23969 0.0170514 17
  335.26950 0.0253973 25
  335.27687 0.0253973 25
  336.23465 0.0130581 13
  336.24326 0.00706813 7
  336.27253 0.00874531 9
  337.25086 0.0568645 57
  338.25584 0.00854564 9
  339.23244 0.0243591 24
  340.23621 0.00634933 6
  341.24738 0.0480792 48
  342.25106 0.0109017 11
  347.26091 0.010103 10
  349.25338 0.0323057 32
  349.28695 0.013098 13
  350.24969 0.00551074 6
  351.26991 0.0115406 12
  353.24642 0.0834997 83
  354.25212 0.0375769 38
  355.26160 0.233088 233
  355.27776 0.0092245 9
  356.26758 0.0688443 69
  359.26647 0.0120198 12
  362.29415 0.00587014 6
  363.26595 0.00758725 8
  363.30113 0.0231611 23
  367.26258 0.191798 192
  368.26559 0.0496765 50
  369.27773 0.0568245 57
  370.28141 0.0342624 34
  370.29584 0.00894497 9
  371.25689 0.00694833 7
  371.28648 0.00718792 7
  373.27126 0.0220829 22
  375.27864 0.00830605 8
  377.28531 0.00998323 10
  379.29798 0.00786678 8
  379.32952 0.00507148 5
  381.27989 0.0511541 51
  382.28665 0.0227218 23
  385.27380 0.0215238 22
  387.29022 0.00638927 6
  387.30513 0.00511141 5
  390.32370 0.00515135 5
  391.29180 0.00926444 9
  391.30314 0.00547081 5
  392.30092 0.00515135 5
  392.33353 0.0093443 9
  393.27703 0.0280329 28
  394.28809 0.00507148 5
  395.29409 0.0450843 45
  396.30146 0.0149349 15
  399.29052 0.00762719 8
  401.30061 0.00722786 7
  405.35185 0.0815829 82
  406.35477 0.0311077 31
  407.29816 0.00950403 9
