ACCESSION: MycoMSB-HZI-003187
RECORD_TITLE: Nebucane E; timsTOF; MS2; CE:31.046511627906977; [M+H-2H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1021/acs.jnatprod.2c00554
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Nebucane E
CH$FORMULA: C15H20O4
CH$EXACT_MASS: 264.1362
CH$SMILES: C[C@H]1[C@H]2CC(C[C@]2(C3=C(C1=O)OC=C3CO)O)(C)C
CH$IUPAC: InChI=1S/C15H20O4/c1-8-10-4-14(2,3)7-15(10,18)11-9(5-16)6-19-13(11)12(8)17/h6,8,10,16,18H,4-5,7H2,1-3H3/t8-,10+,15-/m0/s1
CH$LINK: INCHIKEY YADFASCXCUPBMT-FLBPPNCPSA-N
SP$SCIENTIFIC_NAME: Clitocybe nebularis
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 31.046511627906977
AC$MASS_SPECTROMETRY: CCS 131.0227813720703
MS$FOCUSED_ION: BASE_PEAK 229.12231
MS$FOCUSED_ION: PRECURSOR_M/Z 229.12231
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-2H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-06r2-0930000000-5925fe9d62b5e58d4dc3
PK$NUM_PEAK: 115
PK$PEAK: m/z int. rel.int.
  118.07245 0.141791 142
  121.06564 0.249254 249
  128.06029 0.344776 344
  141.06835 0.373134 373
  141.07393 0.158209 158
  143.08501 0.356716 356
  143.09132 0.168657 168
  145.09905 0.425373 425
  147.08748 0.165672 166
  148.72539 0.0134328 13
  151.26947 0.0134328 13
  154.07774 0.129851 130
  159.07455 0.543284 543
  159.08047 0.353731 353
  165.07835 0.195522 195
  168.09660 0.0940299 94
  168.93319 0.0283582 28
  169.98389 0.0134328 13
  170.03284 0.0134328 13
  171.08285 0.143284 143
  172.09095 0.186567 186
  173.09378 0.471642 471
  173.52622 0.0134328 13
  174.10365 0.213433 213
  174.12842 0.120896 121
  180.17416 0.0134328 13
  183.11627 0.262687 262
  184.08365 0.250746 250
  184.09002 0.0865672 86
  185.09737 0.249254 249
  186.10176 0.331343 331
  192.75751 0.0134328 13
  195.07950 0.183582 183
  195.09479 0.0298507 30
  196.09126 0.353731 353
  199.07510 0.998507 998
  199.08924 0.0164179 16
  199.13339 0.0447761 45
  200.08367 0.347761 347
  201.13270 0.295522 295
  201.57552 0.0402985 40
  202.39583 0.0134328 13
  203.64394 0.0134328 13
  206.36733 0.0134328 13
  206.78999 0.0134328 13
  214.09845 1 999
  214.10552 0.201493 201
  214.17419 0.0283582 28
  215.10231 0.158209 158
  229.12109 0.620896 620
  230.12544 0.292537 292
  240.53656 0.0149254 15
  249.29994 0.0134328 13
  250.31852 0.0134328 13
  252.31222 0.0134328 13
  295.92063 0.0134328 13
  303.76453 0.0134328 13
  317.03321 0.0134328 13
  334.19589 0.0134328 13
  367.51767 0.0134328 13
  369.59872 0.0134328 13
  379.68354 0.0134328 13
  383.92587 0.0134328 13
  397.63912 0.0134328 13
  405.42805 0.0134328 13
  429.25135 0.0134328 13
  429.32914 0.0134328 13
  482.09273 0.0134328 13
  485.76772 0.0134328 13
  517.30167 0.0134328 13
  542.71279 0.0134328 13
  544.85758 0.0134328 13
  578.13862 0.0134328 13
  597.32620 0.0134328 13
  614.11061 0.0134328 13
  655.34207 0.0134328 13
  678.23919 0.0134328 13
  706.35198 0.0134328 13
  716.64936 0.0134328 13
  723.65106 0.0134328 13
  799.94504 0.0134328 13
  876.02957 0.0134328 13
  879.86721 0.0134328 13
  904.46112 0.0134328 13
  915.95709 0.0134328 13
  918.97045 0.0134328 13
  923.16705 0.0134328 13
  963.13287 0.0134328 13
  975.40500 0.0134328 13
  977.21829 0.0134328 13
  981.04098 0.0134328 13
  1038.79785 0.0134328 13
  1067.16099 0.0134328 13
  1139.56046 0.0149254 15
  1266.40377 0.0134328 13
  1271.26240 0.0134328 13
  1292.88138 0.0149254 15
  1318.70118 0.0134328 13
  1344.73035 0.0134328 13
  1360.56226 0.0134328 13
  1407.20524 0.0134328 13
  1413.77893 0.0134328 13
  1439.18819 0.0149254 15
  1469.23328 0.0134328 13
  1535.23488 0.0134328 13
  1565.90869 0.0134328 13
  1600.03786 0.0134328 13
  1618.51135 0.0134328 13
  1628.79777 0.0134328 13
  1681.71917 0.0134328 13
  1682.15540 0.0134328 13
  1713.60875 0.0134328 13
  1716.35533 0.0134328 13
  1765.88078 0.0134328 13
  1775.27982 0.0134328 13
//
