ACCESSION: MycoMSB-HZI-003188
RECORD_TITLE: Nebucane E; timsTOF; MS2; CE:31.488372093023255; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1021/acs.jnatprod.2c00554
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Nebucane E
CH$FORMULA: C15H20O4
CH$EXACT_MASS: 264.1362
CH$SMILES: C[C@H]1[C@H]2CC(C[C@]2(C3=C(C1=O)OC=C3CO)O)(C)C
CH$IUPAC: InChI=1S/C15H20O4/c1-8-10-4-14(2,3)7-15(10,18)11-9(5-16)6-19-13(11)12(8)17/h6,8,10,16,18H,4-5,7H2,1-3H3/t8-,10+,15-/m0/s1
CH$LINK: INCHIKEY YADFASCXCUPBMT-FLBPPNCPSA-N
SP$SCIENTIFIC_NAME: Clitocybe nebularis
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 31.488372093023255
AC$MASS_SPECTROMETRY: CCS 139.6329345703125
MS$FOCUSED_ION: BASE_PEAK 265.14344
MS$FOCUSED_ION: PRECURSOR_M/Z 265.14344
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0wvi-0940000000-082c329b0fc9d75d7b4e
PK$NUM_PEAK: 141
PK$PEAK: m/z int. rel.int.
  105.03789 0.0107588 11
  115.05464 0.0804077 80
  116.05888 0.110419 110
  119.51134 0.0101925 10
  121.06392 0.138165 138
  121.10071 0.0917327 92
  122.10741 0.0118913 12
  125.06002 0.0707814 71
  125.22625 0.0124575 12
  127.05331 0.0402039 40
  128.06029 0.12231 122
  129.06413 0.13137 131
  129.06946 0.0719139 72
  130.07725 0.083239 83
  131.08684 0.0917327 92
  133.06291 0.0758777 76
  135.08224 0.0588901 59
  135.08951 0.0294451 29
  141.06790 0.173839 174
  141.07393 0.0639864 64
  142.08083 0.0543601 54
  142.67623 0.0107588 11
  143.08524 0.240657 240
  143.09132 0.0866365 87
  144.09286 0.129105 129
  145.06314 0.271801 272
  145.09929 0.171574 171
  146.06725 0.113817 114
  147.07989 0.0736127 74
  147.11594 0.0571914 57
  149.02312 0.0453001 45
  149.06705 0.0668177 67
  151.03870 0.0673839 67
  153.07029 0.11325 113
  154.07580 0.0566251 57
  155.08461 0.148924 149
  155.09683 0.0424689 42
  156.09778 0.0390713 39
  157.09409 0.0617214 62
  157.10214 0.159683 160
  158.07194 0.0707814 71
  158.10852 0.114383 114
  159.08062 0.228199 228
  159.11598 0.0894677 89
  161.06117 0.292186 292
  161.09721 0.0498301 50
  161.73515 0.0277463 28
  163.07272 0.0939977 94
  163.09669 0.0413364 41
  164.31753 0.0198188 20
  166.07266 0.0311438 31
  167.08613 0.0549264 55
  168.09323 0.274066 274
  169.09791 0.0662514 66
  169.10605 0.0849377 85
  170.07160 0.0419026 42
  170.10832 0.0520951 52
  171.08089 0.271801 272
  171.11713 0.148358 148
  172.08736 0.263307 263
  172.11763 0.0413364 41
  173.06086 0.0396376 40
  173.08975 0.177803 178
  173.09650 0.191959 192
  173.13169 0.682899 682
  173.13906 0.0537939 54
  174.07063 0.0719139 72
  174.10159 0.112684 113
  174.10778 0.0577576 58
  174.13646 0.165345 165
  175.07506 0.0713477 71
  175.11161 0.133635 134
  176.82209 0.0141563 14
  183.11631 0.233296 233
  184.08789 0.0651189 65
  185.06119 0.0436014 44
  185.09860 0.125708 126
  186.10700 0.410532 410
  187.07967 0.0305776 31
  187.11117 0.138165 138
  188.11232 0.0334088 33
  189.08974 0.115515 115
  190.13007 0.0164213 16
  191.06932 0.199887 200
  191.07516 0.198188 198
  192.06319 0.0453001 45
  196.08788 0.145527 145
  197.09684 0.0651189 65
  199.07445 0.136467 136
  199.11352 0.0317101 32
  200.11816 0.107588 107
  201.08636 0.133069 133
  201.12900 1 999
  202.13110 0.0673839 67
  206.95423 0.0305776 31
  210.08710 0.00509626 5
  211.11024 0.159683 160
  212.11889 0.0492639 49
  214.09833 0.566818 566
  216.11521 0.0436014 44
  217.12211 0.361268 361
  218.12566 0.161948 162
  219.13144 0.222537 222
  219.13777 0.222537 222
  220.14186 0.0560589 56
  226.49982 0.00509626 5
  229.12092 0.87316 872
  229.13464 0.0571914 57
  230.12624 0.417894 417
  247.13404 0.247452 247
  247.14025 0.247452 247
  265.14717 0.193658 193
  266.14239 0.0475651 48
  301.45979 0.00509626 5
  314.32350 0.00509626 5
  316.85777 0.00509626 5
  392.56801 0.00509626 5
  418.76738 0.00509626 5
  442.79940 0.00509626 5
  502.76542 0.00509626 5
  549.17452 0.00509626 5
  622.69931 0.00509626 5
  686.04634 0.00509626 5
  715.49409 0.00509626 5
  724.50972 0.00509626 5
  739.44001 0.00509626 5
  833.03221 0.00509626 5
  851.82798 0.00509626 5
  1030.59136 0.00509626 5
  1092.04136 0.00509626 5
  1160.31092 0.00509626 5
  1234.25794 0.00509626 5
  1248.34412 0.00509626 5
  1330.08617 0.00509626 5
  1344.68446 0.00509626 5
  1383.78550 0.00509626 5
  1420.04961 0.00509626 5
  1452.15352 0.00509626 5
  1501.49141 0.00509626 5
  1581.14789 0.00509626 5
  1696.40220 0.00509626 5
//
