ACCESSION: MycoMSB-HZI-003190
RECORD_TITLE: 14-Hydroxy-dihydropleurotinic acid; timsTOF; MS2; CE:32.86046511627907; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/molecules23102697
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: 14-Hydroxy-dihydropleurotinic acid
CH$FORMULA: C21H24O6
CH$EXACT_MASS: 372.1573
CH$SMILES: C
CH$IUPAC: InChI=1S/C21H24O6/c1-9-8-27-19-16-14(23)5-4-13(22)15(16)18(24)17-11(20(25)26)2-3-12-10(9)6-7-21(12,17)19/h4-5,9-12,17-19,24H,2-3,6-8H2,1H3,(H,25,26)/t9-,10-,11-,12+,17-,18-,19-,21-/m1/s1
CH$LINK: INCHIKEY SUXBYGIWCZZVIR-FJKCABEUSA-N
SP$SCIENTIFIC_NAME: Hohenbuehelia grisea
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 32.86046511627907
AC$MASS_SPECTROMETRY: CCS 158.625244140625
MS$FOCUSED_ION: BASE_PEAK 373.16456
MS$FOCUSED_ION: PRECURSOR_M/Z 373.16456
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-014i-0492000000-074c072ccb63f954fa9f
PK$NUM_PEAK: 335
PK$PEAK: m/z int. rel.int.
  115.05744 0.0273295 27
  117.06692 0.0122332 12
  117.07200 0.0114524 11
  119.08639 0.0323616 32
  120.09198 0.00668055 7
  121.03145 0.0091966 9
  121.10374 0.00815547 8
  122.10419 0.00685407 7
  123.04575 0.0476314 48
  124.04600 0.0103245 10
  124.12092 0.00780843 8
  130.07927 0.0128405 13
  131.04980 0.0091966 9
  132.05089 0.00867604 9
  133.06590 0.0154433 15
  133.10113 0.0405171 40
  135.04430 0.00789519 8
  135.11571 0.044161 44
  135.12429 0.00893632 9
  137.02192 0.00937012 9
  137.09884 0.00971716 10
  145.06675 0.00798195 8
  145.10125 0.0674996 67
  147.04359 0.0282839 28
  147.11618 0.0106715 11
  149.02439 0.0524033 52
  149.03401 0.0178726 18
  149.05774 0.00954364 10
  149.13066 0.0268957 27
  150.04479 0.0087628 9
  151.03859 0.0122332 12
  151.07739 0.00659379 7
  153.05451 0.00858928 9
  155.05227 0.010498 10
  157.10018 0.00511886 5
  159.11605 0.0637689 64
  161.02192 0.00954364 10
  161.05807 0.049974 50
  161.13268 0.0244664 24
  162.13937 0.00937012 9
  163.03739 0.0852854 85
  163.04689 0.0107583 11
  163.11681 0.00780843 8
  163.14872 0.0429464 43
  164.15330 0.010845 11
  165.01841 0.766007 765
  165.02825 0.00694083 7
  165.03629 0.00642027 6
  165.05686 0.0167448 17
  165.05984 0.0167448 17
  166.02253 0.0741801 74
  166.02772 0.0741801 74
  167.03402 0.154347 154
  167.04236 0.0196078 20
  168.03722 0.0208225 21
  171.12187 0.00694083 7
  172.05416 0.0111053 11
  173.02108 0.0262884 26
  173.02542 0.0262884 26
  173.05758 0.0707965 71
  173.09598 0.00694083 7
  174.03060 0.0174388 17
  174.06458 0.0120597 12
  175.03972 0.121465 121
  175.07389 0.0144022 14
  176.04154 0.0252473 25
  177.05464 0.252299 252
  177.09066 0.00702759 7
  178.05750 0.0360056 36
  178.06409 0.00858928 9
  179.08625 0.00763491 8
  181.06144 0.00772167 8
  181.09841 0.0172653 17
  182.10270 0.00928336 9
  185.05913 0.0410377 41
  185.09540 0.00824223 8
  186.06496 0.00850252 8
  187.07381 0.020649 21
  188.08031 0.0117126 12
  188.11464 0.010845 11
  189.04474 0.0896235 90
  189.05381 0.411938 412
  189.06304 0.050321 50
  189.08856 0.0186535 19
  189.12433 0.00668055 7
  189.69481 0.00555266 6
  190.05837 0.0235988 24
  191.03451 0.256203 256
  191.07005 0.0144022 14
  192.03802 0.0537047 54
  192.04106 0.0537047 54
  193.05750 0.0114524 11
  193.06620 0.00624675 6
  193.10315 0.00598647 6
  197.06179 0.0560472 56
  197.09484 0.0183932 18
  198.06447 0.00746139 7
  199.07399 0.068801 69
  199.08190 0.0409509 41
  200.04626 0.0104112 10
  201.05388 0.190699 191
  201.06209 0.0475447 47
  201.09377 0.0254208 25
  202.05598 0.0209092 21
  202.08462 0.00980392 10
  203.03745 0.00806871 8
  203.07255 0.0222974 22
  203.08075 0.0240326 24
  203.10655 0.0106715 11
  204.07520 0.00884956 9
  205.04926 0.0627277 63
  205.08199 0.0152698 15
  205.09991 0.0100642 10
  206.10473 0.00589971 6
  207.08049 0.00937012 9
  207.11522 0.018827 19
  208.06983 0.00720111 7
  208.12173 0.00685407 7
  209.05475 0.0171786 17
  209.06154 0.00694083 7
  209.09773 0.00746139 7
  210.06903 0.0321881 32
  211.03839 0.00694083 7
  211.07705 0.0744404 74
  212.07981 0.0196946 20
  212.11230 0.0131008 13
  212.99942 0.0096304 10
  213.05237 0.05249 52
  213.08864 0.0370467 37
  214.05542 0.0208225 21
  214.06229 0.014489 14
  214.09762 0.0170918 17
  215.07047 0.328562 328
  215.10945 0.0137081 14
  216.07350 0.035485 35
  216.11777 0.00615999 6
  217.04967 0.0288912 29
  217.08560 0.0832032 83
  217.09067 0.0832032 83
  218.08604 0.0137949 14
  219.06889 0.00668055 7
  219.08132 0.0176124 18
  220.09340 0.00780843 8
  221.09709 0.0578692 58
  221.10634 0.00971716 10
  222.09830 0.00607323 6
  223.07610 0.107756 108
  224.08051 0.0344439 34
  225.05652 0.0450286 45
  225.09013 0.0612528 61
  225.09923 0.0105848 11
  226.05540 0.022818 23
  226.06431 0.0303661 30
  226.09621 0.0143155 14
  227.07029 0.16068 161
  227.08667 0.00841576 8
  228.06832 0.00668055 7
  229.04734 0.00563942 6
  229.08557 0.153045 153
  229.09706 0.00980392 10
  230.06168 0.0152698 15
  230.06880 0.00893632 9
  230.09015 0.0154433 15
  230.10439 0.00754815 8
  231.06649 0.0264619 26
  231.07972 0.0255075 25
  231.10204 0.00615999 6
  232.08374 0.0167448 17
  232.10899 0.00702759 7
  232.12806 0.00815547 8
  233.08348 0.0183932 18
  233.09116 0.0182197 18
  233.09903 0.00737463 7
  233.12769 0.0145757 15
  234.10075 0.00737463 7
  235.07581 0.0589103 59
  235.10942 0.008329 8
  236.07218 0.00711435 7
  236.11785 0.00806871 8
  237.05618 0.00772167 8
  237.08026 0.0136214 14
  237.08978 0.0269825 27
  237.09712 0.00893632 9
  238.05911 0.00624675 6
  238.09926 0.0423391 42
  239.06939 0.220718 220
  239.10612 0.115218 115
  240.07164 0.049974 50
  240.11223 0.0536179 54
  241.08695 0.066979 67
  241.12240 0.110619 111
  242.08633 0.0185667 19
  242.12444 0.0531841 53
  243.06585 0.0195211 20
  243.07873 0.00720111 7
  243.10232 0.047805 48
  243.14214 0.00824223 8
  244.07476 0.00581294 6
  244.10653 0.00928336 9
  245.08108 0.325872 326
  245.09732 0.0149228 15
  246.08472 0.0820753 82
  246.10484 0.0091966 9
  246.11711 0.00615999 6
  246.13272 0.0182197 18
  248.07433 0.01848 18
  248.08262 0.0196078 20
  248.09404 0.00529238 5
  249.05585 0.00642027 6
  249.09097 0.223148 223
  249.12991 0.00754815 8
