ACCESSION: MycoMSB-HZI-003210
RECORD_TITLE: Beauverolide 483; timsTOF; MS2; CE:30.0; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3897/imafungus.16.172651
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Beauverolide 483
CH$FORMULA: C24H41N3O7
CH$EXACT_MASS: 483.2945
CH$SMILES: C
CH$IUPAC: InChI=1S/CH4/h1H4
CH$LINK: INCHIKEY N/A
SP$SCIENTIFIC_NAME: Cordyceps javanica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30.0
AC$MASS_SPECTROMETRY: CCS 228.97189331054688
MS$FOCUSED_ION: BASE_PEAK 484.30173
MS$FOCUSED_ION: PRECURSOR_M/Z 484.30173
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00dj-0977500000-63da6d51210ea7895199
PK$NUM_PEAK: 215
PK$PEAK: m/z int. rel.int.
  119.08381 0.0544706 54
  121.10227 0.0172 17
  123.11488 0.0260307 26
  126.05342 0.0627414 63
  131.08254 0.0544608 54
  133.09958 0.0780861 78
  135.11500 0.00774344 8
  137.13339 0.0264778 26
  140.03274 0.160589 160
  143.08424 0.0669539 67
  144.06509 0.209444 209
  145.09950 0.0960877 96
  147.08024 0.00684207 7
  147.11658 0.126453 126
  149.09453 0.00786752 8
  149.13158 0.0647749 65
  152.03323 0.10246 102
  152.06832 0.0631689 63
  156.06400 0.0348533 35
  157.09999 0.0165166 17
  159.11572 0.107757 108
  160.12267 0.0150799 15
  161.13124 0.193033 193
  162.13119 0.0303466 30
  163.14720 0.128597 128
  165.12648 0.021804 22
  168.06325 0.025826 26
  169.09928 0.040288 40
  170.04378 1 999
  170.07981 0.126851 127
  171.04856 0.0746935 75
  171.11494 0.0599291 60
  171.15116 0.00515004 5
  172.06185 0.0105354 11
  173.05642 0.0226302 23
  173.09341 0.00687969 7
  173.13262 0.131266 131
  174.13018 0.00979592 10
  175.14673 0.158487 158
  177.16275 0.333447 333
  182.07990 0.0515296 51
  184.09667 0.0782351 78
  185.13167 0.0857229 86
  186.07522 0.0331142 33
  186.13518 0.031591 32
  187.14936 0.0849542 85
  189.12793 0.0385717 39
  189.16118 0.0130202 13
  191.14512 0.0793773 79
  191.17773 0.130616 130
  196.06095 0.0885291 88
  196.09371 0.0515568 52
  197.12952 0.0247578 25
  199.14610 0.0900611 90
  200.09063 0.23346 233
  200.15355 0.00663887 7
  201.16516 0.03252 32
  203.14143 0.108287 108
  204.10586 0.0132804 13
  208.09579 0.0155956 16
  211.14722 0.0896189 90
  212.08958 0.0450533 45
  212.12705 0.0187369 19
  213.08972 0.0134379 13
  213.16156 0.0717146 72
  215.14206 0.011038 11
  215.17848 0.0611447 61
  218.11761 0.0186439 19
  222.11203 0.338308 338
  223.14656 0.0222818 22
  224.08927 0.0209546 21
  225.16343 0.0773732 77
  226.12480 0.0112914 11
  227.18021 0.157809 158
  228.18178 0.0193345 19
  230.11761 0.0100629 10
  234.11131 0.0362286 36
  236.12753 0.0422713 42
  238.10818 0.0106454 11
  238.14345 0.00994286 10
  239.14319 0.0071301 7
  239.17954 0.014522 15
  240.18202 0.0245982 25
  241.19612 0.185904 186
  242.19387 0.0206687 21
  246.14955 0.0211531 21
  248.12714 0.175372 175
  249.13170 0.0571009 57
  250.14668 0.0578624 58
  252.18380 0.00851447 9
  253.19685 0.0123788 12
  255.21018 0.0152009 15
  260.12826 0.0128197 13
  260.16462 0.0374553 37
  262.14041 0.0215384 22
  264.12240 0.0301066 30
  264.15969 0.077416 77
  266.13703 0.0479206 48
  267.20928 0.114923 115
  269.22569 0.094802 95
  270.22733 0.00506672 5
  271.23985 0.00982442 10
  272.12586 0.0160219 16
  274.14589 0.0405131 40
  276.12113 0.013873 14
  276.15389 0.0542983 54
  278.13735 0.0207476 21
  279.21136 0.0357445 36
  280.15310 0.0249707 25
  281.22632 0.0112707 11
  283.20650 0.00643075 6
  285.22274 0.199756 200
  286.14195 0.0311535 31
  286.22290 0.0275557 28
  288.15900 0.0491584 49
  290.14080 0.0520281 52
  290.17564 0.101888 102
  292.15373 0.0314889 31
  294.13289 0.0190411 19
  294.17313 0.0892379 89
  295.24340 0.0984551 98
  297.17900 0.0368959 37
  297.22191 0.0803916 80
  297.25683 0.0532727 53
  298.17696 0.0438575 44
  299.23137 0.020617 21
  300.15854 0.0196346 20
  302.17545 0.0521754 52
  303.17742 0.00518481 5
  304.15627 0.0981768 98
  304.19653 0.0110472 11
  305.22916 0.0345341 34
  306.16996 0.035324 35
  308.15152 0.0313786 31
  310.14728 0.00924958 9
  312.16203 0.00607515 6
  313.25267 0.101099 101
  314.17336 0.0146086 15
  314.25305 0.0140388 14
  316.18981 0.0884992 88
  316.27185 0.0083093 8
  318.17228 0.0207841 21
  318.20712 0.324168 324
  319.21051 0.0171004 17
  323.23650 0.186698 187
  324.19405 0.0263361 26
  328.18107 0.0184869 18
  328.19223 0.223659 223
  328.22771 0.00789732 8
  329.19234 0.0678333 68
  330.17099 0.0199603 20
  330.20239 0.00528943 5
  332.19553 0.0127498 13
  332.22071 0.0127983 13
  334.20233 0.0388313 39
  336.19405 0.00538743 5
  338.17642 0.0123356 12
  340.19007 0.0479833 48
  341.24737 0.0183038 18
  342.20537 0.0349164 35
  343.21329 0.0102429 10
  344.18578 0.0100797 10
  344.22208 0.153434 153
  345.19014 0.00855182 9
  346.19719 0.995837 995
  347.20507 0.187663 187
  348.20309 0.00884822 9
  352.18829 0.0467502 47
  354.20614 0.145543 145
  355.21188 0.0263057 26
  356.18527 0.0175779 18
  356.22164 0.0513944 51
  358.23701 0.0260193 26
  360.21440 0.0221745 22
  364.19382 0.0130462 13
  366.20677 0.0581844 58
  367.20790 0.0155608 16
  368.22168 0.0783943 78
  369.23048 0.0144705 14
  370.23812 0.0488353 49
  372.21750 0.117439 117
  378.20989 0.0180328 18
  380.22525 0.00937264 9
  382.23735 0.037456 37
  384.21757 0.0289379 29
  386.22916 0.0198577 20
  392.21942 0.00785997 8
  392.25793 0.0163126 16
  396.21398 0.0252167 25
  396.25886 0.0252005 25
  398.23119 0.0163279 16
  400.24783 0.0210114 21
  408.25426 0.0139618 14
