ACCESSION: MycoMSB-HZI-003221
RECORD_TITLE: Leucinostatin U; timsTOF; MS2; CE:36.27906976744186; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/antibiotics9030132
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Leucinostatin U
CH$FORMULA: C58H105N10O13
CH$EXACT_MASS: 1149.7863
CH$SMILES: C
CH$IUPAC: InChI=1S/C58H104N10O13/c1-20-36(7)24-25-44(72)67-26-22-23-43(67)49(76)60-42(31-37(8)30-40(71)32-39(70)21-2)47(74)62-45(46(73)35(5)6)50(77)64-58(16,17)54(81)66-56(12,13)52(79)61-41(29-34(3)4)48(75)63-57(14,15)53(80)65-55(10,11)51(78)59-38(9)33-68(18,19)27-28-69/h24-25,34-38,40-43,45-46,69,71,73H,20-23,26-33H2,1-19H3,(H7-,59,60,61,62,63,64,65,66,74,75,76,77,78,79,80,81)/p+1/b25-24+/t36-,37+,38?,40-,41-,42-,43?,45-,46+/m0/s1
CH$LINK: INCHIKEY BNFJBHCORXYILM-JJSZLYBCSA-O
SP$SCIENTIFIC_NAME: Ijuhya vitellina
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 36.27906976744186
AC$MASS_SPECTROMETRY: CCS 400.7521667480469
MS$FOCUSED_ION: BASE_PEAK 575.90041
MS$FOCUSED_ION: PRECURSOR_M/Z 575.90041
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-053r-0764964130-0d31084a690da88a78ef
PK$NUM_PEAK: 179
PK$PEAK: m/z int. rel.int.
  111.08158 0.0221893 22
  111.08792 0.0118364 12
  123.11597 0.00965097 10
  143.11797 0.0327176 33
  168.13867 0.00668389 7
  169.12329 0.0106559 11
  171.11219 0.0252361 25
  171.14977 0.0250606 25
  172.14870 0.00677961 7
  180.13868 1 999
  180.15524 0.0178503 18
  180.52896 0.00502489 5
  181.14133 0.072805 73
  182.14466 0.00869385 9
  187.14425 0.0144366 14
  199.14461 0.0344883 34
  208.13328 0.72545 725
  208.15154 0.00899694 9
  209.13640 0.0815467 81
  210.14080 0.00977859 10
  215.13928 0.0293677 29
  225.15965 0.0240237 24
  228.17090 0.119481 119
  229.17137 0.0139421 14
  232.20203 0.0113259 11
  235.14336 0.00513655 5
  256.20019 0.00513655 5
  282.17733 0.00977859 10
  284.19584 0.114918 115
  285.20002 0.0150587 15
  300.19158 0.142308 142
  301.18794 0.0228273 23
  301.19592 0.0257306 26
  312.19595 0.00721031 7
  317.25117 0.00665199 7
  317.25754 0.00665199 7
  320.19673 0.00577463 6
  325.21192 0.0179779 18
  341.25350 0.316105 316
  342.25650 0.0674451 67
  343.22251 0.0190786 19
  343.23159 0.0164146 16
  344.22712 0.00660413 7
  369.24985 0.0598041 60
  370.25300 0.0129052 13
  375.26244 0.00749745 7
  382.26970 0.00654033 7
  385.24290 0.0183927 18
  385.28107 0.00818338 8
  392.25067 0.0178663 18
  395.26200 0.0161115 16
  403.25757 0.048542 48
  404.26063 0.0197965 20
  405.24842 0.00716246 7
