ACCESSION: MycoMSB-HZI-003222
RECORD_TITLE: Farinosone D; timsTOF; MS2; CE:35.86046511627907; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3762/bjoc.21.23
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Farinosone D
CH$FORMULA: C25H29NO5
CH$EXACT_MASS: 423.2046
CH$SMILES: C
CH$IUPAC: InChI=1S/C25H29NO5/c1-4-16(2)15-17(3)9-7-5-6-8-10-20(28)21-24(30)22(26-25(21)31)23(29)18-11-13-19(27)14-12-18/h5-16,22-23,27-29H,4H2,1-3H3,(H,26,31)/b6-5+,9-7+,10-8+,17-15+,21-20+/t16?,22-,23-/m0/s1
CH$LINK: INCHIKEY ZYWUPCDHVYGPGI-YVAMNULUSA-N
SP$SCIENTIFIC_NAME: Samsoniella aurantia
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.86046511627907
AC$MASS_SPECTROMETRY: CCS 201.33694458007812
MS$FOCUSED_ION: BASE_PEAK 406.20128
MS$FOCUSED_ION: PRECURSOR_M/Z 406.20128
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-001i-0950000000-631ab4f385f70038f8fc
PK$NUM_PEAK: 187
PK$PEAK: m/z int. rel.int.
  106.06797 0.0154505 15
  107.04646 0.00800447 8
  119.04979 0.0451415 45
  119.05515 0.00809754 8
  119.08666 0.0231757 23
  119.09270 0.0100521 10
  120.09169 0.0227103 23
  121.10133 0.0376024 38
  122.05896 0.0116344 12
  122.06760 0.0120067 12
  123.05814 0.0164743 16
  123.11714 0.00753909 8
  123.12582 0.0158228 16
  124.04570 0.0094006 9
  129.03031 0.0107967 11
  129.07118 0.00893522 9
  131.08531 0.0233619 23
  132.05418 0.0142405 14
  133.05257 0.0225242 23
  133.06591 0.0483991 48
  133.10080 0.0356478 36
  134.05940 1 999
  134.07102 0.0328555 33
  134.10223 0.0143336 14
  135.00582 0.0106106 11
  135.04399 0.00809754 8
  135.05126 0.00912137 9
  135.06730 0.107036 107
  135.11560 0.0375093 37
  135.85228 0.00502606 5
  136.03648 0.0130305 13
  136.07488 0.152457 152
  137.02329 0.169211 169
  138.02133 0.0118206 12
  142.08076 0.0126582 13
  144.04552 0.08414 84
  145.09846 0.00837677 8
  146.05910 0.00632911 6
  146.10636 0.00995905 10
  147.04377 0.0125652 13
  147.07992 0.172096 172
  147.09309 0.0113552 11
  147.11502 0.0150782 15
  148.03937 0.00921445 9
  148.08314 0.0127513 13
  149.02392 0.189129 189
  149.03641 0.00809754 8
  149.07843 0.00967982 10
  150.02722 0.00967982 10
  151.03862 0.00772524 8
  152.06305 0.00893522 9
  157.03089 0.0213142 21
  159.08626 0.00781832 8
  161.09310 0.0180566 18
  161.09906 0.00930752 9
  161.13256 0.023455 23
  162.05492 0.421445 421
  162.12713 0.00772524 8
  162.13709 0.0141474 14
  163.05901 0.0336001 34
  164.04480 0.00781832 8
  173.02159 0.0336932 34
  173.06274 0.0130305 13
  173.13065 0.014799 15
  173.13683 0.0117275 12
  174.05395 0.0119136 12
  174.06956 0.0158228 16
  175.03583 0.0241996 24
  175.14711 0.0780901 78
  176.03032 0.0097729 10
  177.05495 0.0122859 12
  177.06744 0.0133098 13
  177.16320 0.00558451 6
  182.07282 0.00837677 8
  182.09182 0.00884214 9
  185.06101 0.00614296 6
  185.09506 0.00912137 9
  185.15040 0.0132167 13
  186.06588 0.0163812 16
  186.09022 0.011169 11
  187.03671 0.00846984 8
  188.06709 0.00865599 9
  188.11858 0.00586374 6
  189.09601 0.0094006 9
  189.53507 0.00521221 5
  190.05441 0.00893522 9
  192.07169 0.0108898 11
  195.07933 0.0117275 12
  197.05739 0.0285741 29
  198.13896 0.0139613 14
  200.04368 0.00586374 6
  200.09014 0.00986597 10
  202.05076 0.0981943 98
  203.05936 0.00893522 9
  203.07018 0.0228034 23
  203.10172 0.00707372 7
  203.14169 0.0533321 53
  204.06679 0.0214073 21
  204.14410 0.0107967 11
  209.09734 0.0165674 17
  210.07788 0.00623604 6
  210.09148 0.00949367 9
  210.12776 0.00725987 7
  211.07435 0.0100521 10
  211.10844 0.00874907 9
  212.03674 0.0125652 13
  212.06863 0.012379 12
  213.01954 0.101824 102
  213.12689 0.011169 11
  214.02528 0.00586374 6
  214.05274 0.00670141 7
  214.06189 0.0118206 12
  214.08936 0.00679449 7
  214.09851 0.00716679 7
  215.06087 0.0406739 41
  215.07002 0.10229 102
  215.08776 0.0153574 15
  216.06678 0.0136821 14
  216.07368 0.00744602 7
  217.08425 0.00539836 5
  222.13053 0.00502606 5
  224.07909 0.0129375 13
  225.12697 0.0109829 11
  227.09332 0.00660834 7
  227.14283 0.00735294 7
  228.06553 0.00865599 9
  228.14349 0.00828369 8
  229.06823 0.0156366 16
  229.08347 0.0378816 38
  229.12031 0.0112621 11
  229.12978 0.00698064 7
  230.04415 0.737807 737
  230.07786 0.00958675 10
  231.04934 0.155529 155
  232.05138 0.00958675 10
  233.09622 0.00577066 6
  239.06615 0.0113552 11
  240.07817 0.00958675 10
  242.08020 0.0178704 18
  243.08804 0.00902829 9
  243.13926 0.00967982 10
  244.07432 0.00856292 9
  244.09631 0.00921445 9
  253.12219 0.0312733 31
  253.13273 0.0113552 11
  255.05265 0.00809754 8
  256.05886 0.0269918 27
  258.07689 0.0213142 21
  261.12883 0.00707372 7
  266.11680 0.00893522 9
  267.06432 0.00949367 9
  268.09549 0.00791139 8
  270.18434 0.0151713 15
  271.09014 0.0120998 12
  271.13327 0.0461653 46
  271.15453 0.0120067 12
  272.16516 0.00670141 7
  276.13812 0.00967982 10
  288.10490 0.0094006 9
  288.13411 0.00781832 8
  295.11115 0.00967982 10
  299.08256 0.00995905 10
  301.08500 0.00660834 7
  303.12409 0.0170328 17
  303.13226 0.0097729 10
  303.16494 0.0109829 11
  304.09165 0.00921445 9
  308.10361 0.00893522 9
  308.12832 0.00604989 6
  312.07831 0.00837677 8
  316.09794 0.0128444 13
  318.11089 0.0206627 21
  319.11139 0.0094006 9
  320.12931 0.0107967 11
  330.11624 0.00651526 7
  330.14750 0.00995905 10
  330.92956 0.00707372 7
  331.11818 0.0159159 16
  332.12738 0.0380678 38
  332.13885 0.0219657 22
  333.13109 0.0318317 32
  333.14708 0.00595681 6
  344.12810 0.0102383 10
  358.14103 0.0138682 14
  371.16682 0.00744602 7
  388.19141 0.00791139 8
  389.19211 0.0149851 15
//
