ACCESSION: MycoMSB-HZI-003239
RECORD_TITLE: Xanthoquinodin B13; timsTOF; MS2; CE:38.18604651162791; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3390/jof6040188
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Xanthoquinodin B13
CH$FORMULA: C33H28O12
CH$EXACT_MASS: 616.1581
CH$SMILES: C
CH$IUPAC: InChI=1S/C33H28O12/c1-12-8-16-22(18(36)9-12)27(40)25-26(39)15-6-7-32(25,30(16)44-13(2)34)11-14-10-19(37)23-28(41)24-17(35)4-5-20(38)33(24,31(42)43-3)45-29(23)21(14)15/h6-10,15,20,30,35-39H,4-5,11H2,1-3H3/t15-,20-,30-,32-,33+/m0/s1
CH$LINK: INCHIKEY MIXHWSDHAMCPPR-AXBVMLDUSA-N
SP$SCIENTIFIC_NAME: Jugulospora vestita
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 38.18604651162791
AC$MASS_SPECTROMETRY: CCS 243.0561065673828
MS$FOCUSED_ION: BASE_PEAK 617.16535
MS$FOCUSED_ION: PRECURSOR_M/Z 617.16535
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0bt9-0122980000-69c605616178cfaa94c8
PK$NUM_PEAK: 237
PK$PEAK: m/z int. rel.int.
  109.02890 0.026399 26
  121.02974 0.00978404 10
  123.04296 0.0111114 11
  135.04377 0.0130354 13
  137.02422 0.119437 119
  138.02706 0.0177634 18
  141.05446 0.0364664 36
  151.03935 0.00985861 10
  163.03923 0.0339757 34
  169.04952 0.218351 218
  170.05239 0.0250567 25
  179.03410 0.135694 136
  180.03812 0.0179573 18
  197.04552 0.0322008 32
  203.03701 0.00533946 5
  203.07249 0.00702482 7
  211.07657 0.0157052 16
  214.06232 0.0111264 11
  228.07650 0.00545878 5
  229.04877 0.00923219 9
  231.06665 0.0133337 13
  231.07352 0.0133337 13
  237.05231 0.00605536 6
  239.07008 0.0965577 96
  240.07596 0.00827765 8
  241.05060 0.0144374 14
  241.05847 0.0089339 9
  242.05434 0.014855 15
  242.06048 0.014855 15
  243.06521 0.0154665 15
  243.07407 0.0113202 11
  244.06893 0.00611502 6
  255.06531 0.0245943 25
  256.07227 0.018181 18
  257.08232 0.0147357 15
  259.06074 0.0244899 24
  260.06845 0.578093 578
  260.08788 0.00778547 8
  260.19547 0.00623434 6
  260.20076 0.00623434 6
  261.07146 0.0834477 83
  269.04369 0.0284274 28
  270.04808 0.00605536 6
  271.05653 0.00530963 5
  273.07559 0.00923219 9
  275.09185 0.00950066 9
  287.05577 0.0169431 17
  289.08485 0.00872509 9
  291.10191 0.011708 12
  297.04208 0.0059957 6
  298.08372 0.00668178 7
  301.07152 0.0398073 40
  302.06937 0.00624925 6
  302.07858 0.00516048 5
  303.08243 0.0056825 6
  306.09090 0.00524997 5
  307.09474 0.0113053 11
  314.09368 0.00571233 6
  315.09838 0.0116036 12
  316.10859 0.00505608 5
  317.08293 0.00969455 10
  317.11304 0.00787496 8
  318.08465 0.00548861 5
  319.08127 0.147969 148
  319.09703 0.0113202 11
  320.08548 0.0310971 31
  321.09474 0.00635366 6
  329.11784 0.00539912 5
  331.09560 0.0205674 21
  332.10496 0.0299934 30
  333.07700 0.00714414 7
  333.11136 0.135142 135
  334.08180 0.0086356 9
  334.11582 0.032693 33
  335.09200 0.00712922 7
  341.08186 0.0115141 12
  342.08912 0.018539 19
  343.09634 0.0733355 73
  344.06771 0.00607028 6
  344.09933 0.0165106 16
  345.07478 0.0318279 32
  346.08202 0.00902339 9
  355.09906 0.00501134 5
  357.07924 0.009441 9
  359.09179 0.0812552 81
  360.09860 0.127908 128
  361.10645 0.122121 122
  362.11090 0.026742 27
  369.07600 0.0418357 42
  370.08065 0.00823291 8
  371.09262 0.00553335 6
  381.06314 0.00590622 6
  381.10943 0.00717396 7
  383.09414 0.00550352 5
  385.07326 0.0402697 40
  386.07480 0.0125283 13
  387.08572 0.0742155 74
  387.10138 0.00656246 7
  388.09066 0.020105 20
  389.11738 0.00645806 6
  399.12233 0.00672652 7
  405.11019 0.00615977 6
  409.10844 0.0148103 15
  410.11242 0.00586147 6
  411.11908 0.00869526 9
  417.11179 0.0056825 6
  419.09318 0.00689059 7
  421.10251 0.0058913 6
  421.12525 0.00859086 9
  422.10980 0.00577198 6
  423.12326 0.0453108 45
  424.12765 0.0115589 12
  425.10286 0.0445949 45
  426.11037 0.036884 37
  427.11776 0.0353031 35
  429.09789 0.0058913 6
  433.10769 0.0605685 61
  434.11278 0.0253102 25
  435.12309 0.090726 91
  436.09175 0.00957523 10
  436.12426 0.0175695 18
  437.10185 0.162585 162
  438.10674 0.0752744 75
  439.11105 0.0152876 15
  441.13053 0.00879967 9
  443.09383 0.00921728 9
  443.11158 0.031813 32
  444.09710 0.00745734 7
  444.11558 0.00947083 9
  445.10530 0.096334 96
  445.12596 0.00657738 7
  446.11048 0.034617 35
  447.08785 0.0167343 17
  447.10867 0.0387931 39
  448.11052 0.0111114 11
  449.10133 0.00636857 6
  451.11765 0.409796 409
  452.12115 0.132562 132
  453.09848 0.026056 26
  453.13005 0.0185688 19
  454.09855 0.0100078 10
  455.11393 0.0113352 11
  460.09830 0.00733803 7
  461.10227 0.244288 244
  462.10716 0.0961699 96
  463.11733 0.419998 420
  464.08848 0.0185688 19
  464.12083 0.115723 116
  465.09579 0.0647447 65
  465.12713 0.011186 11
  466.09738 0.0178827 18
  467.10484 0.00763632 8
  469.12815 0.332851 333
  470.13197 0.0995854 99
  470.14779 0.00633874 6
  471.08512 0.0175397 18
  471.10777 0.00833731 8
  471.13588 0.00926202 9
  472.09026 0.0101122 10
  472.11188 0.00530963 5
  477.13284 0.00557809 6
  478.10600 0.0147357 15
  479.11331 0.81115 810
  479.13897 0.0114545 11
  479.29909 0.00900847 9
  479.31936 0.00703973 7
  480.11719 0.306318 306
  481.12472 0.0855059 85
  482.13085 0.0177485 18
  483.10686 0.00959014 10
  483.13267 0.00593605 6
  483.14629 0.0138557 14
  485.12345 0.138945 139
  486.12456 0.0355864 36
  487.13046 0.00584656 6
  489.09673 0.197888 198
  490.10258 0.0773327 77
  491.10558 0.0143927 14
  493.12963 0.0420594 42
  494.13047 0.0167194 17
  497.12316 0.373285 373
  498.12711 0.134963 135
  499.13095 0.0241171 24
  501.15386 0.00557809 6
  503.13304 0.244661 244
  504.13494 0.0779591 78
  505.14012 0.00777055 8
  507.10736 0.385947 386
  508.10987 0.131026 131
  509.11181 0.014169 14
  511.13912 0.29719 297
  512.14199 0.0929931 93
  513.14527 0.010664 11
  515.13389 0.0268614 27
  516.13944 0.00902339 9
  521.12384 0.146298 146
  522.12846 0.0613739 61
  523.13761 0.0389721 39
  524.14428 0.00830748 8
  525.11696 0.0876685 88
  526.12103 0.0247584 25
  527.13172 0.00833731 8
  529.15014 0.127908 128
  530.15275 0.0383158 38
  539.13418 0.479403 479
  539.16197 0.00733803 7
  540.13765 0.169326 169
  541.14428 0.0248926 25
  543.12905 0.00833731 8
  545.14380 0.00975421 10
  549.11883 0.0130951 13
  550.12136 0.00584656 6
  557.11242 0.00933659 9
  557.14459 1 999
  557.17154 0.0279501 28
  557.33780 0.0113053 11
  557.36563 0.0103508 10
  557.49908 0.00539912 5
  557.83935 0.00621942 6
  558.14722 0.343336 343
  559.15037 0.0359295 36
  567.09843 0.00607028 6
  567.12778 0.725331 725
  567.15791 0.00663704 7
  567.32648 0.00627908 6
  567.35260 0.00644315 6
  568.13174 0.253311 253
  569.13423 0.032693 33
  571.15982 0.0130205 13
  572.16206 0.00593605 6
  581.14475 0.00806885 8
  585.13877 0.0084268 8
  599.15415 0.0921877 92
  599.18103 0.00519031 5
  600.15684 0.0302619 30
  617.16589 0.0830002 83
  618.16640 0.0401354 40
//
