ACCESSION: MycoMSB-HZI-003256
RECORD_TITLE: Asterriquinone B/Truncaquinone A; timsTOF; MS2; CE:46.2; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1016/j.tetlet.2016.04.014
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Asterriquinone B/Truncaquinone A
CH$FORMULA: C28H24N2O4
CH$EXACT_MASS: 452.1736
CH$SMILES: C
CH$IUPAC: InChI=1S/CH4/h1H4
CH$LINK: INCHIKEY N/A
SP$SCIENTIFIC_NAME: Annulohypoxylon truncatum
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 46.2
AC$MASS_SPECTROMETRY: CCS 215.1400909423828
MS$FOCUSED_ION: BASE_PEAK 453.18088
MS$FOCUSED_ION: PRECURSOR_M/Z 453.18088
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0006-0119000000-4c4fd788175552158821
PK$NUM_PEAK: 216
PK$PEAK: m/z int. rel.int.
  69.06899 0.0827305 83
  117.05723 0.0176797 18
  118.06528 0.0269929 27
  119.06677 0.00629424 6
  128.05230 0.00637111 6
  129.05754 0.0107949 11
  130.06556 0.0385704 39
  131.06684 0.0122757 12
  142.06530 0.0123144 12
  144.04514 0.0119971 12
  144.08114 0.012186 12
  154.06648 0.015206 15
  156.04438 0.0205771 21
  157.05202 0.0927769 93
  158.05259 0.108844 109
  159.06308 0.0139613 14
  168.08180 0.0077564 8
  169.05279 0.00822887 8
  170.06038 0.0274464 27
  170.09890 0.00854886 9
  171.06890 0.00515706 5
  171.10376 0.0062524 6
  172.07554 0.0350545 35
  173.07923 0.00501289 5
  182.06064 0.0479733 48
  182.09694 0.0159574 16
  183.06509 0.0320121 32
  184.08008 0.0415869 42
  185.07892 0.00824318 8
  186.05614 0.00838394 8
  194.06092 0.0165864 17
  196.03998 0.00578916 6
  198.05531 0.0159671 16
  198.08941 0.00705413 7
  200.07106 0.00778424 8
  210.05557 0.073658 74
  210.09212 0.00753247 8
  211.05752 0.0188472 19
  212.07047 0.0331247 33
  222.05547 0.0184974 18
  224.07105 0.00658583 7
  225.04114 0.011009 11
  226.05291 0.0199735 20
  227.05581 0.00572258 6
  234.09113 0.00531109 5
  236.10694 0.0175436 18
  238.05195 0.03902 39
  239.05577 0.00922034 9
  239.09252 0.00598472 6
  240.06959 0.044707 45
  241.07476 0.012882 13
  242.08137 0.0134117 13
  248.10922 0.00915394 9
  249.08301 0.00722526 7
  251.05671 0.0208232 21
  252.06401 0.00723605 7
  254.08006 0.00567161 6
  255.05433 0.00674729 7
  257.06545 0.00610926 6
  257.11286 0.0173082 17
  258.09430 0.0130178 13
  258.11434 0.0169769 17
  262.08451 0.00570402 6
  263.05737 0.00646439 6
  264.06562 0.00639796 6
  266.08181 0.0102583 10
  268.05806 0.00749053 7
  268.09695 0.0112324 11
  269.06638 0.00934448 9
  269.10421 0.0179504 18
  270.07395 0.00894696 9
  270.11331 0.0177636 18
  271.12207 0.00530834 5
  276.10181 0.00527044 5
  277.07464 0.00810085 8
  279.05423 0.0236698 24
  279.08943 0.00658706 7
  280.05621 0.00810221 8
  280.09889 0.0070944 7
  281.11286 0.00831782 8
  283.08846 0.00735376 7
  283.12140 0.0182075 18
  284.09477 0.00933183 9
  284.13236 0.00548033 5
  285.10390 0.0475631 48
  286.08534 0.00572995 6
  286.10708 0.0315234 31
  287.11433 0.00528663 5
  291.05446 0.0145404 15
  293.10947 0.0140197 14
  294.07595 0.0449327 45
  294.11347 0.00759225 8
  295.08358 0.0119477 12
  295.12038 0.00543663 5
  297.10169 0.0166911 17
  298.10839 0.0164075 16
  299.11930 0.00876321 9
  301.13383 0.00845139 8
  304.10021 0.00873046 9
  305.10596 0.00831008 8
  306.11518 0.00856081 9
  309.10085 0.0114783 11
  310.10632 0.0151696 15
  311.08426 0.00573593 6
  311.11640 0.0293046 29
  312.12560 0.0108783 11
  313.09688 0.115364 115
  313.13017 0.0231026 23
  314.10475 0.205946 206
  314.12871 0.00970187 10
  315.10725 0.041337 41
  317.06945 0.00689091 7
  317.10037 0.0135562 14
  318.11174 0.00984604 10
  321.10277 0.011711 12
  322.11121 0.0248244 25
  323.11805 0.0393368 39
  324.08764 0.00793377 8
  324.12480 0.0116732 12
  325.09530 0.0108414 11
  326.10439 0.0569604 57
  327.10985 0.0204764 20
  329.12926 0.0118246 12
  330.12407 0.00511186 5
  332.13344 0.0125433 13
  333.10215 0.00808486 8
  333.12804 0.0057279 6
  335.11710 0.00648623 6
  336.12238 0.00666451 7
  337.09978 0.0229186 23
  337.12442 0.00527582 5
  338.10574 0.0175072 17
  339.11250 0.0434013 43
  340.11951 0.00756286 8
  341.09176 0.153344 153
  341.10474 0.00671289 7
  341.12913 0.0183553 18
  342.07238 0.00560972 6
  342.09965 1 999
  342.12228 0.0124826 12
  343.10322 0.215617 215
  344.10735 0.0208188 21
  347.15368 0.0066016 7
  349.09583 0.0112499 11
  349.13430 0.00957041 10
  349.16586 0.00676191 7
  350.10490 0.0435275 43
  351.11233 0.0426703 43
  352.08700 0.00733846 7
  352.11629 0.0172543 17
  353.09414 0.00992271 10
  354.10124 0.0316638 32
  355.10791 0.0193883 19
  356.11382 0.0353023 35
  357.12338 0.27743 277
  358.12651 0.0725975 73
  359.12824 0.00758333 8
  361.09746 0.00776204 8
  362.10112 0.00652032 7
  365.09135 0.00526676 5
  365.12752 0.0096772 10
  366.10054 0.0188268 19
  367.10699 0.0609889 61
  368.08029 0.00584835 6
  368.11353 0.0221906 22
  369.08743 0.613508 613
  369.12065 0.0118371 12
  370.09276 0.285668 285
  371.09753 0.0522781 52
  372.09945 0.00728253 7
  375.11477 0.00526545 5
  375.14898 0.0124592 12
  376.15400 0.00510441 5
  377.09180 0.00790322 8
  377.12857 0.0288277 29
  378.09974 0.066963 67
  378.13575 0.017835 18
  379.10758 0.0775873 78
  380.11510 0.0432556 43
  381.12099 0.0134454 13
  382.09478 0.0206964 21
  382.16693 0.00541224 5
  383.10240 0.0909265 91
  384.11013 0.216104 216
  385.11609 0.11191 112
  386.12063 0.0256917 26
  391.11087 0.00540277 5
  392.15107 0.0152279 15
  393.12527 0.00932616 9
  393.15687 0.0194521 19
  395.10271 0.0998512 100
  395.13964 0.0379463 38
  396.11008 0.381313 381
  396.14037 0.00701227 7
  397.11427 0.102691 103
  398.11968 0.0120459 12
  405.12278 0.0163002 16
  406.13045 0.00797303 8
  407.17595 0.00714639 7
  409.12007 0.0104154 10
  409.15702 0.00503173 5
  410.12701 0.0143654 14
  410.16146 0.0186116 19
  411.13397 0.152782 153
  412.13779 0.050242 50
  413.14036 0.0086596 9
  420.14754 0.00895956 9
  421.15504 0.0226037 23
  422.15730 0.00677968 7
  423.13375 0.049452 49
  424.13736 0.017338 17
  425.18652 0.0177762 18
  426.19194 0.00770015 8
  437.14994 0.0162101 16
  438.15663 0.0368474 37
  439.16558 0.0108508 11
//
