ACCESSION: MycoMSB-HZI-003268
RECORD_TITLE: Beuaverolide R; timsTOF; MS2; CE:30.0; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.3897/imafungus.16.172651
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Beuaverolide R
CH$FORMULA: C31H46N4O5
CH$EXACT_MASS: 554.3468
CH$SMILES: C
CH$IUPAC: InChI=1S/CH4/h1H4
CH$LINK: INCHIKEY N/A
SP$SCIENTIFIC_NAME: Cordyceps javanica
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30.0
AC$MASS_SPECTROMETRY: CCS 231.63330078125
MS$FOCUSED_ION: BASE_PEAK 555.35410
MS$FOCUSED_ION: PRECURSOR_M/Z 555.35410
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00bc-0329220000-4dcfd17b58ce211d533b
PK$NUM_PEAK: 124
PK$PEAK: m/z int. rel.int.
  117.05663 0.00524555 5
  125.13224 0.00597279 6
  128.10624 0.00706748 7
  130.06194 0.149294 149
  132.07953 0.0274401 27
  132.10028 0.0290741 29
  142.06370 0.00618131 6
  144.08052 0.0350842 35
  149.13018 0.0242624 24
  150.13729 0.00612695 6
  157.12900 0.0535022 53
  158.08371 0.0396995 40
  158.09557 0.013677 14
  158.11601 0.0148874 15
  159.09047 0.317144 317
  160.08881 0.0431433 43
  167.14207 0.105481 105
  168.07869 0.0197949 20
  168.14147 0.024204 24
  169.07733 0.0150024 15
  170.05986 0.0167353 17
  184.16781 0.369949 370
  185.07013 0.0264533 26
  185.10631 0.125148 125
  185.12743 0.0197822 20
  185.17182 0.0299437 30
  186.10818 0.00706436 7
  187.08880 0.101054 101
  188.06981 0.0616162 62
  188.08822 0.00603188 6
  194.15348 0.0480945 48
  196.16802 0.00632638 6
  200.14231 0.0175828 18
  201.10170 0.00633731 6
  203.13816 0.11528 115
  204.14148 0.0105642 11
  210.12845 0.00716421 7
  210.18338 0.0210648 21
  212.16298 0.00891379 9
  213.10188 0.037402 37
  213.12245 0.0371977 37
  224.10617 0.0122614 12
  224.16435 0.0415482 42
  227.15213 0.0450883 45
  228.15629 0.00837191 8
  229.09845 0.0129315 13
  230.13028 0.0233091 23
  236.16501 0.0176511 18
  238.17984 0.0279582 28
  239.18434 0.00547915 5
  241.09630 0.0141151 14
  242.17690 0.0354476 35
  254.17543 0.0491837 49
  258.12702 0.02267 23
  259.10801 0.0846987 85
  260.11057 0.0082597 8
  273.15967 0.0395341 39
  274.16207 0.0130896 13
  279.20640 0.00761279 8
  281.16545 0.012622 13
  295.20124 0.0162616 16
  296.19964 0.0302121 30
  297.25587 0.00645855 6
  298.19148 0.277356 277
  299.19214 0.0563016 56
  299.20724 0.0069095 7
  301.15331 0.0183969 18
  307.20172 0.0408144 41
  307.21650 0.0581152 58
  308.20057 0.0269134 27
  308.22337 0.0083031 8
  309.16087 0.00747981 7
  313.21277 0.022617 23
  315.26839 0.0157022 16
  325.21170 0.0687385 69
  325.22742 1 999
  326.18687 0.133431 133
  326.21698 0.0187393 19
  326.23127 0.143216 143
  327.16865 0.0112387 11
  327.19103 0.0318919 32
  335.21232 0.0448143 45
  337.24696 0.0153867 15
  343.23810 0.33049 330
  344.19714 0.646484 646
  344.21819 0.00538784 5
  344.24104 0.026339 26
  345.20278 0.122139 122
  351.24319 0.00536608 5
  353.19861 0.00733755 7
  353.22311 0.688148 687
  354.22551 0.115472 115
  367.25743 0.00650618 6
  368.29059 0.00747027 7
  369.27503 0.00800139 8
  370.24672 0.00623688 6
  371.23366 0.349201 349
  372.19553 0.0130349 13
  372.23651 0.066651 67
  379.23868 0.00645038 6
  380.24121 0.00545478 5
  396.26492 0.0605602 60
  396.28585 0.0841135 84
  397.25922 0.0117968 12
  397.29081 0.0177282 18
  398.30215 0.00546214 5
  424.26023 0.735344 735
  425.26290 0.157803 158
  426.30180 0.0140771 14
  442.27047 0.110917 111
  443.27407 0.030869 31
  456.32239 0.125194 125
  457.32523 0.0279588 28
  466.30264 0.00560025 6
  484.31641 0.027155 27
  485.32163 0.0071191 7
  510.33432 0.0213784 21
  511.33473 0.00689859 7
  527.33695 0.00903447 9
  527.35938 0.778262 777
  528.36245 0.249401 249
  537.34181 0.012571 13
  555.35384 0.0872699 87
  556.35698 0.0398436 40
//
