ACCESSION: MycoMSB-HZI-003292
RECORD_TITLE: Saccalasin A; timsTOF; MS2; CE:35.76744186046511; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1007/s11557-018-1413-6
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Saccalasin A
CH$FORMULA: C28H35NO2
CH$EXACT_MASS: 417.2668
CH$SMILES: C
CH$IUPAC: InChI=1S/C28H35NO2/c1-18-9-8-12-23-16-20(3)21(4)26-24(17-22-10-6-5-7-11-22)29-27(31)28(23,26)25(30)14-13-19(2)15-18/h5-8,10-14,16,18-19,21,23-24,26H,9,15,17H2,1-4H3,(H,29,31)/b12-8+,14-13-/t18-,19-,21+,23-,24-,26-,28+/m0/s1
CH$LINK: INCHIKEY IGFYOFOQFNFWGG-HOFBHRKTSA-N
SP$SCIENTIFIC_NAME: Daldinia sacchari
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35.76744186046511
AC$MASS_SPECTROMETRY: CCS 210.04525756835938
MS$FOCUSED_ION: BASE_PEAK 400.26349
MS$FOCUSED_ION: PRECURSOR_M/Z 400.26349
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-00di-0942000000-25719d5611657dce5f21
PK$NUM_PEAK: 115
PK$PEAK: m/z int. rel.int.
  115.05619 0.00725558 7
  117.07003 0.0177475 18
  119.08526 0.00763837 8
  120.07987 0.00843875 8
  127.05363 0.0375481 38
  128.06197 0.0197658 20
  129.06959 0.0377221 38
  131.08595 0.00615941 6
  133.09904 0.00568963 6
  141.06809 0.0108921 11
  142.07686 0.020949 21
  143.07278 0.0111879 11
  143.07798 0.012719 13
  143.08493 0.0182172 18
  144.08023 0.20126 201
  144.08870 0.00525464 5
  145.06460 0.0298923 30
  145.08461 0.0165121 16
  145.09900 0.00781236 8
  154.06431 0.0489621 49
  155.04858 0.00636821 6
  155.08169 0.0067162 7
  155.08497 0.0067162 7
  156.09370 0.0147896 15
  157.10029 0.100412 100
  158.10551 0.00716858 7
  159.11504 0.0136238 14
  159.12121 0.00836915 8
  169.10007 0.0193482 19
  171.11522 0.0341726 34
  171.12128 0.0263428 26
  172.07501 1 999
  172.09175 0.0192786 19
  173.07843 0.122353 122
  173.13222 0.00897813 9
  183.11568 0.0216797 22
  185.09565 0.00598542 6
  185.13195 0.0363823 36
  186.08848 0.00556783 6
  193.10238 0.00605502 6
  196.11279 0.00892593 9
  197.12632 0.00640301 6
  197.13269 0.00520244 5
  198.09094 0.00711639 7
  199.10019 0.00518504 5
  199.15044 0.0153463 15
  210.09289 0.00706419 7
  211.09813 0.00541124 5
  211.14685 0.0117098 12
  212.10522 0.00546344 5
  212.11226 0.00549823 5
  213.16315 0.013154 13
  217.10147 0.0179215 18
  217.10948 0.00819515 8
  224.10623 0.0281002 28
  225.11438 0.0133628 13
  225.16354 0.00763837 8
  226.12217 0.0158683 16
  226.16593 0.00746437 7
  227.12978 0.0177823 18
  227.17890 0.134689 135
  228.13215 0.00765577 8
  228.18302 0.0249508 25
  237.16261 0.00803856 8
  237.16916 0.00803856 8
  238.12234 0.0354775 35
  239.12989 0.054095 54
  239.18037 0.00866494 9
  240.13529 0.0139196 14
  241.14548 0.0135716 14
  252.13727 0.0156595 16
  253.13369 0.0067162 7
  253.14466 0.0495885 50
  253.19515 0.00896073 9
  254.14823 0.0156421 16
  266.15615 0.00918692 9
  266.19056 0.00511545 5
  267.17611 0.00534164 5
  274.12100 0.00932612 9
  280.16939 0.0622553 62
  281.16924 0.00716858 7
  281.18876 0.00791676 8
  287.17964 0.006664 7
  288.17445 0.00701199 7
  290.15247 0.0171559 17
  291.19918 0.00871714 9
  292.17192 0.00528944 5
  294.18559 0.0103179 10
  299.17929 0.0113967 11
  300.18291 0.00916952 9
  302.15357 0.00612462 6
  302.18992 0.00909993 9
  303.19400 0.00725558 7
  306.18285 0.00520244 5
  308.20043 0.00873454 9
  309.20741 0.0583056 58
  310.21132 0.0210534 21
  316.16730 0.0104919 10
  316.20550 0.0120056 12
  317.20549 0.00729038 7
  317.21212 0.00729038 7
  318.18330 0.0236807 24
  318.19685 0.00586362 6
  319.18717 0.0152419 15
  330.17558 0.0412716 41
  330.18387 0.0667096 67
  331.18855 0.0153289 15
  332.19895 0.0489099 49
  333.20525 0.0102135 10
  344.19998 0.101474 101
  345.20490 0.0345902 35
  372.26867 0.0296139 30
  373.26872 0.00936092 9
  400.26276 0.126164 126
  401.26574 0.0414803 41
//
